Fri Jul 03 22:07:59 PDT 2015 --  रूपवती का सर फुटा पूछे है हर कोई । निर्धनिये का बच्चा मर गया बात करे न कोई ।। .. #हेमा मालिनी एक्सीडेंट#
Fri Jul 03 07:54:53 PDT 2015 --  वक़्त की मार तो देख ग़ालिब..... दुनिया जीतने वाले सिकंदर का देश ... दिवालिया हो गया.... #GreeceCrisisu
Thu Jul 02 06:24:35 PDT 2015 --  बहुत हौ गया Selfie with.. Daughter : : : आज सै कुछ तुफानी** छिज करतै है, जैसै Selfie with साली... Selfie with पडौसन
Wed Jul 01 09:37:49 PDT 2015 --  हद तो तब हो गई जब आलिया भट्ट ने डॉ विजय माल्या को #DoctorsDay की बधाइयाँ दे डाली
Tue Jun 30 10:45:56 PDT 2015 --  Two minutes silence for the people who have changed their profile picture without knowing the matter! #Gay_marriage_ legalized_USA
Mon Jun 29 23:51:26 PDT 2015 --  Now it's too much!! A guy posted his selfie with Girlfriend and used hashtag #selfiewithNeighbour'sDaugter
Thu Jun 25 04:35:44 PDT 2015 --  2011 वर्ल्ड कप फाइनल में धोनी ने जो छक्का मारा था वो छक्का बच गया और सर जडेजा के रूप में प्रसिद्द हो गया। #GreatJadeja
Tue Jun 23 23:46:56 PDT 2015 --  राह चलती खूबसूरत लड़की को जी भर कर देखने के लिये 360° के एंगल पर गर्दन घुमा देने वाले लड़के भी एक तरह से #योगी ही है
Sat Jun 20 21:10:07 PDT 2015 --  Some people don't believe in Heroes, coz they haven't met my Dad #HappyFathersDay
Sat Jun 20 02:52:12 PDT 2015 --  दुनिया छोटी है ये तो सुना था पर इतनी छोटी होगी ये कभी नही सोचा था . . . . मेरी_दूसरी_वाली , पहली_वाली_की ↓ मामा की लङकी निकली .. #सत्यानाश
Fri Jun 19 07:17:48 PDT 2015 --  Let's keep a wonderful YOGA slogan this International Yoga day : 'Dear Yoga, तू मुझसे ना HOGA' !
Fri Jun 19 07:05:49 PDT 2015 --  आज पीनेके बाद तो हद ही हो गई यारों .. होटल समझ क़र अदालत में चले गए सामने बैठा जजः बोला ऑडर ऑडर... हमने भी बोल दिया एक सलाद और दो क्वार्टर
