Fri Aug 21 13:07:59 PDT 2015 --  Check out " Rifle-wielding gunman opens fire on high-speed train en route to Paris http://ift.tt/1LpCdmS  " Via @pocket
Fri Aug 21 12:55:27 PDT 2015 --  Check out " Team Carter and Team S.H.I.E.L.D. to undergo another round of Dubsmash Wars — for charity! http://ift.tt/1TYgabv  " Via @pock…
Fri Aug 21 12:52:42 PDT 2015 --  Check out " Snapchat hires media executive to take Discover to next level http://ift.tt/1EIXqR3  " Via @pocket
Fri Aug 21 12:24:10 PDT 2015 --  Check out " Maisie Williams wants fellow actresses to refuse 'hot piece' roles http://ift.tt/1Jx574q  " Via @pocket
Fri Aug 21 12:07:31 PDT 2015 --  Check out " These Madewell sandals want to cut you with a tiny shank http://ift.tt/1JwX2wy  " Via @pocket
Fri Aug 21 12:07:31 PDT 2015 --  Check out " There's no stopping Deez Nuts http://ift.tt/1E8B8xh  " Via @pocket
Fri Aug 21 12:01:56 PDT 2015 --  Check out " Gotham: First Look at Michael Chiklis http://ift.tt/1hxvURM  " Via @pocket
Fri Aug 21 11:53:47 PDT 2015 --  Check out " Samsung is tempting iPhone users with a 30-day trial of its new phones http://ift.tt/1I04Gs2  " Via @pocket
Fri Aug 21 11:53:46 PDT 2015 --  Check out " Dr. Dre: 'I apologize to the women I've hurt' http://ift.tt/1I04GrY  " Via @pocket
Fri Aug 21 11:20:09 PDT 2015 --  Check out " Air Pollution Climate Change : Study Shows Link To Economic Instability http://ift.tt/1hxnnym  " Via @pocket
Fri Aug 21 11:07:21 PDT 2015 --  Check out " Luxurious second-generation Moto 360 seen in the wild http://ift.tt/1hxonCt  " Via @pocket
Fri Aug 21 11:07:20 PDT 2015 --  Check out " Incoming freshman sinks half court shot, gets free tuition http://ift.tt/1hxoq1f  " Via @pocket
Fri Aug 21 10:58:10 PDT 2015 --  Check out " Once Upon a Time http://ift.tt/1fvXhtA  " Via @pocket
Fri Aug 21 10:52:30 PDT 2015 --  Check out " 21 Instagrams from the front lines of the Western wildfires http://ift.tt/1hxh4ec  " Via @pocket
Fri Aug 21 10:39:33 PDT 2015 --  Check out " Hey superheroes, here's what you should be doing with your teleportation power http://ift.tt/1WJHUzG  " Via @pocket
Fri Aug 21 10:35:31 PDT 2015 --  Check out " Stephen Amell packs Arrow hood in preparation for WWE SummerSlam http://ift.tt/1LpdcZ2  " Via @pocket
Fri Aug 21 10:25:51 PDT 2015 --  Check out " Zac Efron says he was a nerd in high school http://ift.tt/1fv9IWC  " Via @pocket
Fri Aug 21 10:23:11 PDT 2015 --  Check out " NASA is obsessed with the new One Direction song http://ift.tt/1fvOAPS  " Via @pocket
Fri Aug 21 10:23:11 PDT 2015 --  Check out " Tesla offers high-end clothing, accessories made from car interior in retail revamp http://ift.tt/1fvOyrv  " Via @pocket
Fri Aug 21 10:08:43 PDT 2015 --  Check out " Samsung Galaxy S6 Edge+ is a pretty face and that's pretty much it [REVIEW] http://mashable.com/2015/08/21/samsung-galaxy-s6-edge-plus-review/ … " Via @pocket
Fri Aug 21 09:59:19 PDT 2015 --  Check out " J.K. Rowling weighs in on that theory about the Three Brothers http://ift.tt/1MIJuyI  " Via @pocket
Fri Aug 21 09:38:12 PDT 2015 --  Check out " North Korea to South Korea: Turn off your loudspeakers or it's war http://ift.tt/1Jaym7F  " Via @pocket
Fri Aug 21 09:38:11 PDT 2015 --  Check out " Heat be damned, Starbucks' pumpkin spice latte is coming http://ift.tt/1JaymnY  " Via @pocket
Fri Aug 21 09:38:11 PDT 2015 --  Check out " Giphy Cam adds just the right level of insanity to GIFs [REVIEW] http://ift.tt/1JpR5zv  " Via @pocket
Fri Aug 21 09:38:10 PDT 2015 --  Check out " Pokemon's 3D fighting game from Japan comes to Wii U in 2016 http://ift.tt/1Jaym7D  " Via @pocket
Fri Aug 21 09:38:09 PDT 2015 --  Check out " Thai PM tells cops investigating bombing to watch 'Blue Bloods' http://ift.tt/1Jaym7A  " Via @pocket
