Sun Jul 13 16:16:22 PDT 2014 --  DANKE @MarioGoetze! #MiaSanWeltmeister #GERARG 1-0 pic.twitter.com/0kUO9VdPX2
Sun Jul 13 02:40:45 PDT 2014 --  Auch Pelé hat #Viergefühl: "Deutschland ist viel besser als Argentinien", sagte er einem TV-Sender. #ssnhd #WM2014 pic.twitter.com/TgzsvteDu1
Fri Jul 11 09:22:54 PDT 2014 --  I am shocked & disappointed in today's news. However I will never forget what Lebron brought us for 4 years. Thanks for memories @KingJames
Wed Jul 09 00:12:40 PDT 2014 --  Ich kann`s immer noch nicht glauben... 7:1 - Der absolute Wahnsinn! pic.twitter.com/EotTd6ukY7
Tue Jul 08 14:39:58 PDT 2014 --  GERMANY WRITING WORLD CUP HISTORY TODAY !!! HUGE HUGE COMPLIMENT !!! SO PROUD OF THEM !!
Tue Jul 08 09:05:49 PDT 2014 --  Das @DFB_Team ist gut drauf und erinnert mich an unsere Mannschaft von 1990. Heute Abend werden sie es packen #BRAGER pic.twitter.com/Rbh7FnQdko
Tue Jul 08 09:07:37 PDT 2014 --  The @DFB_Team is in a good condition, reminds me of our WC team 1990. Tonight they will reach the final. #BRAGER pic.twitter.com/AJ6U6lTnZB
Tue Jul 08 08:19:09 PDT 2014 --  @FrankBuschmann wir werden alles versuchen !!!
Wed Jul 02 06:56:25 PDT 2014 --  Had a great hear in Munich. And i appreciate everything they did and we accomplished @fcb_basketball
Wed Jul 02 07:08:45 PDT 2014 --  Yesterday one of the best coaches of our time left the football-stage. All the best for your future, Ottmar Hitzfeld!
Mon Jun 30 15:39:35 PDT 2014 --  Convincing wins never brought Germany titles. Fight, tackle, cheat your way to the top if you have to, it's what matters.
Mon Jun 30 12:09:57 PDT 2014 --  Leider kann ich gleich nicht mit dabei sein, ich drücke den Jungs "aus dem Bett" die Daumen. Ich hoffe wir packen es ins Viertelfinale!
Mon Jun 30 11:22:20 PDT 2014 --  If anybody asks I'm half german today pic.twitter.com/h6OWJZYLfu
Mon Jun 30 07:24:51 PDT 2014 --  @BSchweinsteiger Good luck today bro! #FCBayern
Mon Jun 30 07:02:25 PDT 2014 --  @DFB_Team Wünsche euch viel Erfolg im Achtelfinale #WM2014
Thu Jun 26 09:02:08 PDT 2014 --  American Football coaches vs European Football coaches! ;) lol - pic.twitter.com/7ApqDNCx9P #WorldCup #USA vs #GER
Thu Jun 26 08:31:18 PDT 2014 --  Viel Glück, Jungs! #WM2014 #USAGER
Sat Jun 21 13:32:11 PDT 2014 --  My nigga Klose
Sat Jun 21 14:26:42 PDT 2014 --  Welcome to the club #Klose
Wed Jun 11 00:54:15 PDT 2014 --  Give me five! Ich freue mich sehr einen 5-Jahresvertrag beim FC Bayern München unterschrieben zu haben! pic.twitter.com/4tHCeKAdPP
Fri Jun 06 10:10:30 PDT 2014 --  What a pity.. A Big player cannot take part in the world cup. All the best for you Franck..... #ribery #france #poldi #brazil2014
Thu May 29 01:55:43 PDT 2014 --  Aufgepasst: Unter allen, die diesen Tweet retweeten, verlose ich 2 WM-Hefte vom k̶̶i̶̶c̶̶k̶̶e̶̶r̶ #Transfermarkt! :) pic.twitter.com/qQzIaiXOhs
Sat May 24 11:00:12 PDT 2014 --  RT if you think Atlético Madrid will come away the victors of the Champions League. #Atleti pic.twitter.com/9cctx5lEI6
Sat May 10 08:45:39 PDT 2014 --  #DeutscherMeister2014 #MiaSanMeister pic.twitter.com/TEYEzIBvTD
