Sun Jan 11 13:46:41 PST 2015 --  Regardez-moi ce mec il commence ces strims à 23h il pense que les gens dorment jamais http://www.twitch.tv/aiekillu  pic.twitter.com/kdxxV9ieGU
Sun Jan 11 12:29:08 PST 2015 --  Le strim commence une heure plus tard que d'habitude tonight, rdv à 22:30!
Sun Jan 11 04:54:02 PST 2015 --  Oui je suis Chinois ça passe mieux. J'aurais moins de problèmes...tu nems pas ? ALLEZ RIZ GOL !
Sun Jan 11 05:04:08 PST 2015 --  Les filles sur Twitter vous saoulez ! Mettez vos têtes au lieu de mettre Neymar, je vais finir par tomber amoureux de lui sinon
Sat Jan 10 14:29:47 PST 2015 --  Junior!!!!!!! Dieu ne laisse jamais ses enfants seul tu me manqueras toujours petit frère merci pour tout ce que tu as fais pour moi
Sat Jan 10 07:36:05 PST 2015 --  AmedyCoulibaly: «Ils essaient de vs faire croire que les musulmans sont des terroristes» C'est surtout toi qu'a essayé de ns le faire croire
Fri Jan 09 09:07:10 PST 2015 --  Quand je vois le nombre de personnes qui visiblement soutiennent de tels actes, je ne peux m'empêcher de me demander ce qu'on a raté...
Wed Jan 07 12:25:51 PST 2015 --  Je passe sous un tunnel, de retour dans un instant lel
Mon Jan 05 15:24:59 PST 2015 --  Un @FCNantes / @OL en 16e de final de la coupe de France. Ça va le faire
Mon Jan 05 15:18:09 PST 2015 --  Bonne continuation à @Feraristeguieta qui va bientôt quitter le FC Nantes Il aura connu le remonté du FC Nantes pic.twitter.com/yeOn7nYwsx
Mon Jan 05 15:07:43 PST 2015 --  Notre page Facebook est sur Twitter ! @LucasDeaux @YacineBammou Page Facebook : https://facebook.com/pagefcnantes  #Killian pic.twitter.com/yvotuEsuKH
Sun Jan 04 14:40:14 PST 2015 --  verres vert en vers lel
Sun Jan 04 15:10:46 PST 2015 --  Quoi de mieux pour finir les vacances qu'un défi et le record de views, plus de 8500, merci beaucoup! Bonne soirée :) pic.twitter.com/jzom6mnv0E
Sun Jan 04 15:21:44 PST 2015 --  Quand t'étais le seul garçon invité dans un anniversaire de fille... pic.twitter.com/o9mtgORoxW
Sat Jan 03 15:40:28 PST 2015 --  Holy shit on a atteint 7800 viewers, daaaaaaaamn
Sat Jan 03 11:28:42 PST 2015 --  C'est vraiment grave de faire des jeux comme ça http://store.steampowered.com/app/332500/?l=french …
Sat Jan 03 11:30:21 PST 2015 --  @Aiekillu ta du faire cette tête la quand t'as sorti ta blague de merde ? pic.twitter.com/4PXLB0UfNh
Wed Dec 31 16:34:47 PST 2014 --  J'ai reçu vos tips un an en retard mais j'les ai reçu quand même! http://i.imgur.com/2Un5OAf.png 
Wed Dec 31 21:07:13 PST 2014 --  Bonne année à mes amis québécois!
Wed Dec 31 15:41:52 PST 2014 --  La 1re branlette de 2015 elle va être royaaaale
Wed Dec 31 12:33:34 PST 2014 --  @Aiekillu @Adrii_Savigny excellent jean louis
Wed Dec 31 05:16:25 PST 2014 --  pic.twitter.com/B6FlAJfdbt
Tue Dec 30 15:18:28 PST 2014 --  Bien fun le live ce soir, Vador a pécho bien plus que prévu, merci d'être passés, bonne soirée!
Tue Dec 30 11:49:12 PST 2014 --  L'album Listen de Guetta est vraiment stylé, j'l'écoute depuis quelques semaines, un bonjeur!
Tue Dec 30 07:56:48 PST 2014 --  J'ai 2 vidéos pour aujourd'hui ! Le retour de LA SERIE "TAKE THE BEST" #ENFIN et une Review de Crespo :D pic.twitter.com/LUuLDK1x48
Tue Dec 30 07:34:21 PST 2014 --  Océane bas quasi complète pour la réception du #clubfranciscain, je veux que la Loire se remplisse bon dieu !
Tue Dec 30 03:40:28 PST 2014 --  Content de voir que ma dernière video vous ai plu! On se retrouve la semaine pro, après ce fameux jour de l'an. Peace !
Tue Dec 30 03:11:42 PST 2014 --  @Aiekillu je jouer tranquillement a happy wheels, jusqu’à ce que je te voie :p pic.twitter.com/BDd2VCiHOs
Tue Dec 30 02:16:51 PST 2014 --  Itay et Jules Iloki en très grande forme ce matin, pas facile de faire un choix pour samedi...
Mon Dec 29 14:00:41 PST 2014 --  On part sur SUPRABALL dans quelques minutes! http://www.twitch.tv/aiekillu 
Mon Dec 29 15:21:02 PST 2014 --  Super le live ce soir, merci d'être passés les V!
Mon Dec 29 17:09:15 PST 2014 --  L'oeil de l'univers pic.twitter.com/rN6P0ebwsa
Sun Dec 28 05:25:45 PST 2014 --  J'ai envie de faire une vidéo sur un jeu d'horreur aujourd'hui ! Donnez-moi des noms de jeu d'horreur cool :D
Mon Dec 22 01:14:16 PST 2014 --  Hello les gens, comment ça va?
Sun Dec 21 09:41:14 PST 2014 --  rt si ton bureau ne sert pas à grand chose bc tu fais souvent tes devoirs sur ton lit
Sun Dec 21 09:40:46 PST 2014 --  rt si dans ta chambre ta chaise ne sert à rien à part pour planquer tes affaires dessus
Sun Dec 21 08:05:16 PST 2014 --  Marseille champion d'automne grace à un Roux.... Bielsa ce génie... #OMLOSC
Sun Dec 21 07:17:13 PST 2014 --  Si on enlève l'OM, le PSG, l'OL, L'ASSE, Monaco, Bordeaux et Nantes, le @staderennais est champion d'automne aussi. Donc grand bravo.
Wed Nov 19 08:14:23 PST 2014 --  Bonjour @FFF pour le prochain tour de coupe, j'aimerai que @RMoilachatte procède au tirage en tant que spécialiste de la chose...
