Wed Aug 12 12:20:35 PDT 2015 --  Apparently there's some meteor shit tonight, can't be asked to go see it outside
Wed Aug 12 12:14:14 PDT 2015 --  Don't get why people are complaining tho, people can make whatever videos they want. If it gets views thats because people WANT to watch it
Wed Aug 12 12:14:07 PDT 2015 --  My brother just farted
Wed Aug 12 12:13:38 PDT 2015 --  2G internet sucks
Wed Aug 12 12:01:02 PDT 2015 --  NEW VIDEO: "Getting Tattoos With My Mom" ft. @MamaJacquelyn: http://bit.ly/1Momip5  (RT this for a DM full of love! thanks y'all!)
Wed Aug 12 12:08:36 PDT 2015 --  @TheGamingLemon Fallout 4 China Wasteland confirmed
Wed Aug 12 11:32:48 PDT 2015 --  Honestly can't wait until I'm back on YouTube but shall I continue my current series?
Wed Aug 12 11:31:26 PDT 2015 --  Whn u whip out ur phone while sitting in a guests house and all their kids come setting next to u and stare at your phone and what your doin
Wed Aug 12 11:11:13 PDT 2015 --  Give me some #Youtubegoals ideas for #2016. I wanna #improve my #Youtubechannel #Youtube #Youtubegamer #Youtuber #YouTubeGaming #gamingvids
Wed Aug 12 11:08:48 PDT 2015 --  Oh fuck no, now this just pisses me off. All those hours wasted & also why does a stupid show become so huge? pic.twitter.com/JYjCeWCVl9
Tue Aug 11 21:00:11 PDT 2015 --  LMAO this is too good pic.twitter.com/lp6cKQSWEs
Tue Aug 11 21:07:01 PDT 2015 --  Sad, but I can see this happening. pic.twitter.com/8kNJ2zOg1o
Tue Aug 11 12:28:39 PDT 2015 --  In holiday now!! Might nit upload as much now but will do soon when i am bak
Sun Aug 09 12:53:01 PDT 2015 --  Quick note, Don't listen to the fake facebook page of myself saying he's giving away things. It's not me.
Sun Aug 09 12:53:18 PDT 2015 --  I have a facebook page but I rarely use it because I have an unhealthy addiction to Twitter.
Tue Aug 11 06:20:39 PDT 2015 --  If you’re worried abt a loved one, reach out. Talk saves lives. http://bit.ly/talksaves  #RobinWilliams #StopSuicide #mentalhealth
Tue Aug 11 09:32:02 PDT 2015 --  Goat Simulator out today on PS4, PS3: http://bit.ly/1IWF14d  It's a simple game about goats. And blowing things up. pic.twitter.com/nT7RLpLhOo
Tue Aug 11 09:35:18 PDT 2015 --  This could work.. Bully Funtage 2? https://twitter.com/DJTerribilisHD/status/631141698278699008 …
Tue Aug 11 10:12:19 PDT 2015 --  Mark Hughes plays Career Mode
Sun Aug 09 05:30:09 PDT 2015 --  @ @DzasterX ayyy thanks for followin
Fri Aug 07 09:00:19 PDT 2015 --  RT for a chance to win a #BlackOps3 @PlayStation 4 Prize Pack - Rules: http://bit.ly/CODPSNsweeps  #BO3PS4 #BO3Gamescom pic.twitter.com/jdHr8m1yDk
Fri Aug 07 20:08:58 PDT 2015 --  When you go on the weird/dark side of youtube and then all your recommended videos are now full of weird/ dark videos pic.twitter.com/Ao8ZCTFwzZ
Fri Aug 07 17:40:05 PDT 2015 --  £100 still up for anyone who can mod James from GTA 4 into GTA 5 as a pedestrian model
Sat Aug 08 07:03:27 PDT 2015 --  DEFINITELY wasn't Evan Eckard, was some one time design
Sat Aug 08 07:06:54 PDT 2015 --  We're gonna need a detective team lads
Sat Aug 08 07:02:15 PDT 2015 --  I know he made artwork for Syndicate which is how I found him, couldn't believe a professional dude would do something like that
Sat Aug 08 07:01:31 PDT 2015 --  I remember when I was a <10k channel some semi-big gfx designer scammed me, took the money and blocked me. Wish I could remember his name..
Fri Aug 07 00:13:39 PDT 2015 --  Absolutely loved meeting so many of you yesterday at the ZoellaBeauty Superdrug meetup Taking a… https://instagram.com/p/6Esfj6QcRt/ 
Tue Aug 04 21:05:58 PDT 2015 --  Update: still not dead
Sat Aug 01 08:51:19 PDT 2015 --  I'm just going to sneakily delete that last tweet like nothing ever happened
Sat Aug 01 04:10:46 PDT 2015 --  JUST WHEN MY NEW MIC ARIVES... MY PS4 BREAKS!! MY BRO LEFT IT ON OVER NIGHT AND SOMETHING BLEW UP INSIDE THE P4 IN THE MORNNING! SO PISSED!
Sat Aug 01 03:22:45 PDT 2015 --  Yo... Give me a beat. Hey drake and meek Your beef is lame Just shut the fuck up Play vidya gaemz.
Sat Aug 01 05:04:55 PDT 2015 --  I just had a taxi driver tell me "go fuck yourself and your Uber" as I was getting into a an @Uber - wow!
Sat Aug 01 07:50:56 PDT 2015 --  Since I'm still sick as a dog, let's do a follow spree! I'll be picking five people! FAV and RT for a follow! (Must be following me)
Fri Jul 31 06:45:25 PDT 2015 --  The many emotions of @tyleroakley within 5 seconds... pic.twitter.com/ZhqBUhgqgm
Fri Jul 31 07:25:21 PDT 2015 --  Hey guys, if your not from Australia. Don't worry! I'll have another giveaway soon & it will be WORLDWIDE! :)
Fri Jul 31 03:20:41 PDT 2015 --  all my life you stood by me, when no one else was ever behind me
Thu Jul 30 11:29:09 PDT 2015 --  I have fucked up big time, I think
Wed Jul 29 16:00:21 PDT 2015 --  #CIQotD - Which method of getting a 'knife-kill' do you prefer? RT - Classic knife attack / Fav - Rabbit punch (AW) pic.twitter.com/K77v68yDZM
Wed Jul 29 14:14:01 PDT 2015 --  Every creator has memorable milestones. What are some of yours? pic.twitter.com/z9OyJRmfBm
Wed Jul 29 11:56:43 PDT 2015 --  There NEEDS to be a natural disaster element in GTA, like a 1 in 100,000 chance of a hurricane or tsunami would be so epic!
Wed Jul 29 08:18:41 PDT 2015 --  Just a little reminder to only ever talk to me on my verified accounts. It's so important to stay safe & know who you're talking to x
Tue Jul 28 15:57:57 PDT 2015 --  In total you guys have watched my videos for 4,443 years and 194 days.. mental
Mon Jul 27 20:19:17 PDT 2015 --  Pretty scary to know that i'm gonna be the first Solo British Youtuber to hit 10 million subs...Crazy
Mon Jul 27 08:00:08 PDT 2015 --  What's up, doc? #BugsBunny made his debut #onthisday in 1940: http://amzn.to/1g9a0DU  pic.twitter.com/SZSl2iv4ZE
Mon Jul 27 06:25:25 PDT 2015 --  If you lose track of time whilst editing videos, you're doing it right
Mon Jul 27 02:32:05 PDT 2015 --  Been editing vids with my friend #AllNight . #YouTube #editing #gamer #gta #deadoralive #funny
Sun Jul 26 11:03:16 PDT 2015 --  EVERYONE WHO IS A GAMER FAVOURITE THIS TWEET SO EVERY ONE CAN FOLLOW EACH OTHER :D PLS RT Nearly 2yrs #GAMERSUNITE pic.twitter.com/zC4MyF9wEH
Sun Jul 26 11:19:48 PDT 2015 --  Rah, so many of you have pre ordered I am a bellend/i am a tool. Trust me you wont be disappointed. Gonna surprise a few people...
Sun Jul 26 03:25:23 PDT 2015 --  When nobody talks in the whatsapp group chat but you for the last 21 messages and you realise you need more friends on this chat
Sat Jul 25 13:30:06 PDT 2015 --  Saturday nights... made a gazillion times better by CHOCOLATE PIZZA. http://amzn.to/1Oq9En1  pic.twitter.com/16cpDHwb0Y
Sat Jul 25 18:51:00 PDT 2015 --  Think I'm back on schedule again, been pretty pumped the past few days, hope it'll last. More exciting videos to come :)
Sun Jul 26 03:15:49 PDT 2015 --  YEEAAAHHH UMM... I really need a holiday! Just why London weather... Why?!?
Sat Jul 25 04:22:21 PDT 2015 --  wen does five nights at fredwards 5 come out
Sat Jul 25 04:32:04 PDT 2015 --  The old Simpsons are so damn funny.. how did this show go to complete shit?
Fri Jul 24 11:31:52 PDT 2015 --  NEW VIDEO: Five Nights at Trayaurus' is here..!! http://youtu.be/XRQwS21MR5E?a 
Fri Jul 24 11:31:45 PDT 2015 --  Seriously, if your gonna have a public convo get of twitter and go on whatsapp! Lol
Fri Jul 24 11:30:29 PDT 2015 --  @SneezefaceYT lol used my mtn dew skills too be alert as soon as a yg member joins twitter
Fri Jul 24 11:18:07 PDT 2015 --  Uk is killing it atm. #IAmATool for the US, pre order link is http://bit.ly/ksitool 
Fri Jul 24 11:18:18 PDT 2015 --  "Don't count the days, make the days count." Starting from September m8 . YT, studies,friendship and money this year lol
Fri Jul 24 11:04:47 PDT 2015 --  Don't count the days, make the days count. -Muhammad Ali
Fri Jul 24 10:00:46 PDT 2015 --  Someone lend me $54,999 asap pic.twitter.com/EMs7lao7rR
Fri Jul 24 11:07:32 PDT 2015 --  U don't know struggle till u experience not finding signal laying down in bed but do while sitting in bed and have to sit not lay down 4 net
Fri Jul 24 10:56:30 PDT 2015 --  🏻 pic.twitter.com/lKNYlUrBRQ
Thu Jul 23 17:07:43 PDT 2015 --  Virtual reality is coming to YouTube with 3D, 360-degree video. More details soon! #VidCon pic.twitter.com/PVJ1ElLly5
Thu Jul 23 17:51:21 PDT 2015 --  Introducing a new Creator Reward: the Diamond Play Button. https://goo.gl/LWYoZU  #VidCon #VidConAnnouncements pic.twitter.com/bKTD58EtnU
Thu Jul 23 17:59:28 PDT 2015 --  #RaceTo10mill
Thu Jul 23 22:19:14 PDT 2015 --  Mini preview of the book on my snapchat :p
Fri Jul 24 10:44:07 PDT 2015 --  I've been thinking, my PC at the time was high end, but it isn't now... #timeforanupgrade ? shall I revamp my existing #PC or get a new one?
Fri Jul 24 09:51:22 PDT 2015 --  "dad this is stupid" "shut up and put your goggles back on" pic.twitter.com/gwZBwCOYkZ
Fri Jul 24 09:24:22 PDT 2015 --  Does FIFA 16 have price ranges?
Fri Jul 24 09:32:17 PDT 2015 --  I can't wait until there's a 100,000,000 subscriber play button in 10 years :D
Fri Jul 24 09:18:03 PDT 2015 --  It's official. The weekend is here! #FridayFeeling pic.twitter.com/ORjX7UJwZY
Thu Jul 23 22:29:06 PDT 2015 --  who has seen the new #lifeisstrange trailer ? Damm the game is looking good now, been playing since day 1 thanks to @NukemDukemz
Thu Jul 23 21:46:24 PDT 2015 --  @KSIOlajidebt if I pre order can I get u and shawna's sex tape???
Thu Jul 23 22:12:24 PDT 2015 --  STRICTLY GOOD VIBES WHAT I'M ON YOOOOO
