Wed May 06 04:01:08 PDT 2015 --  Never good enough for anyone. That's me.
Wed May 06 04:06:29 PDT 2015 --  Senyum..senyum selalu senyum #terobek pic.twitter.com/YNTm02J4h0
Mon Feb 09 01:43:07 PST 2015 --  Kacak tapi tak pandai melawak? Kekacakkan tak boleh nak pujuk girls tapi dengn melawak dpt happykan hati girls
Tue Feb 03 07:15:28 PST 2015 --  Sos Cili Rasa Pedas. Sos Tomato Rasa Masam. Sos Thai Layan Giler. Sos Topup Sumpah Memang Cilaka.
Tue May 05 01:41:28 PDT 2015 --  Beli tudung bebanyak , beli macam-2 corak tudung , last-2 pakai satu tudung je , tudung hitam plain . HAHAHAHAHAHAHAHAHA #hijabisproblem
Thu Nov 20 18:26:14 PST 2014 --  #BagiTahuDunia Allah uji bukan kerana benci tapi kerana sayang pada hambanya.
Tue Mar 17 10:02:12 PDT 2015 --  Antara muka muka yang aku tak pernah jemu tengok pic.twitter.com/fhqdqOqZ50
Wed May 06 02:27:23 PDT 2015 --  Sad ? pray . Giving up ? pray . Hurting ? pray . Depressed ? pray . Struggling ? pray . Worried ? pray . Allah cares & loves you
Mon May 04 00:39:06 PDT 2015 --  Bila tudung sekolah dah ada gelembong , makin kita betulkan makin banyak sahabat gelembong dia #hijabisproblem
Tue May 05 07:07:43 PDT 2015 --  Mat male kawe kawe yoww #base_APKH?? #LOL pic.twitter.com/AOp58gwt6b
Tue May 05 07:03:49 PDT 2015 --  Rendahkan ego. Itu penyelamat sesuatu hubungan.
Tue May 05 07:01:42 PDT 2015 --  Lol lol lol lol
Tue May 05 00:55:14 PDT 2015 --  paling best bila ada kawan. "weh jom solat." "weh baca doa dulu." "weh benda tu dosa." "weh jadah tu haram." "weh aurat tu." Allahu.
Tue May 05 06:36:20 PDT 2015 --  Yaaaaa..Exo Next Door Eps 9
Tue May 05 05:32:01 PDT 2015 --  Halohaa.. wakaka pic.twitter.com/RpKrLJd8fP
Tue May 05 05:12:59 PDT 2015 --  Tweet x brhnti hnti..haishh
Tue May 05 05:11:03 PDT 2015 --  Tabah dgn wlau ap pn dugaan#be strongg
Sun May 03 22:38:33 PDT 2015 --  Now at Sentosa
