Fri Jul 31 18:16:40 PDT 2015 --  7 News at 6pm: Anthony Mundine's interview with @DjuroSen. #AdamGoodes pic.twitter.com/kaznAMWZUf
Fri Jul 31 02:00:06 PDT 2015 --  James Packer the latest high profile Australian to rally behind #AdamGoodes. | @MelissaWildy reports. #7NewsAdl http://snpy.tv/1ItRSug 
Thu Jul 30 21:39:15 PDT 2015 --  From the glasses to the hair (hair?) the resemblance is uncanny https://twitter.com/MattCarmichael/status/626974045368496128 …
Thu Jul 30 02:56:27 PDT 2015 --  Great discussion supporting @adamroy37 on #Marngrook @NITV pic.twitter.com/QP8jwNpdAs
Wed Jul 29 23:47:55 PDT 2015 --  Eastern Creek fire burning for more than an hour. @jessdietrich7 on location. 7 News helicopter above. #7News http://snpy.tv/1Sjb09f 
Wed Jul 29 22:44:16 PDT 2015 --  @DjuroSen @MattCarmichael @Jim_Wilson7 love bandit in usual position. and is that a new hat? pic.twitter.com/Tq1L0WDnye
Wed Jul 29 19:33:13 PDT 2015 --  Some reflections on Adam Goodes. https://www.facebook.com/mikebairdMP/posts/938643059597269 …
Wed Jul 29 11:56:36 PDT 2015 --  Microsoft users praise Windows 10 - the Start Menu is back! @djurosen got a first look for 7 News. #Windows10 #7News http://snpy.tv/1h5DiTT 
Wed Jul 29 05:17:12 PDT 2015 --  I hope this catches on. What a brilliant, powerful riposte. pic.twitter.com/hyBJJBKSde
Wed Jul 29 01:57:59 PDT 2015 --  Mac or PC? Not bad response from Microsoft https://twitter.com/7newssydney/status/626314246377181184 …
Wed Jul 29 01:39:19 PDT 2015 --  @DjuroSen Keep those technology stories coming. Great regular part of #7News pic.twitter.com/xTnejjUYRR
Wed Jul 29 01:36:27 PDT 2015 --  7 News with @MarkFerguson_7...still to come... @DjuroSen shows you the new #Windows10. #7News http://snpy.tv/1ezhyhq 
Wed Jul 29 00:40:17 PDT 2015 --  . @Microsoft launches #Windows10. @DjuroSen had exclusive access before today's release, his report in #7News at 6pm https://amp.twimg.com/v/136163ca-9442-4d57-b349-0f351a148c2c …
Tue Jul 28 23:02:19 PDT 2015 --  TONIGHT: #Windows10 has launched and the Start Menu is back! @DjuroSen will gives you an inside look at 6pm. #7News https://amp.twimg.com/v/e533884c-ab09-4955-86ff-1aae0ccad559 …
Tue Jul 28 17:15:49 PDT 2015 --  Should you upgrade to Windows 10? I gave it a test run yesterday - see my report on @7NewsSydney at 6. pic.twitter.com/6770isdism
Tue Jul 28 03:59:12 PDT 2015 --  Thanks @PeterDoherty7 another scoop tomorrow https://twitter.com/PeterDoherty7/status/625983446167322625 …
