Mon Jun 11 00:18:34 PDT 2012 --  #Twitterbigstick for #TuneInn Yaya for giving me wrong info and not solving my problem when raised thus I lost money by buying wrong product
Mon May 28 03:18:02 PDT 2012 --  An explosion reported in a supermarket in Nairobi's CBD.
Sun May 27 17:50:38 PDT 2012 --  In pictures: Life on a Kenyan dump http://bbc.in/KvVSzf 
Thu May 24 06:05:25 PDT 2012 --  #1000reasonstobelieveinkenya ask a neighbour who has visited three or more countries in the world, one is KENYA! Top destination!
Thu May 24 05:40:20 PDT 2012 --  #1000reasonstobelieveinkenya We decide when #1000reasonstodieinkenya dies!
Thu May 24 05:32:40 PDT 2012 --  #1000ReasonsToBelieveInKenya Best beaches in the world!
Thu May 24 05:31:54 PDT 2012 --  #1000ReasonsToBelieveInKenya Where expats ask for hardship allowance just so that they can go for another great safari!
Thu May 24 05:27:34 PDT 2012 --  #1000ReasonsToBelieveInKenya no Kenya, no love. Guess where the roses come from!
Thu May 24 05:26:03 PDT 2012 --  #1000ReasonsToBelieveInKenya Kenya is both a business and holiday destination!
Thu May 24 05:25:10 PDT 2012 --  #1000ReasonsToBelieveInKenya against all odds, we still thrive anywhere we go!
Mon May 07 23:38:29 PDT 2012 --  The 'power' in KP does not refer to electricity but the power to decide whether you will have electricity or not. #TwitterBigStick
Fri May 04 20:47:44 PDT 2012 --  Avoid Riverside Drive. A tree has fallen across near Prime Bank. No Kileleshwa access from Waiyaki way. @sunnysunwords
Mon Mar 26 06:11:02 PDT 2012 --  I hope we wont have an equivalent of Mombasa Republican Council in Turkana now. #Turkanaoil
Fri Mar 02 05:36:11 PST 2012 --  Overlaping drivers, unlike you, I got my dl not just because I was 18 but also because I was mature. @overlapke
Tue Feb 21 23:11:25 PST 2012 --  @Airtel_Ke an sms to a subscriber: strictly confidential, a message of importance coming your way... Really? Cheap! #TwitterBigStick
Thu Feb 16 10:47:32 PST 2012 --  @IanECox I like your negative attitude. Good job @sunnysunwords
Mon Feb 06 22:05:07 PST 2012 --  #TwitterThumbsUp GK A 188U Driver gave me way despite having the mheshimiwa in the car. @sunnysunwords
Sun Jan 29 23:45:32 PST 2012 --  @ZukuOfficial, Your servies are horribe! Legal action maybe so we get what we pay for? #zuku poor service!
Tue Jan 24 22:15:17 PST 2012 --  #Zuku can you guys put your act together and give us consistent service FOR ONE FULL DAY in Kilimani area? @ZukuOfficial
Mon Jan 16 10:05:03 PST 2012 --  Fuel at Shell. Maybe boycott other fuel stations? #fuelshortage
Fri Sep 16 03:28:06 PDT 2011 --  New strategy coming up...
