Sun Jan 25 06:47:35 PST 2015 --  Well, this is rubbish... #whufc
Sat Jan 24 10:34:30 PST 2015 --  " @btsport: Transfer deadline day is yellow... apparently! #DeadlineDay https://amp.twimg.com/v/d737bf4b-5dce-49dc-a206-32c19304a842 …" @SkySportsNewsHQ brilliant
Sat Jan 24 10:11:26 PST 2015 --  " @whustuff: Graphic: FA Cup fate of Premier League clubs ( @behnisch) http://twitter.com/whustuff/status/559039981466157057/photo/1pic.twitter.com/OcWwptyD3O "wow,what an opportunity we have @whufc_official
Tue Jan 13 14:16:49 PST 2015 --  Even though we gave away another lead, I've really enjoyed this game. But we won't win the penalties... #whufc
Tue Jan 13 14:07:26 PST 2015 --  Boom #whufc
Tue Jan 13 13:25:30 PST 2015 --  I hate playing Everton... #NeverWin
Tue Jan 13 11:56:49 PST 2015 --  Well, our third kit sucks... #whufc
Sat Jan 10 11:47:06 PST 2015 --  New managers rejoice! West Brom/Palace/Norwich treble at 27/1! #winner
Wed Jan 07 11:31:05 PST 2015 --  The terrible events today show what a scary world we now live in. When maniacs treat life with so little respect, big problems ahead #Paris
Sat Jan 03 15:27:30 PST 2015 --  I don't like #Berahino at all. What gives him the right to score 4 goals and not celebrate a single one? #UpHimself
Thu Jan 01 15:08:39 PST 2015 --  Why did #MOTD have to get the two worst "pundits" they have on together? They do nothing but state the obvious. #awful
Wed Dec 31 06:13:19 PST 2014 --  #whufc pic.twitter.com/0dBsXbzVtn
Mon Dec 29 15:18:41 PST 2014 --  Seriously, you couldn't make uo what's going on at #nufc. Fans didn't want #Pards so I hope they'll be happy with... #Coloccini ... #joke
Sat Dec 27 13:07:09 PST 2014 --  @joescanlan4 is Michael van Gerwen @OfficialPDC #Darts
Sun Dec 07 12:32:27 PST 2014 --  #3rd #boom #MakingTheMostOfItWhileItLasts pic.twitter.com/0vMVeCpb0h
Sat Dec 06 06:22:15 PST 2014 --  Lucky I didn't include #Chelsea in any of my weekend bets...
Mon Dec 01 14:07:34 PST 2014 --  A pretty bang average series of @imacelebrity just got a little worse. #JimmyBullard
Sun Nov 09 10:29:54 PST 2014 --  Still in a Champions League position... #whufc #MakingTheMostOfItWhileItLasts pic.twitter.com/QHAYEULC5w
Sat Nov 08 06:58:55 PST 2014 --  #COYI #whufc
Sat Nov 08 06:58:10 PST 2014 --  So, #Liverpool lose again. That'll give the media another week's worth of stuff to talk about again... #boring
Thu Oct 30 12:35:59 PDT 2014 --  Daniel Radcliffe Raps Blackalicious' "Alphabet Ae…: http://youtu.be/aKdV5FvXLuI  <- this is amazing #talent
Tue Oct 28 14:37:38 PDT 2014 --  A goal for Peterhead and Liverpool, please.
Sat Oct 25 15:21:37 PDT 2014 --  Vito Mannone. Wow.
Sat Oct 25 13:29:37 PDT 2014 --  #GoalsGalore success in the 4 Dutch games, 1 goal short in each of my other two. So close to being a real profitable day.
Sat Oct 25 08:46:12 PDT 2014 --  Come on Cowdenbeith #GoalsGalore
Sat Oct 25 06:19:33 PDT 2014 --  #DiafraSakho what an absolute steal at £3.5m. Credit @davidgold
Sat Oct 25 06:17:53 PDT 2014 --  IRONS!!!! #whufc
Sat Oct 25 06:14:59 PDT 2014 --  Seriously cannot believe how good our summer signings have been. #Song #Valencia #Sakho #Kouyate #Cresswell #Jenkinson #Almalfitano #whufc
Sat Oct 25 05:40:27 PDT 2014 --  Come on #WestHam lets do this #whufc
Tue Oct 21 13:13:42 PDT 2014 --  #Roma score. Sweet. #treble
Sun Oct 12 14:11:50 PDT 2014 --  Details of services we offer...... pic.twitter.com/YNwO25xNjZ
Sun Oct 12 13:47:04 PDT 2014 --  Journalist Ross Kemp's Amazing Confrontation With…: http://youtu.be/zsWMbH_cdc4  just watched this documentary... scary and absolutely mental.
Sun Oct 12 12:58:58 PDT 2014 --  " @SkySportsDarts #skydarts More here: http://bit.ly/18OWi1y  pic.twitter.com/S1UpOTwQQz" I've seen that face before... @joescanlan4
Sun Oct 12 11:02:21 PDT 2014 --  Well, that was thoroughly rubbish #England
Sun Oct 12 04:34:14 PDT 2014 --  Classic booze helping 17 year olds getting smashed in the 90s pic.twitter.com/AKvReznMJy
Thu Oct 09 13:26:12 PDT 2014 --  #Switzerland 11 shots on target, concede to #Slovenia first shot. Typical.
Thu Oct 09 13:12:07 PDT 2014 --  Goal please, Switzerland.
Tue Oct 07 12:09:26 PDT 2014 --  COMPETITION Win a 12 month membership to @HighestRatedTip worth £120 Simply RT & FOLLOW @HighestRatedTip & @TipstersReview to enter!
Sun Oct 05 07:26:05 PDT 2014 --  " @whustuff: TEAM vs. QPR: Adrian Jenkinson, Tomkins, Reid, Cresswell Song, Amalfitano, Downing, Zarate Sakho, Valencia" #attack
Sun Oct 05 07:24:10 PDT 2014 --  " @ExWHUemployee: One change from the team I tweeted! Poyet out-Zarate in" Boom! #attack
Fri Oct 03 08:58:46 PDT 2014 --  " @danawhite: Diego Sanchez vs Joe Lauzon November 15 in Mexico City!!!" @nick_moss holy crap, what a fight! #GuaranteedBlood
Tue Sep 30 11:41:40 PDT 2014 --  We didn't hear a word from Paul #Scholes all through his long playing career... now you can't shut him up....
Sat Sep 27 14:51:13 PDT 2014 --  Enner Valencia... #FacePalm...
Sun Sep 21 09:45:54 PDT 2014 --  No surprise Frank Lampard didn't celebrate - he always shows the utmost respect and decorum to his former clubs. Oh, hang on...
