Sat Aug 08 18:40:01 PDT 2015 --  Dangerous free kick for Toronto. The wall does it's job #UNLEASH
Sat Aug 08 18:37:47 PDT 2015 --  Sounds like the hometown boy is about to come on. OOOOOO MIRO CABRILO #UNLEASH
Sat Aug 08 18:14:15 PDT 2015 --  Just saw the Vincent goal highlight. Another rocket from outside the 18 #UNLEASH
Sat Aug 08 18:02:48 PDT 2015 --  Big three points tonight if the Hounds can hold the lead #UNLEASH
Sat Aug 08 18:01:51 PDT 2015 --  Richmond and New York losing tonight keeps 4th and 5th place within 4 points of the Hounds. #UNLEASH
Sat Aug 08 17:59:02 PDT 2015 --  @SteelArmy they need to keep up the high press...looks like they are starting to sit back which is never good
Sat Aug 08 17:59:53 PDT 2015 --  With Harrisburg's win tonight they pull level with the Hounds in points (pending our game) with two games in hand #UNLEASH
Sat Aug 08 17:57:23 PDT 2015 --  Halftime: @TorontoFCII 0 Hounds 2 (Vincent 11', Moloto 30') #TORvPGH #unleash
Sat Aug 08 17:58:05 PDT 2015 --  And that's the half. From what we could see when the stream was up the Hounds are looking good. Just need to finish out the game #UNLEASH
Sat Aug 08 17:43:52 PDT 2015 --  Ninth assist of the season for @KevinKerr89 puts him clear as the USL's assist leader. #onthemoon
Sat Aug 08 17:43:27 PDT 2015 --  #ONTHEMOON
Sat Aug 08 17:43:17 PDT 2015 --  Great shot by Moloto too! #UNLEASH
Sat Aug 08 17:42:34 PDT 2015 --  GOAL! MOLOTO! GREAT BACK AND FORTH BETWEEN HIM AND KERR #UNLEASH
Sat Aug 08 17:40:38 PDT 2015 --  The rabbit ears have been adjusted and the border reopened. Stream is back #UNLEASH
Sat Aug 08 17:38:13 PDT 2015 --  STREAM IS BACK UP! http://www.torontofc.ca/live 
Sat Aug 08 17:39:07 PDT 2015 --  Before tonight the Hounds playoff chance was slightly below 50%. Wilmington taking it to NYRBII will help that. #UNLEASH
Sat Aug 08 17:37:12 PDT 2015 --  25' CLOSE! Rivas with a shot that is saved by the fingertips of Gonzalez! #TFCLive
Sat Aug 08 17:28:52 PDT 2015 --  Toronto's video is down, but in good news for @PghRiverhounds, Wilmington (!) is up 4-1 on NYRBII.... because it's the USL.
Sat Aug 08 17:29:12 PDT 2015 --  Isn't there some double digit TSN station that could be airing this? #UNLEASH
Sat Aug 08 17:26:36 PDT 2015 --  Vincent scores, Toronto's stream is down, sun rises in the east, water is wet #UNLEASH
Sat Aug 08 17:22:53 PDT 2015 --  11' goal by @PghRiverhounds. Vincent. #TFCLive
Sat Aug 08 17:21:07 PDT 2015 --  Hounds need to be careful with Toronto's quick counter. Backline is holding strong so far #UNLEASH
Sat Aug 08 16:24:07 PDT 2015 --  Hounds bench tonight: Brown (G), Pasher, Cabrilo, Rivera, Flunder, Zivanovic, C'deBaca.
Sat Aug 08 16:19:31 PDT 2015 --  Starters for @PghRiverhounds tonight at @TorontoFCII: Gonzalez (G), Arena, Hunt, Dallman, Okiomah, Earls, Okai, Moloto, Kerr, Vincent, Green
Sat Aug 08 05:14:05 PDT 2015 --  Club's jack-of-all-trades @Chris_Gerardi gets his front page story. We'll be taking donations to buy him a wet suit. http://www.post-gazette.com/sports/soccer/2015/08/08/Riverhounds-stadium-manager-is-Soccer-Ball-Savior-of-Station-Square/stories/201508080044 …
Fri Aug 07 14:00:51 PDT 2015 --  Steffens said backup G Calle Brown had played well but a bit inconsistently. Riverhounds hovering in playoff contention with 8 games left.
