Sat Mar 22 06:34:15 PDT 2014 --  Jalan2 ke semarang malah bingung mau kmn?
Sat Mar 22 06:33:20 PDT 2014 --  Gimanaya rasanya sakit parah????
Sat Mar 22 06:32:32 PDT 2014 --  INDONESIA!!!!!!
Tue Mar 18 07:08:22 PDT 2014 --  Gak bisa tdr lg
Tue Mar 18 07:08:01 PDT 2014 --  Kepala q pusing
Tue Mar 18 07:07:45 PDT 2014 --  Aduuhhh
Thu Jan 23 23:16:30 PST 2014 --  " @dhikarere: Ayoooooo RT" @nabilahJKT48: ayoo yg cowok2 jangan lupa sholat jumat nya yah, jangan males2 ""yaa
Mon Jan 20 05:53:51 PST 2014 --  enaknya ngpain ya?@lutfida07
Mon Jan 20 05:50:03 PST 2014 --  http://kplg.co/z6BL  Agnes Monica Tanpa Make Up, Cantik Atau Tidak?
Thu Jan 16 01:10:56 PST 2014 --  transformer pic.twitter.com/8M8rqxGvNx
Thu Jan 16 01:05:55 PST 2014 --  PBan ahh
Thu Jan 16 01:03:42 PST 2014 --  Widih.. Sini lawan gue. Gue mainnya merem deh. RT @Orstedsut: @radityadika bang say hallo bang pic.twitter.com/SFlauLe7gn
Wed Jan 15 06:19:07 PST 2014 --  maleeesssss tidur aj ah
