Wed Jan 07 13:13:24 PST 2015 --  J'espere qu'ils enduront la souffrance que la France est en train d'endurer ! #CharlieHebdo #JeSuisCharlie #ViveLaFrance
Wed Jan 07 12:25:25 PST 2015 --  Ils ont voulu mettre la France à genoux, ils l'ont mise debout.
Wed Jan 07 11:29:27 PST 2015 --  Des personnes comme ça ne devraient même pas exister.
Wed Jan 07 07:52:05 PST 2015 --  Le policier au sol fusillé parce qu'il a hurlé aux gens de ne pas sortir.. Tu pars en héros, je parlerai de toi à mes enfants. #CharlieHebdo
Wed Jan 07 09:24:23 PST 2015 --  #JeSuisCharlie pic.twitter.com/plb4sengMJ
Wed Jan 07 04:53:54 PST 2015 --  Toute l'équipe de L'Autre JT est profondément abattue par le drame de Charlie Hebdo. #SolidaritéCharlie pic.twitter.com/7lru3vDJuG
Wed Jan 07 04:07:35 PST 2015 --  @fhollande Cessez de faire l'autruche et osez avouer au peuple qui est derrière ce lâche attentat !
Wed Jan 07 07:45:41 PST 2015 --  #CharlieHebdo c'etait ecrit ...Paix au victime et a leurs familles. Ils n'etaient pas guider pas Allah mais par Satan pic.twitter.com/4Dj0nsprOe
Wed Jan 07 06:29:05 PST 2015 --  Tout l'esprit Charlie illustré dans ce chouette dessin publié aux Pays-Bas #CharlieHebdo #JeSuisCharlie pic.twitter.com/am1M5h9rJ3
Wed Jan 07 07:44:22 PST 2015 --  comment de tel acte peuvent etre possible sur notre territoire ! #CharlieHebdo #JeSuisCharlie
Wed Jan 07 07:26:30 PST 2015 --  pic.twitter.com/dYMjBx1MAc
Wed Jan 07 04:36:08 PST 2015 --  Leurs crayons sont des armes bien plus puissantes que vos fusils #CharlieHebdo
Wed Jan 07 06:10:31 PST 2015 --  I am devastated by what just happened in France. #CharlieHebdo pic.twitter.com/IxEbScqYFh
Wed Jan 07 06:34:16 PST 2015 --  Cette phrase me bouleverse et m'inspire un profond respect... #CharlieHebdo #JeSuisCharlie pic.twitter.com/3T5OrswRT6
Wed Jan 07 07:13:44 PST 2015 --  Et une grosse pensée aussi aux familles des 12 victimes de cet attentat #CharlieHebdo #JeSuisCharlie #rip !
Wed Jan 07 07:12:11 PST 2015 --  une grosse pensée aux familles des deux policiers qui sont mort en nous protégeant ! #CharlieHebdo #rip #police
Wed Jan 07 06:51:28 PST 2015 --  #JeSuisCharlie
Wed Jan 07 06:13:37 PST 2015 --  les personnes qui ont fait sa devrait etre exécuter en public ! #CharlieHebdo #RIP
Wed Jan 07 06:10:07 PST 2015 --  Soutien aux forces de l'ordre tombé pour avoir défendu nos concitoyens. #CharlieHebdo #LT
Tue Jan 06 12:49:38 PST 2015 --  Allelluia @xSqueeZie vas enfin pouvoir pecho ! pic.twitter.com/2hMMFnCL6x
Tue Jan 06 11:32:37 PST 2015 --  Ho nn @xSqueeZie est un pedophile impossible ! pic.twitter.com/mCPhEwOkIo
Sun Jan 04 07:01:40 PST 2015 --  Nnnnnn putain ! #RCLOL #TeamOL
Sun Jan 04 07:00:37 PST 2015 --  Olalala la magnifique vole sur la barre de Malbranque dommage ! #cestpaspasserloin #RCLOL #TeamOL
Sun Jan 04 06:53:43 PST 2015 --  Aller les gones faut pas se relacher sur la fin du match ! #RCLOL #TeamOL
Sun Jan 04 05:52:25 PST 2015 --  ha nn mais la 3-0 en 30min c'est pas légal ! #viol #RCLOL
Sun Jan 04 05:23:22 PST 2015 --  Goal ! ! ! ! #RCLOL
Sat Jan 03 05:15:48 PST 2015 --  https://account.xbox.com/gameclip/4d4b6f71-2db9-413f-be79-43ba340fc63d?gamertag=Xtr3M%20StAr%2069&scid=0b430100-23ff-43cd-a287-894f64b02253 …
Fri Jan 02 10:38:56 PST 2015 --  Et ba franchement je comprend pourquoi mes parents n'aiment pas faire les courses ! #jenpeutplus #suicide
Wed Dec 31 06:55:16 PST 2014 --  Non tqt elle est pas jalouse pic.twitter.com/Hfg78Igg0z
Wed Dec 31 03:41:15 PST 2014 --  plus que quelques heures avant la fete de l'année ! #jeuxdemotsdemerde #HappyNewYear #party
Sat Dec 27 17:03:40 PST 2014 --  Apres des annees d'attente je vais enfin avoir une nouvelle chambre ! #impatience #happyman #yeahhhh
Thu Dec 25 14:11:00 PST 2014 --  c'est quoi ce bordel avec ces fdp de Lizard Squad qui hack le psn et le Xbox live ! #noelniquer #grosfdp #rage
Wed Dec 24 18:21:15 PST 2014 --  Vie sociale ou est tu ? #XboxOne #Christmas #nolife pic.twitter.com/zqUuwOtx1F
Wed Dec 24 10:48:52 PST 2014 --  C'est partis
Wed Dec 24 15:06:35 PST 2014 --  Joyeux Noel ! #Christmas
Wed Dec 24 10:33:11 PST 2014 --  entre le réveillon de noel et celui du nouvel an je vais bouffer comme un gros porc ! #bonnebouffe #Christmas #newyear
Wed Dec 24 10:29:48 PST 2014 --  putain j'en peut plus j'ai envie d'ouvrir mes cadeaux ! #impatient #Christmas
Wed Dec 24 03:00:35 PST 2014 --  dans quelque heures le peu de vie sociale qui me reste va disparaitre ! #Christmas #XboxOne #hommeheureux
Wed Dec 17 09:00:28 PST 2014 --  C'est le moment de faire le plein d'applis avec #PhoneApps ! VIDEO ► http://buff.ly/1uXVE9z  pic.twitter.com/HSd0eN8D2e
Wed Dec 10 09:00:36 PST 2014 --  #PhoneApps75 est en ligne ! Un cadeau à gagner dans la vidéo. cc @JeanMariePortal http://buff.ly/1sbUqfp  pic.twitter.com/e7lHi4C2kE
Thu Nov 27 09:42:07 PST 2014 --  demain rentrée a 9h et sortie a 15h30 quoi de mieux pour finir la semaine ! #happyman #psm
