Sat Jul 25 00:02:30 PDT 2015 --  A neighbor once told me that when you see a ghost of a dead relative it's not rly them cuz only Jesus can rise from the dead so it's demons
Fri Jul 24 18:15:52 PDT 2015 --  @GhostEpisodes here's a demon I caught on camera in the cemetery by my house!!! pic.twitter.com/xBe9fmeN7R
Sun Jul 19 14:05:11 PDT 2015 --  @GhostEpisodes Thanks for the follow. Caught this apparition from 1856 home, 7 documented deaths took place here pic.twitter.com/fdDDvfDXs7
Sun Jul 19 08:01:19 PDT 2015 --  SNEEK-PEEK of Season 11 Premiere of "Edinburgh Manor" August 22nd on Travel Channel! #GhostAdventures http://youtu.be/8Ebh6XWzauo 
Sun Jul 19 04:45:50 PDT 2015 --  https://www.youtube.com/watch?v=aIfzpmqRC4M … Real Ghost Caught In Cemetery | Real or Fake | You Decide pic.twitter.com/5ZnIWyhXaW
Fri Jul 17 17:50:26 PDT 2015 --  Is that true? https://www.youtube.com/channel/UC4Zsll4lsE06ZC9a3lv7Kcw … pic.twitter.com/PgpKFPicjS
Mon Jul 13 16:47:12 PDT 2015 --  I wast happy at all but thank for sharing me great video clip. I appreciate. https://twitter.com/kidschannel15/status/620740869704974336 …
Fri Jul 10 13:09:59 PDT 2015 --  Top 5 fake video ghost caught on tape 2015 https://www.youtube.com/watch?v=s69GMi_mMc8 … pic.twitter.com/H2A9LIYvEG
Sat Jul 04 15:12:43 PDT 2015 --  Let someone takes the wheel for you if you drunk. pic.twitter.com/gnoVQxCyo0
Sat Jul 04 14:19:07 PDT 2015 --  Happy July 4th to everyone. Have a safe holiday pic.twitter.com/Kns7V9I1fS
Thu Jul 02 18:35:42 PDT 2015 --  Ghost caught in car accident - You Must Watch in this weekend. Happy holiday to all of you https://goo.gl/W3iGBA  pic.twitter.com/Wa78qRYiVy
Thu Jul 02 15:41:27 PDT 2015 --  Just posted a new intro ghost adventures. Let me know what you think. Thank you https://instagram.com/p/4ppgeamsK3/ 
Tue Jun 30 13:06:56 PDT 2015 --  https://instagram.com/p/4kL1NLGsHd/  pic.twitter.com/8ALkZzXuvL
Sat Jun 27 13:53:15 PDT 2015 --  Top 5 real ghost caught on camera in June, 2015 https://goo.gl/I2W4j3  pic.twitter.com/qRssjElGkw
Thu Jun 25 17:05:37 PDT 2015 --  I'm so excited! just preordered my new @lily #drone #camera. I can't wait for this. Feeding my #techNERD needs :) pic.twitter.com/bxc35TY4xf
Thu Jun 25 11:26:47 PDT 2015 --  @EmilyAlterio @GhostEpisodes You have to walk in them shoes before we say things about others. So please don't .
Thu Jun 25 11:21:12 PDT 2015 --  I think it all depends. There are ones that are still married and still do what they love. Like Jason from GH.. https://twitter.com/GhostEpisodes/status/614132095280091136 …
Thu Jun 25 11:02:03 PDT 2015 --  I don't think Nick is doing well on his own. In fact I am certain of it. He gave up a lot for LOVE. I would have done the same. (KatBigher)
Thu Jun 25 09:33:07 PDT 2015 --  @GhostEpisodes lol @Zak_Bagans nice stache buddy. I guess you answered my question.
Thu Jun 25 09:30:25 PDT 2015 --  Five always beats Four. Love all of them http://goo.gl/1Bkumi  pic.twitter.com/FwRJRumk0G
Wed Jun 24 21:39:44 PDT 2015 --  Nice hair! Nick https://twitter.com/NickGroff_/status/613837670435921920 …
Wed Jun 24 21:01:46 PDT 2015 --  Ghost Adventures @GhostEpisodes best show on TV @Zak_Bagans @AaronGoodwin are badass! Can't wait for new episodes in Aug
Wed Jun 24 20:59:13 PDT 2015 --  Ghost adventures is life @GhostEpisodes @Zak_Bagans @AaronGoodwin
Wed Jun 24 10:23:02 PDT 2015 --  Jus slept like shit but today is an exciting day for me https://twitter.com/kelseygacwilkey/status/613758332222881792 …
Sun Jun 21 18:00:48 PDT 2015 --  Top 10 most haunted places in Texas https://www.youtube.com/watch?v=GOAqMw13gdg … pic.twitter.com/c3RMRfZhG5
Sun Jun 21 11:27:50 PDT 2015 --  @GhostEpisodes I just wish I could get them to follow me back.
Sun Jun 21 08:01:44 PDT 2015 --  @GhostEpisodes may all enjoy this day. Remember the fun if your father is no longer here!
Sun Jun 21 07:27:23 PDT 2015 --  HAPPY FATHERS DAY https://goo.gl/AGIAaS  pic.twitter.com/cyEeqkcr6g
Sat Jun 20 11:38:18 PDT 2015 --  @GhostEpisodes @NickGroff_ I love this #Rumors . I just want u come back bro.
Sat Jun 20 10:21:10 PDT 2015 --  Guess what? He will come back to us soon. Can't wait to see him @NickGroff_ pic.twitter.com/wrTemKggXn
Sat Jun 20 09:44:30 PDT 2015 --  Anyone use instagram? https://instagram.com/ghostepisodes/  Need some followers to call a day guys and girls. Thank you pic.twitter.com/YJqnqOVxQq
Sat Jun 20 06:23:47 PDT 2015 --  Good Morning Guys and Girls. Hope all of you have a wonderful Saturday.
Fri Jun 19 20:40:57 PDT 2015 --  Anyone here live in Oregon?
Fri Jun 19 20:36:57 PDT 2015 --  Top 7 Most Haunted Places in Oregon https://www.youtube.com/watch?v=vi7izGCbgvc … pic.twitter.com/JTgy9hOsZV
Fri Jun 19 14:30:24 PDT 2015 --  Ghost caught on CCTV at restaurant | Real or Fake | You Decide https://www.youtube.com/watch?v=zjzjrWKBeDs … pic.twitter.com/khEHAG2xtc
Fri Jun 19 09:41:33 PDT 2015 --  Sometimes I just like to lay in bed cause its all fluffy and shit
Fri Jun 19 13:39:43 PDT 2015 --  Ghost in a Bar | Real or Fake | You Decide https://www.youtube.com/watch?v=e41dqbNDdH0 … pic.twitter.com/CunO8p9Ark
Thu Jun 18 15:38:52 PDT 2015 --  @GhostEpisodes @nicolexettore curious about the location heard different things about it
Thu Jun 18 16:34:18 PDT 2015 --  @GhostEpisodes Such an incredible investigation!!!!:) #IslandOfTheDolls!!!
Thu Jun 18 10:04:27 PDT 2015 --  @GhostEpisodes just seen ser 8 ep3. I may just start to believe what I see on TV. WOW. X
Thu Jun 18 08:01:05 PDT 2015 --  Ghost Adventures Season 9 episode 5 Fear Factory in Utah https://www.youtube.com/watch?v=1ty3uWvv84g …
Thu Jun 18 07:49:07 PDT 2015 --  Anyone here can correct this list 4 me. Tks
Thu Jun 18 07:06:50 PDT 2015 --  Anyone here live in Utah? Haunted attraction taking over abandoned factory in Utah https://www.youtube.com/watch?v=-OKy7H94ZAo … pic.twitter.com/aH4NzImjs3
Thu Jun 18 05:50:04 PDT 2015 --  Top 10 Most Haunted Places in California https://www.youtube.com/watch?v=-89tMr3t9uc … pic.twitter.com/WCh56oPtQ8
Wed Jun 17 13:33:39 PDT 2015 --  Ghost in subway | Real or Fake | You Decide https://www.youtube.com/watch?v=SUu86u_x5-o … pic.twitter.com/zenLlejiGR
Wed Jun 17 12:13:24 PDT 2015 --  Paranormal activity caught on CCTV at MacDonald | Real or Fake | You decide https://www.youtube.com/watch?v=shU8qI5iZxc … pic.twitter.com/C2S1BIgGx4
Wed Jun 17 04:54:07 PDT 2015 --  @GhostEpisodes bobby mackeys seriously scarey i dare shadows paranormal to investigate this place
Tue Jun 16 23:45:56 PDT 2015 --  Woman claims Rude Ghost pushes her over | Real or Fake | You Decide https://www.youtube.com/watch?v=r8foiB32qg4 … pic.twitter.com/z5UxaFCcti
Tue Jun 16 22:05:45 PDT 2015 --  Always felt like I was being followed in that house ... Still do sometimes @GhostEpisodes @RyderShelly
Tue Jun 16 21:55:52 PDT 2015 --  Also about 10 yrs ago they built a bunch of Brand new houses on what was a confirmed an indian burrial ground @GhostEpisodes @RyderShelly
Tue Jun 16 20:09:49 PDT 2015 --  I mean this epsidoe 4 season 10. Dolls island https://m.youtube.com/watch?list=PLApwdKIs8otDr64bQP8uz6S2gXbX-J6m3&v=BmWdcgFtVCE … At minute 24th
Tue Jun 16 20:04:05 PDT 2015 --  I watched this show. I want share my opinions about fires. I would said that fake, and it will hurt GAC fans
Tue Jun 16 19:58:12 PDT 2015 --  http://www.youtube.com/watch?v=CUKzesIqPbs&sns=tw … via @youtube Real or fake. I would said that fake :)
Tue Jun 16 16:38:35 PDT 2015 --  Top 5 Scariest Places In The United States https://www.youtube.com/watch?v=PV0XzLm8xVY … pic.twitter.com/RrCyssOUNb
Tue Jun 16 10:09:21 PDT 2015 --  Top 13 Scary Dolls in United States https://www.youtube.com/watch?v=ATeNuOgNZjE … pic.twitter.com/7WcZuqRHrk
Mon Jun 15 21:33:40 PDT 2015 --  Ghost or Animal | Real or Fake | You Decide https://www.youtube.com/watch?v=T31zFbUsvPg … pic.twitter.com/wmTYVYrt4u
Mon Jun 15 16:12:40 PDT 2015 --  Hot girl possessed by demon at seven eleven | Real or Fake | You Decide https://www.youtube.com/watch?v=YfgxAsr93S4 … pic.twitter.com/CfXp3XRZDo
Mon Jun 15 15:15:16 PDT 2015 --  Ghost steps out from car | Real or Fake | You Decide https://www.youtube.com/watch?v=JWKen_jMkRU … pic.twitter.com/mTqm8opx7V
Mon Jun 15 14:58:00 PDT 2015 --  http://www.youtube.com/watch?v=ja0JcZ5Ujpc&sns=tw … via @youtube
Mon Jun 15 14:50:52 PDT 2015 --  i have been watching 3 guys since 2008. In my humble opinion, Zack is the one of reason that Nick left the show.
Mon Jun 15 14:44:16 PDT 2015 --  http://www.youtube.com/watch?v=DrfJhc31LTI&sns=tw … via @youtube
Mon Jun 15 14:40:43 PDT 2015 --  @wolfandthebear1 @GhostEpisodes thanks guys I'm a huge fan of all of you Zak Bagans Nick and Aaron keep up the good work on everything
Mon Jun 15 14:37:10 PDT 2015 --  @wolfandthebear1 @GhostEpisodes I liked the fact that was very spiritual and very cool to listen to loved it
Mon Jun 15 04:58:01 PDT 2015 --  @GhostEpisodes https://soundcloud.com/bear-medicinewalker/visionary-times-bishop-long … just spoke with him ;)
Fri Jun 12 15:50:00 PDT 2015 --  @GhostEpisodes wow that was real you guys catch the most amazing footage keep on doing what you guys do best
Sun Jun 14 23:46:53 PDT 2015 --  Ghost caught on haunted pond in India | Real or Fake | You Decide https://www.youtube.com/watch?v=kq-BlHoq_hU … pic.twitter.com/78wA0ukemQ
Sun Jun 14 15:08:34 PDT 2015 --  Got some cool news about the Virginia City stop on the tour. The @NickGroffTour is gonna take over the town!!! pic.twitter.com/vV2yitCIT7
Sun Jun 14 04:14:10 PDT 2015 --  Bishop James Long participated in the exorcism of Carl Lawson | Real or Fake https://www.youtube.com/watch?v=cbHqhmWvZMM … pic.twitter.com/TBdnH6GYDi
Sat Jun 13 20:15:59 PDT 2015 --  Beautiful girl possessed by demon in Dogdy position | Real or Fake | You decide https://www.youtube.com/watch?v=6wsgc9WorTE … pic.twitter.com/Yv5lOTjpJQ
Sat Jun 13 17:01:22 PDT 2015 --  Demon or Ghost in convenient store | Real or Fake | You decide https://www.youtube.com/watch?v=DeLxrjetruA … pic.twitter.com/nijl4iTGvN
Sat Jun 13 10:00:26 PDT 2015 --  Demon caught on Iphone | Real Or Fake | You Decide https://www.youtube.com/watch?v=uEgjQgJDmpk … Have Great Saturday guys and girls pic.twitter.com/hPQArMFBBx
Sat Jun 13 09:34:30 PDT 2015 --  Been watching you guys since 2008. https://twitter.com/jackets97/status/607272674851717120 …
Fri Jun 12 17:28:23 PDT 2015 --  Ghost caught at Liquid Store | Real or Fake | You Decide https://www.youtube.com/watch?v=YTo1xGb80JM … pic.twitter.com/1p6fNChxvc
Fri Jun 12 15:46:16 PDT 2015 --  Ghost caught at empty Bar in middle night | Real or Fake | You Decide https://www.youtube.com/watch?v=9GZVGhXu5Ic … pic.twitter.com/HeIK0exjTA
Fri Jun 12 10:02:28 PDT 2015 --  Demon caught on camera in living room | Real or Fake | You Decide Im speechless. https://www.youtube.com/watch?v=nu9uB9lAi2s … pic.twitter.com/FV4GV5tjeU
Thu Jun 11 19:10:35 PDT 2015 --  Ghost caught on CCTV in bookstore | Real or Fake | You Decide https://www.youtube.com/watch?v=Nyfwemz_rlI … pic.twitter.com/f9XnBMX4A2
Thu Jun 11 08:39:46 PDT 2015 --  Ghost Caught On CCTV Camera In Blockbuster | Real or Fake | You decide https://www.youtube.com/watch?v=RHOG3IeOM8s … pic.twitter.com/AkyFqwQuxs
Wed Jun 10 20:48:44 PDT 2015 --  Never ever own Ouija Board guys | Real or Fake | You Decide https://www.youtube.com/watch?v=EB57smFYR3o … pic.twitter.com/qbZqAcCcLo
Wed Jun 10 19:40:53 PDT 2015 --  Demon or Ghost in convenient store | Real or Fake | You decide https://www.youtube.com/watch?v=DeLxrjetruA …
Wed Jun 10 18:56:19 PDT 2015 --  Ghost or Demon in office Seattle, WA | Real or Fake | Ghost Adventures Fans https://www.youtube.com/watch?v=sM9Y301JVrI … pic.twitter.com/7WnmgTUIAx
Wed Jun 10 18:18:14 PDT 2015 --  REAL OR FAKE | YOU DECIDE | GHOST ADVENTURES FANS https://www.youtube.com/watch?v=GnkfyGoJSL0 … pic.twitter.com/zOyJvEQSRb
Wed Jun 10 00:16:09 PDT 2015 --  Tell us what you think guys. It happened sometimes to us. We can't explain it. https://www.youtube.com/watch?v=7WSvcKf0iE0 … pic.twitter.com/oh68fNiMwx
Tue Jun 09 18:26:22 PDT 2015 --  The Old Charleston Jail in Charleston, South Carolina https://www.youtube.com/watch?v=7Ud7A5fR9WI … pic.twitter.com/rvOx48Al6l
