Thu Jul 30 19:07:36 PDT 2015 --  من أعظم مطالب #الدنيا أن يكفيك الله الهم ومن أعظم مطالب #اﻵخرة أن يغفر الله لك الذنب هما مضمونان مكفولان بكثرة الصلاة والسلام على المصطفى ﷺ
Tue Jul 28 07:21:56 PDT 2015 --  سبحان الله،الحمد لله،لا إله إلا الله،الله أكبر عن أبي هريرة قال/قال رسول الله ﷺ إن الله تعالى يقول ( أنا مع عبدي إذا ذكرني وتحركت بي شفتاه.
Sun Jul 26 11:07:40 PDT 2015 --  ابتغاء وجه الله تعالى .. ( #الإخلاص ) هو سبب كل خير .. وأساس #نجاح كل عمل .. فجاهد نفسك على ذلك .. تفز بسعادة الدنيا والآخرة.
Sat Jul 25 13:40:01 PDT 2015 --  من أجلّ الأعمال ، وأعظمها : #الصدقة عن #الوالدين وإشراكهما في أعمال الخير. قد تتبرع عنهما استقلالا ... وقد تشركهما معك في صدقتك.
Sat Jul 25 04:49:30 PDT 2015 --  من ألزم ، وأوجب ، وأهم ، وأولى ، وأحرى ، وآكد الواجبات تجاه #الوالدين : #الدعاء لهما اجعل ذكرهما والدعاء لهما .. ملازما لك لا ينفك عن بالك.
Fri Jul 24 06:29:56 PDT 2015 --  كُن كما تُريد .. لا كما يُريد #الناس ! #كلمات_للذات .
Sun Jul 19 05:06:21 PDT 2015 --  قال رسول الله صلى الله عليه وسلم : ما نقصت #صدقة من مال وما زاد الله عبدا بعفو إلا عزا وما #تواضع أحد لله إلا رفعه الله.
Fri Jul 17 04:45:34 PDT 2015 --  إذا كنت تريد رؤية #الجمال في كل ذرات الوجود .. فأنظر للوجود بعين #التفاؤل .. #العيد فرحه .. دامت علينا ، وعليكم #الأفراح .
Fri Jul 17 02:25:00 PDT 2015 --  قال النبي ﷺ بينما كلب يطيف بركية ، كاد يقتله العطش ، إذ رأته بغي من بغايا بني إسرائيل ، فنزعت موقها ،فسقته فغفر لها به. #دعوة_للتأمل ..
Thu Jul 16 09:56:58 PDT 2015 --  كل عام وانتم ومن تحبون بخير ، و #عساكم_من_عواده ، و #عيدكم_مبارك .. تقبل الله منا ومنكم صالح الأعمال وعفى الله عنا وعنكم وعن والدينا.
