Sun Aug 09 08:14:08 PDT 2015 --  Indian Air Force Sukhoi Su-30 MKI escorting British Eurofighters Exercise Indradhanush 2015. pic by Rich Cooper pic.twitter.com/ECGdAftRTV
Sun Aug 09 08:20:59 PDT 2015 --  Indian Air Force Sukhoi Su-30 MKI Exercise Indradhanush 2015. pic by Rich Cooper pic.twitter.com/12Kqp95FK4
Sun Aug 09 08:23:13 PDT 2015 --  #IAF #Sukhoi Su-30 MKI British #Eurofighters Exercise #Indradhanush 2015. #Aviation power. wow! pic by Rich Cooper pic.twitter.com/hcgc6G3FFp
Sun Aug 09 08:25:26 PDT 2015 --  Time for all Indians to know their country and heritage. Follow my tweets and educate others. Be proud & positive pic.twitter.com/nIF9jAKkiX
Sun Aug 09 09:32:36 PDT 2015 --  Om namah shivay pic.twitter.com/ZwR6thHJVC
Thu Aug 06 07:46:20 PDT 2015 --  Time for all Indians to know their country and heritage. Follow my tweets and educate others. Be proud & positive pic.twitter.com/YPI2iPnB8w
Thu Aug 06 08:36:44 PDT 2015 --  pic.twitter.com/XfBPwSo1a0
Thu Aug 06 09:02:24 PDT 2015 --  Time for all Indians to know their country and heritage. Follow my tweets and educate others. Be proud & positive pic.twitter.com/OXRSjkkxN2
Thu Aug 06 09:16:23 PDT 2015 --  World is full of good people pic.twitter.com/w0OoNNdvn1
Thu Aug 06 09:52:53 PDT 2015 --  Time for all Indians to know their country and heritage. Follow my tweets and educate others. Be proud & positive pic.twitter.com/TqBJpglucG
Wed Aug 05 19:44:08 PDT 2015 --  Aurangzeb Road to become Dr APJ Abdul Kalam Road? Start process Anyone who opposes will be exposed as an enemy agent. pic.twitter.com/Bsdx5BM6vC
Wed Aug 05 00:05:11 PDT 2015 --  pic.twitter.com/dAapuDQqfc
Sat Aug 01 23:22:08 PDT 2015 --  An IAF Su-30 MKI and an RAF Typhoon fly alongside during Indradhanush-2015 in UK. See which looks better pic.twitter.com/rit6eXIgkH
Sun Aug 02 00:25:53 PDT 2015 --  Many ppl have shared this. Message is right but wonder if it's actually by Mahmood Madani pic.twitter.com/4hGHfIJFCH
Sun Aug 02 01:49:55 PDT 2015 --  केन्‍द्रीय पर्यटन मंत्री महेश शर्मा: सरकार सांसदों पर काम नहीं तो वेतन नहीं का फार्मूला लागू करने पर विचार कर रही है pic.twitter.com/zOvEmOQlqz
Sun Aug 02 10:39:02 PDT 2015 --  Renaming Aurangzeb road as Abduk kalam road is a very good idea. it must be implimented at the earliest.Aurangzeb... http://fb.me/7Gl5oEDz8 
Wed Jul 29 17:37:34 PDT 2015 --  Three views on the overnight SC hearing: 1. Wow, what a democracy. 2. Wheels of justice for VVIP terrorist. 3. Abuse of law by lawyers.
Wed Jul 29 18:07:57 PDT 2015 --  Terror has NO religion, but it has human rights and lawyers!
Wed Jul 29 00:12:15 PDT 2015 --  Remembering the legendary industrialist and visionary #JRDTata on his 111th birthday :) pic.twitter.com/89kjiSnKom
Tue Jul 28 03:55:51 PDT 2015 --  The Aurangzeb Road should be renamed Abdul Kalam Marg. After all if CP can be named Rajiv Chowk
Tue Jul 28 02:24:48 PDT 2015 --  The best Commander in Chief pic.twitter.com/8dkQqx2eHf
Mon Jul 27 18:17:21 PDT 2015 --  #APJAbdulKalam pic.twitter.com/iUm3oTGBsO
Mon Jul 27 18:42:49 PDT 2015 --  Dreams are not what you see in sleep. They are the things that do not let you sleep pic.twitter.com/juxwBkcIDw
Mon Jul 27 19:44:28 PDT 2015 --  कलाम सर! आप हमेशा हमारे दिलों में ज़िंदा रहेंगे... यादें.. Great memories of #MissileMan #APJAbdulKalam . pic.twitter.com/Past3EpQs4
Wed Sep 03 03:48:18 PDT 2014 --  अगर सारे हिन्दू वल्लभ भाई पटेल और सारे मुसलमान अब्दुल कलाम जैसे हो तो दंगे तो दूर की बात कोई दुनिया की ताकत भारत की तरफ आँख उठाकर भी ना देखे
Mon Jul 27 11:15:42 PDT 2015 --  "DONT DECLARE HOLIDAY ON MY DEATH, INSTEAD WORK AN EXTRA DAY, IF U LOVE ME"- DR. APJ Abdul Kalam
Mon Jul 27 11:43:24 PDT 2015 --  pic.twitter.com/CB6GSjlgs6
Mon Jul 27 13:52:03 PDT 2015 --  pic.twitter.com/cdz3vI4vgL
Mon Jul 27 09:40:11 PDT 2015 --  sad day for India 2day lost our brave security personal and one of the greatest Man of India
Mon Jul 27 02:11:39 PDT 2015 --  Who dies in a terror attack and who support them thereafter pic.twitter.com/D4DiRFMnLR
Mon Jul 27 02:13:45 PDT 2015 --  Rip Baljit Singhji! #salute #indianmartyr #GurdaspurTerrorAttack https://twitter.com/prachinvaani/status/625579460104859649 …
Sun Jul 26 10:02:43 PDT 2015 --  May the God bless our soldiers: President APJ Kalam pic.twitter.com/dODnejdN5P
Sun Jul 26 06:42:53 PDT 2015 --  Prabhas, lead actor, Bahubali, calling on PM Shri @narendramodi pic.twitter.com/kugicCvFdg
Sun Jul 26 07:30:15 PDT 2015 --  #JRDTata received the UN Population Award in September 1992 for contributing towards causes of national interest pic.twitter.com/JRWYrqNGjK
Sat Jul 25 09:00:16 PDT 2015 --  "I do not want India to be an economic superpower. I want India to be a happy country."—JRD Tata #JRDTata pic.twitter.com/cx8cCcyKIs
Sat Jul 25 05:13:57 PDT 2015 --  1951 :: Martand Sun Temple , Anantnag , Kashmir pic.twitter.com/NnFtE65Ezt
Sat Jul 25 06:04:21 PDT 2015 --  #ArmyChief pays homage at Drass Army memorial #KargilDiwas Had there been the NWM at India Gate whole nation could pic.twitter.com/FexdlPBPHy
Sat Jul 25 06:10:21 PDT 2015 --  Won't allow another #Kargil #GeneralDalbir #ArmyChief #Salute pic.twitter.com/rp1uhCfQNe
Wed Jul 22 04:15:25 PDT 2015 --  #1965War Patton Tank graveyard near #Bhikhiwind village..Pakistani tanks captured at the #BattleofAsalUttar. pic.twitter.com/p3AOBUfeS3
Mon Jul 20 18:32:04 PDT 2015 --  Good morning India pic.twitter.com/ykfMYJ2EJA
Mon Jul 20 00:31:35 PDT 2015 --  Jai Ho.:) https://twitter.com/AmareshPatra/status/623031149518925829 …
Sun Jul 19 18:48:58 PDT 2015 --  Designer of India's flag. Salute Sir pic.twitter.com/SWq7AU94ya
Sun Jul 19 08:16:38 PDT 2015 --  pic.twitter.com/NlsUfahYLL
Sat Jul 18 20:17:26 PDT 2015 --  Jai Hind !! Tributes to freedom fighter Shaheed Mangal Pandey on his birth anniversary. #MangalPandey pic.twitter.com/VjG0vtroef
Fri Jul 17 09:24:04 PDT 2015 --  Pakistan flags waved in Srinagar (J&K). Is that Eid Mubarak? Or Treason? Weak state? Shoot at sight? More Aid? pic.twitter.com/s4ydTN0itr
Thu Jul 16 10:32:32 PDT 2015 --  Salute you Sir pic.twitter.com/iJXyA4IhEy
Tue Jul 14 21:10:19 PDT 2015 --  #GreatIndians This Man Runs His Hand-Cart Mounted Stall On A #SolarPanel He Operates A Small Freezer, A Mixi On It! pic.twitter.com/mWdK2ZqmHs
Mon Jul 13 08:38:16 PDT 2015 --  Courage. Indian Army Salute pic.twitter.com/4wyl7B9bDg
Fri Jul 10 09:35:37 PDT 2015 --  Bravo! @ISRO's heaviest commercial rocket launch, the PSLV-C28 successfully blasts off. pic.twitter.com/r9dEzsPE9z
Fri Jul 10 10:14:59 PDT 2015 --  #ISRO's #PSLV launches 5 UK satellites into space Keeping India's flag flying high Powering a billion plus dreams pic.twitter.com/Pm4Lw57Pa6
Fri Jul 10 11:20:19 PDT 2015 --  #PSLV pic.twitter.com/z3CVhsQvec
Fri Jul 10 04:48:44 PDT 2015 --  #ICGDornier Major Breakthrough achieved in locating the missing aircraft. pic.twitter.com/Koy3EpoTDO
Tue Jul 07 01:48:42 PDT 2015 --  A big hug and best wishes on your birthday @msdhoni. Tum jiyo hazaroon saal, saal ke din ho hazaar... pic.twitter.com/GnDLV9JwGU
Sat Jul 04 23:39:00 PDT 2015 --  04 July Swami Vivekanand death anniversary pic.twitter.com/wTEGE4EicD
Mon Jun 22 21:28:18 PDT 2015 --  respect pic.twitter.com/44KMaH9m4p
