Wed Aug 26 05:35:37 PDT 2015 --  Kirim bbm dong RT @ariyantinovaa: Selalu Ku Bimbang sayang gemeresek(?)._.
Wed Aug 26 05:35:04 PDT 2015 --  Pukpuk wil RT @ilmaimeel: Yg sana yg sini yg sono kalo bikin kesel satu satu dong jangan keroyokan gini, males deh. Pray for my mood.
Wed Aug 26 05:27:44 PDT 2015 --  Hahahaha sensitip kl menyangkut mario mah (?) https://twitter.com/stywdya09/status/636511449720819712 …
Wed Aug 26 05:29:27 PDT 2015 --  RT @Fitratun281: Plisss rere cepatan balik trus bnyakin scene bareng yoyo nanti ada dialog "hai yo(?)" @tisatspinkluv
Wed Aug 26 05:29:01 PDT 2015 --  October,24 RT @ilmaimeel: March 26 "Tweetnesian: Tanggal ultah idolamu ?"
Wed Aug 26 05:15:34 PDT 2015 --  Yokangenyokangenyokangenyokangenyo :'''''''(
Wed Aug 26 05:26:17 PDT 2015 --  RT @AstryMelania_: kl ngomingin dinar nacil sm kak widya udaaah saya baper jir: "3
Wed Aug 26 05:08:13 PDT 2015 --  Semoga dgn #MengenalmuYUJIN jalinan silaturahim kta makin erat ya,mkin saling mengenal satu sama lain,dn keluarga kita mkin brtmbah deh hehe
Wed Aug 26 05:24:34 PDT 2015 --  Yhaa akupun fokus kesana RT @LinAuliya: Fix yaaa ternyata ada rio di hsls kebukti dg adanya loker rio bhaha gw baper masaaaa :D
Wed Aug 26 05:12:10 PDT 2015 --  Wkwk sensitip RT @alfisetiadii: kirain gue doang yang salah fokus hahaa " @stywdya09: Gue salah fokus...itu ada lokernya mario._. Mario..mari
Wed Aug 26 04:55:28 PDT 2015 --  Gue salah fokus...itu ada lokernya mario._. Mario..marioo(?)
Wed Aug 26 04:50:07 PDT 2015 --  so louis changed his bio from 1/5 to 1/4
Wed Aug 26 04:20:25 PDT 2015 --  Eaaa RT @yusfitaap: Baru tau kalo dinar di uph,emm... ketemu sm kak behel dong (?) Eh-,-
Wed Aug 26 03:10:25 PDT 2015 --  Demi yaa gitar lebih ngefeel kalo sama ceri daripada sama pemeran utamanya
Wed Aug 26 01:38:06 PDT 2015 --  Minta like nya dumss https://instagram.com/p/6ofPUUGJCv/  terimakasihh
Wed Aug 26 01:27:00 PDT 2015 --  Gaes please help, bantu like foto di link ini ya https://instagram.com/p/6ofPUUGJCv/  terimakasihh
Wed Aug 26 01:12:28 PDT 2015 --  Selamat siang.. Kami dr #YujinAddict ngk bosen2nya mau request supaya @InboxSCTV_ mau ngundang @YujinMusik smg bisa dikabulkan yaa :)
Wed Aug 26 01:20:13 PDT 2015 --  Vin knp suka angka 7? | karena gasuka angka 8 | kok ngakak sih
Tue Aug 25 21:02:27 PDT 2015 --  Min @InboxSCTV_ list promo @YujinMusik dong duo remaja kece nih dan udh pnya single loh #MengenalmuYUJIN
Wed Aug 26 00:00:06 PDT 2015 --  Ga nanggung2 ya kalo ngasih tugas, makasih loh pak bu
Tue Aug 25 20:06:41 PDT 2015 --  Hallo mimin kece @BDMelodi_NET undang @YujinMusik sebagai peserta bisa nih? Fans nya banyak lho #MengenalmuYUJIN
Tue Aug 25 20:21:45 PDT 2015 --  Selalu berusaha dan doa yg terbaik untuk dia :' #MengenalmuYUJIN
Tue Aug 25 20:17:12 PDT 2015 --  Min @InboxSCTV_ ini loh dua remaja tampan yg @YujinAddict harapkan kedatangannya di acara tsb #MengenalmuYUJIN pic.twitter.com/ojZv0BaWZi
Tue Aug 25 20:08:49 PDT 2015 --  Kualitas? Oh silahkan mimin nilai sendiri kualitas @YujinMusik yuk min @InboxSCTV_ undang mereka #MengenalmuYUJIN
Tue Aug 25 20:03:42 PDT 2015 --  Dengan karyan & kualitasnya yg membanggakan masyarakat luas harus #MengenalmuYUJIN di acara @InboxSCTV_ undang @YujinMusik yaa,trimakasih
Tue Aug 25 20:01:16 PDT 2015 --  Bnyk hrpn dan doa :") #MengenalmuYUJIN
