Sat Aug 22 01:12:44 PDT 2015 --  Fllw this guy @ElijahhClark and help him get to 500k. He has no hands and i... (Vine by @pubertyhit_s) https://vine.co/v/eDD1pZlvHaM 
Sat Aug 22 01:11:40 PDT 2015 --  When your ghostwriter doesn't show up to the studio with the bars for you to spit (Vine by Nicholas Fraser) https://vine.co/v/eDDLUxPtEtX 
Sat Aug 22 01:11:20 PDT 2015 --  The Reality Of Ordering At McDonalds (Vine by IamAce) https://vine.co/v/ep0ahE9Yr3Z 
Sat Aug 22 01:10:47 PDT 2015 --  Double-tap if you think this is REALLY nuts || #AdrenalineVibes || (Vine by @RozzaysTitties) https://vine.co/v/eDjO9rVzI9d 
Fri Aug 21 15:34:28 PDT 2015 --  I'm obsessed with @elyanax_ !!!!!!!!!!! Help @elyanax_ hit K (her,snap: elyanax0x) https://vine.co/v/eD1EXOMMpKI 
Fri Aug 21 15:00:51 PDT 2015 --  They don't like my church 🏻🏿 w/ @IamJayhayden, @thewebbeffect19, @Harold_Foxx, ... (Vine by @HappyJewTalian) https://vine.co/v/eDXEJztKp3m 
Fri Aug 21 15:00:31 PDT 2015 --  When you find out your girl a thot w/ @Ericangalloway, @JRANDofficial, @DGarci... (Vine by @directorwuzgood) https://vine.co/v/eDX072IQ6uv 
Fri Aug 21 14:59:17 PDT 2015 --  (Vine by @OfficiallyGrey) https://vine.co/v/eDXEr5vjQv0 
Fri Aug 21 14:58:52 PDT 2015 --  Black Be Happy Hats Just Released !!! Order here: http://store.thegoldenlifeclothing.com  (Vine by @dopeisland) https://vine.co/v/eDHWOEdT6Dw 
Fri Aug 21 14:58:46 PDT 2015 --  When you want your friends to see how expensive your tastes are #remake #kombucha @... (Vine by @chelzdastar) https://vine.co/v/eDXvqrJ7l9a 
Fri Aug 21 14:58:28 PDT 2015 --  When you treat your dog like a king Show me how you #MakeADogsDay! #partner with Subaru (Vine by @JoeyAhern) https://vine.co/v/ewnKU0qHWJ1 
Fri Aug 21 14:58:17 PDT 2015 --  Im in tears (Vine by @HAFunniestmeme) https://vine.co/v/eXDVi2aej5W 
Fri Aug 21 14:58:04 PDT 2015 --  Game time (w/ @AlexErnst) (Vine by @DavidDobrik) https://vine.co/v/egOtZmT2tMU 
Fri Aug 21 14:57:28 PDT 2015 --  Have a good day! (Vine by @TheGabbieShow) https://vine.co/v/eDHA9K0OIjQ 
