Fri Aug 14 03:45:27 PDT 2015 --  میرے قائد ہم آپ کا شکریہ تو ادا نہیں کر سکتے مگر آپکو آزادی کی مبارک باد پیش کرتے ہیں۔ #میرا_قائد #میرا_غرور pic.twitter.com/oGXH6XB0zP
Fri Aug 14 18:30:00 PDT 2015 --  dozens of people followed me and 19 people unfollowed me // automatically checked by http://fllwrs.com 
Wed Aug 12 10:41:33 PDT 2015 --  The best match for #Aries is #Sagittarius.
Wed Aug 12 17:35:33 PDT 2015 --  #Aries are not very good liars.
Fri Aug 14 09:40:38 PDT 2015 --  #Aries are lazy texters, but if they say good morning or good night best believe you are special.
Wed Aug 12 05:30:15 PDT 2015 --  ریسٹ کرنے ہی والا تھا کہ ایک پیشنٹ دیوار اس کے سر پے گری سکل آؤٹ اللہ سے دعا کرتے رہا کرو پتا نہی کون سا وقت ہو
Tue Aug 11 09:57:19 PDT 2015 --  Gulmarg after rains. -Wonderful. #Kashmir pic.twitter.com/QhpdcCvq0r
Mon Oct 27 01:27:50 PDT 2014 --  نہ پوچھ کیسے کوئی شاہِ مشرقین بنا بشر کا حسن،عقیدت کا زیب و زین بنا علیؓ کا خون،لعابِ رسولﷺ، شیر ِبتول ملے ہیں جب یہ عناصر تو پھر حسینؓ بنا
Mon Aug 10 17:26:54 PDT 2015 --  dozens of people followed me and 13 people unfollowed me // automatically checked by http://fllwrs.com 
Mon Aug 10 13:31:18 PDT 2015 --  You are free, You are free to go your Temples, You are free to go to your Mosques, or to any place of Worship in Pakistan: #Jinnah #11August
Mon Aug 10 12:12:29 PDT 2015 --  Valley of the Ten Peaks, Banff National Park, Alberta, Canada pic.twitter.com/aVznnQqZoY
Mon Aug 10 05:38:35 PDT 2015 --  Meet Sehrish Asgar, 25, became only the second Muslim woman from District Kashtiwar Kashmir to clear the IPS Exams! pic.twitter.com/qvBho2h9rG
Sun Aug 09 05:29:22 PDT 2015 --  pic.twitter.com/WxvjimFviQ
Sun Aug 02 19:25:37 PDT 2015 --  “I want to write a novel about silence. The things people don’t say.”
Thu Jul 09 05:00:09 PDT 2015 --  Twitter and Tumblr are ranked highest among social media sites linked to Insomnia.
Mon Jul 20 01:43:11 PDT 2015 --  Judge me when you're perfect. Shut up when you're not.
