Wed Aug 19 03:33:55 PDT 2015 --  早稲田実業勝ってほしかったなー
Wed Aug 19 03:04:09 PDT 2015 --  ろあんにはまった杉浦 誰か今度ろあんいこ
Wed Aug 19 01:34:29 PDT 2015 --  清宮くんの悪口ばっかTwitterで見るけど、情けないわほんま。 こんなに注目されたり、騒がれとる中でこんなに打っとるとか、普通に考えてすごいやろ しかも、まだ一年やし🏻🏻 そんな暇あったら清宮以上活躍してみろゆーねん pic.twitter.com/UyPccZ8REB
Wed Aug 19 01:45:19 PDT 2015 --  子供が電車で泣いている。 みんなイライラしている。 おれはイライラしない。 なぜならおれは子供が泣くのは仕方ないと思っているから。
Tue Aug 18 23:36:16 PDT 2015 --  三宅おれのせいにしかせん うぜえー ジョイサウンドのくせに
Tue Aug 18 20:00:13 PDT 2015 --  早稲田かってほしいなー
Tue Aug 18 05:02:58 PDT 2015 --  今更ながら、ワンダーコアをやってみた。 pic.twitter.com/iDOMUqFGbl
Tue Aug 18 17:58:02 PDT 2015 --  ねみいねみい ひまいひまい いいことないかな
Tue Aug 18 02:08:38 PDT 2015 --  豚２匹がしゃしゃりょおる。 晩ご飯のおかずふえたがな 西嶋豚と杉浦ぶた
Tue Aug 18 02:01:33 PDT 2015 --  すぎうらうざい
Tue Aug 18 00:49:11 PDT 2015 --  バイトのグループでの 自己紹介わやしゃしゃってしまった やらかした
Mon Aug 17 20:03:20 PDT 2015 --  ２時からバイト初バイト がんばるぜー
Mon Aug 17 19:32:49 PDT 2015 --  着せ替えモンスターズインクでとる！！！！ かお！！！！
Mon Aug 17 07:10:01 PDT 2015 --  よしねよう
Mon Aug 17 05:11:02 PDT 2015 --  きたo(*ﾟ▽ﾟ*)o ありがとうございますo(*ﾟ▽ﾟ*)o pic.twitter.com/FnUdGhyb4W
Mon Aug 17 04:52:51 PDT 2015 --  フォロワー４００人まであとちょっと だれがフォローしてくれるんでしょう とかいってたら減るんですよね(^^)
Mon Aug 17 02:23:02 PDT 2015 --  いらいら～ これはやべえ～
Sun Aug 16 07:24:28 PDT 2015 --  【誕生日診断】 想像力が豊かで思い込みの激しい一面がある人が多い誕生日 １位：31日 ２位：18日 ３位：28日 ４位：１日 ５位：22日 妄想力が豊かで浮き沈みが激しい一面がある人が多い誕生日 １位：３日 ２位：24日 ３位：23日 ４位：12日 ５位：10日
Sun Aug 16 02:14:10 PDT 2015 --  ほんつば はしかん ありかす これは神 pic.twitter.com/vNoq2JoioT
Sun Aug 16 00:58:11 PDT 2015 --  三宅ひなたきもいでーす えげつねえでーす
Sat Aug 15 19:11:47 PDT 2015 --  きたけいとありかすどっちが可愛い？ ありかすだよな。 北川景子vs有村架純
Sat Aug 15 18:19:42 PDT 2015 --  テニスしたひ
Sat Aug 15 18:12:14 PDT 2015 --  夏祭りひさびさに聴いたけど ええかんじ ただなんでだろうイライラする（#＾ω＾）
Sat Aug 15 09:21:51 PDT 2015 --  スタンプをこんな夜中にくれるとか あいつも成長したんやな。 ありがとまりりんもんろー
Sat Aug 15 06:43:59 PDT 2015 --  杉浦ゆうとみとけよ～ １年後にわめちゃめちゃやばいやつになっちゃるんやけ。 まずぐぐろう、うん。
Sat Aug 15 04:17:55 PDT 2015 --  「あたりまえ」を「ありがとう」と言える人 「だからなに」を「おめでとう」と言える人 「もうだめだ」を「これからだ」と言える人 「なりたいな」を「なってやる」と言える人 「もういいや」を「まだやるぞ」と言える人 そういう人になりたい。
Sat Aug 15 03:23:26 PDT 2015 --  ゆかたのリア充みるたび リア充なりたいって思う まあなれないんですけどね(^o^) 福山なう(^o^)
Sat Aug 15 02:26:30 PDT 2015 --  笠岡なふ 海と夕日がいいかんじ
Fri Aug 14 06:21:26 PDT 2015 --  今日もサントピア！！ 清心の頭！ 杉Pマヨネーズ！ 大倉！ そうじ！ 最高の１日だったな( ˆωˆ ) pic.twitter.com/64OuIDfx8l
Fri Aug 14 06:09:20 PDT 2015 --  明日はバイトのミーティング？ いってくるぜい
Fri Aug 14 06:08:20 PDT 2015 --  わず！ 大倉 そうじ 木田 まっすー 楽しかったぞい pic.twitter.com/WQgUx141HW
Fri Aug 14 05:51:33 PDT 2015 --  今日は中学の友達とサントピア行ってきた！ ウォータースライダー全部乗れたから満足笑 その後イオンでぶらぶらして琥家でラーメン食べて来た(^-^) ほんまに今日は充実した１日だった(^^) またこのメンバーで遊ぼうっ！ pic.twitter.com/yEq0LXan4T
