Mon Jun 29 12:03:15 PDT 2015 --  Congrats to @aaroncarlson_tn & @SkylineESource hockey on winning the Smashville Corporate Cup tourney this weekend at @FordIceCenter!
Sun Jun 28 19:48:28 PDT 2015 --  . @GlenCampbell @ashleycambanjo @CNN @LillyPad 🏻Thank you.🏻 #GlenCampbell #EndAlzheimers
Sun Jun 28 19:37:58 PDT 2015 --  The courage of #GlenCampbell is amazing. His family and friends are as brave as he is. Thank you for sharing his story @CNNFilms. #EndAlz
Sun Jun 28 19:32:17 PDT 2015 --  "It's like forgiveness without reconciliation." #GlenCampbell So, so hard on the loved ones.
Sun Jun 28 19:20:47 PDT 2015 --  @GingerSnaps The disease might have halted its relentless progression a bit. 2/2
Sun Jun 28 19:19:46 PDT 2015 --  @GingerSnaps Alzheimer's is a cruel and ruthless thief. The worst part is the brief moments of lucidity that give false hope that 1/2
Sun Jun 28 19:16:57 PDT 2015 --  My grandmaw died of Alzheimer's in a nursing home. She didn't know any of us the last 10 years of her life #GlenCampbell #EndAlzheimers @CNN
Sun Jun 28 18:56:53 PDT 2015 --  There is something about @GlenCampbell's voice that gives me chills. He is so special. @CNN #GlenCampbell
Sun Jun 28 18:53:37 PDT 2015 --  Yes! "That's what life is....it's memories." @KeithUrban #GlenCampbell @CNN
Sun Jun 28 18:49:23 PDT 2015 --  Since the filming & tour, Glen's health has deteriorated. He now resides in a memory care facility & can no longer speak. :-( #GlenCampbell
Sun Jun 28 18:39:44 PDT 2015 --  #GlenCampbell puts his fingers on the fretboard and his spirit says, “I’m still here.” Amazing.
Sun Jun 28 18:36:01 PDT 2015 --  Sheryl Crowe talking about #GlenCampbell's Alzheimer's: music is the only thing that can change the molecules. #SoInspiring #aLivingLegend
Sun Jun 28 18:36:21 PDT 2015 --  . @gamby5150 He played the hell out of that guitar that night. #GlenCampbell
Sun Jun 28 18:27:15 PDT 2015 --  I was at Glen's last Nashville show at the Ryman. I treasure that memory. @GlenCampbell @CNN #GlenCampbell #IllBeMe
Sun Jun 28 18:15:57 PDT 2015 --  Also: "Ghost on the Canvas" is an AMAZING album. #GlenCampbell #IllBeMe @CNN
Sun Jun 28 18:12:10 PDT 2015 --  Must-see TV right now on @CNN "I'll Be Me" a wonderful documentary about @GlenCampbell's journey through #Alzheimers #GlenCampbell
Fri Jun 26 21:30:54 PDT 2015 --  It's okay if you try and fail, but it's not okay if you fail to try.
Fri Jun 26 11:21:37 PDT 2015 --  I was just told by an @ATT rep that even if your phone is connected to Wifi, they charge you for data usage.Even after the $100M lawsuit.
Fri Jun 26 11:18:11 PDT 2015 --  Be aware that @ATT is charging people for DATA usage even when their phones are powered off for days at a time. @FCC
Tue Jun 23 20:07:13 PDT 2015 --  . @MboroSevereWx and @RuthSevereWx getting pounded tonight. Wind damage, flooding, roads closed.
Tue Jun 23 20:02:48 PDT 2015 --  Re: the Confederate flag, a woman asked "since the Holy Bible is offensive to some, shall we retire it to a museum as well? I CAN'T EVEN.
Sun Jun 21 08:45:03 PDT 2015 --  Happy Father's Day
Sun Jun 21 06:58:46 PDT 2015 --  #EmanuelAME holds its first Sunday Services after the #CharlestonShooting http://cnn.it/1K4r6xk  https://amp.twimg.com/v/4b79c212-eb76-42b1-be40-44be2797689b …
Sun Jun 21 08:12:48 PDT 2015 --  Emanuel A.M.E. church reopens its doors for morning prayers service - http://thkpr.gs/3672229  pic.twitter.com/6N3jp14w8U
Sun Jun 21 08:15:27 PDT 2015 --  I hope certain schools who allow their students to fly massive confederate flags on their pickup trucks will reconsider this next school yr.
Sun Jun 21 08:09:24 PDT 2015 --  Watching a powerful #church service from #Emanuel African Methodist Episcopal (AME) Church in #Charleston, SC on @CNN right now.
Fri Jun 19 11:02:00 PDT 2015 --  Hey @Publix you need to fix your online ordering system ASAP. I ordered 2 trays for a work mtng & they weren't ready making me late.
Fri Jun 19 04:54:52 PDT 2015 --  Exactly this: The Daily Show Charleston Church Attack https://vid.me/8ZOz 
Thu Jun 18 08:26:33 PDT 2015 --  How widespread is this Comcast outage?
