Fri Mar 28 12:15:56 PDT 2014 --  State wrestling room pic.twitter.com/CIKNFIWp5r
Fri Mar 28 06:37:10 PDT 2014 --  Leave it all on the mat. Good luck buddy pic.twitter.com/2AILKoDZFN
Tue Mar 18 17:56:05 PDT 2014 --  Wwc practice with osu wrestlers pic.twitter.com/90lpQn6eae
Mon Mar 17 18:11:14 PDT 2014 --  Sports Science: Andrew Wiggins edition http://espn.go.com/video/clip?id=10624512 …
Fri Mar 14 06:19:27 PDT 2014 --  Happy 9th birthday big boy. Luv u to the moon and back. pic.twitter.com/pWLyUNlnXL
Sun Mar 02 13:54:06 PST 2014 --  National champs. Awesome job topaz pic.twitter.com/WEep7swf9Y
Sat Mar 01 20:22:31 PST 2014 --  Congrats on osu national championship.
Sat Mar 01 07:57:46 PST 2014 --  Good luck cheer fusion. Rock it pic.twitter.com/M0lxZ0dYpL
Fri Feb 28 06:38:14 PST 2014 --  Good luck girls. Rock it pic.twitter.com/BxEw52kEBi
Mon Feb 24 20:16:11 PST 2014 --  10str8 rock chalk baby
