Sat Jun 14 08:00:13 PDT 2014 --  "All of Me" Cookie Monster Version https://vine.co/v/MH2HeiKhzpv 
Sat Jun 07 04:21:46 PDT 2014 --  When your alarm goes off at 6AM on a Saturday #ummmnope #throwingthisphone
Mon Feb 10 08:45:38 PST 2014 --  Glad to see @AaronRodgers12 back on twitter....missed the classic tweets during the season
Fri Feb 07 23:33:39 PST 2014 --  Just played guitar hero for the first time in 3 years......lost a step @sajoba_
Fri Feb 07 20:51:05 PST 2014 --  Nom nom nom babies pic.twitter.com/AW3gxnBUok
Fri Feb 07 19:25:59 PST 2014 --  Gotta get back on the twit it's been a while
Sat Nov 30 09:50:51 PST 2013 --  Time to get some beef kinda turkey'd out already #wheresthebeef
Sun Oct 20 09:51:44 PDT 2013 --  Your NFL Sunday checklist: Put jersey on - Occupy favorite couch seat - Not move from TV -
Fri Oct 11 18:28:11 PDT 2013 --  Listening to the rockets game all the way down in Arkansas.....first rockets game I've got to listen to in years @SMFootballFans
Fri Oct 04 19:22:00 PDT 2013 --  WEAK STUDENT SECTION TONIGHT BUT I KNOW ITS HARD WHEN WE'RE KILLEN THEM OUT THERE!! #7-0
Fri Oct 04 18:29:37 PDT 2013 --  http://www.cnn.com/2013/10/04/politics/shutdown-defense-furloughs/index.html?c=&page=2 …
Tue Sep 17 20:18:56 PDT 2013 --  Rodgers is on a pace to throw 56 TD passes, compared to just 8 interceptions for 6,504 yards. #early #mindblown
Thu Sep 05 18:36:47 PDT 2013 --  These new go daddy commercials with Claude van damn in Zumba pants shaking maracas and playing bongos are weirding me out
Thu Sep 05 09:35:37 PDT 2013 --  if you don't love football please get off twitter for the next four months. no one wants to hear it, you communist.
Sat Aug 31 10:48:41 PDT 2013 --  Was watching football and all of a sudden a special report called "crisis Syria" came on TV....... Great #lastthingyouwannasee
Sat Aug 31 09:29:38 PDT 2013 --  #OnWisconsin pic.twitter.com/5e2Qesm4kE
Sat Aug 31 07:45:01 PDT 2013 --  Gonna laugh when arkansas loses and all of Arkansas pouts and uses a God reference for a reason why they lost @AndyStollsBeard #blamegame
Tue Aug 27 10:27:05 PDT 2013 --  Breaking news!! @CybrMnkey held a press conference now the whole world is saying "Miley Cyrus who?" @AndyStollsBeard
Thu Aug 22 05:18:11 PDT 2013 --  One more week then it's on! @Rstyza13 #madden25
Thu Aug 15 09:44:08 PDT 2013 --  http://click.em.callofduty.com/?qs=2ecd475aa283f3f228df3c7ba97f13f1380587717a915396dc71dec06ffaff39f278a2f5f10cc1c8 … @TIMERBOi
Sun Aug 04 12:38:43 PDT 2013 --  “ @AlwaysSunnyFXX: The season 9 premiere is only one month away. Get pumped.” @AndyStollsBeard
Tue Jul 30 14:56:43 PDT 2013 --  God Loves everyone but likes Viking fans
Tue Jul 23 07:04:49 PDT 2013 --  Great interview on @1250WSSP by @JLucroy20 gotta still support the brewers #brewerfan4life
Mon Jul 22 15:39:50 PDT 2013 --  Nail in the coffin for @Brewers time to look forward to packer season and The Brandon Jennings debacle to finally end @1250WSSP #PEDS
Sat Jul 13 05:04:01 PDT 2013 --  Got consent? @AndyStollsBeard #earlymorningcomedy
Sun Jun 30 23:20:32 PDT 2013 --  Lets get some @Bucks who really wanna represent the brew city!!! Got two great ones already ! @_John_Henson_ and @LarrySanders!
Mon Oct 15 14:16:54 PDT 2012 --  Xavier Mercado & Jake Saskowski present..: http://youtu.be/KYmubbaXvMQ  via @youtube
Mon Sep 24 21:42:31 PDT 2012 --  Fuck it NFL.. Fine me and use the money to pay the regular refs.
Tue Sep 25 08:59:44 PDT 2012 --  Only thing I regret from my tweets are the F bombs.. Sorry bout that.
Mon Sep 24 22:19:26 PDT 2012 --  Any player/coach in Seattle that really thinks they won that game has zero integrity as a man and should be embarrassed.
Mon Sep 24 21:02:41 PDT 2012 --  Got fucked by the refs.. Embarrassing. Thanks nfl
Tue Sep 18 17:49:11 PDT 2012 --  Chicago teacher say they miss there students hmmm they didn't miss them enough to be selfish pigs and just teach for there 70000$ per year
Tue Sep 18 16:56:15 PDT 2012 --  Feels bad for the kids in Chicago since there teachers are greedy idiots. Just seeing the president of the union and her fat ass sickens me
Tue Sep 11 12:16:59 PDT 2012 --  Why does MTV have a award show for music vids still? They dont even play them!They should have one for I'm a dumb whore and pregnant at 16!
Mon Sep 10 14:26:18 PDT 2012 --  Man what a difference 85 degrees is to 105 degrees feels good not to come home from work feeling like I jumped in a pool in my own clothes
Sat Sep 08 12:22:02 PDT 2012 --  Guess I got twitter now just cuz my mother has had one for a year and I feel way behind the tech curve cuz of that
