Tue May 12 23:49:08 PDT 2015 --  Follow @2GuysNoLives you won't regret it they're hilarious! Add them to your favor... (Vine by @swagoverload0) https://vine.co/v/emPMiazuOnI 
Tue May 12 23:48:01 PDT 2015 --  No smoking https://vine.co/v/em9Qi0dzWK7 
Tue May 12 23:46:26 PDT 2015 --  Follow @MrJayMendoza for hilarious videos. Also favorite him "" @MrJayMend... (Vine by Jesus Christ Kid) https://vine.co/v/emVuD9VeqKQ 
Tue May 12 23:45:21 PDT 2015 --  Follow Comedy Mania they post hilarious videos daily. (Vine by Jesus Christ Kid) https://vine.co/v/emVulEUqhxF 
Sat May 09 00:12:53 PDT 2015 --  Lol https://vine.co/v/eWIvuKxhYvw 
Sat May 09 00:11:36 PDT 2015 --  Lol https://vine.co/v/embXQOYZb1l 
Sat May 09 00:10:16 PDT 2015 --  Double Tap for there Talent! (Vine by Marcus Perez) https://vine.co/v/embnIHUheea 
Sat May 09 00:08:47 PDT 2015 --  Just a killer lmao https://vine.co/v/embYpPnU3aQ 
Sat May 09 00:05:21 PDT 2015 --  I may follow everybody that revines this and follows me! (Vine by Josh Peck <3) https://vine.co/v/emhB7vmxJWT 
Sat May 09 00:05:12 PDT 2015 --  I may follow everybody that revines this and follows me! (Vine by Josh Peck <3) https://vine.co/v/emhBgpOLara 
Sat May 09 00:04:56 PDT 2015 --  Lol https://vine.co/v/emhuz0aXglO 
Sun May 03 21:03:13 PDT 2015 --  https://vine.co/v/eZZA0UjBA2L 
Sun May 03 21:02:51 PDT 2015 --  Lol https://vine.co/v/eZ7YDLUL5tr 
Fri May 01 23:37:34 PDT 2015 --  You can never trust TV shows anymore.. (Vine by @EpicRare) https://vine.co/v/O7vlBvznX5F 
Fri Apr 03 16:25:16 PDT 2015 --  Yo! I made a rap song in #AutoRap by #Smule, and it's awesome. Listen to it here: http://www.smule.com/p/354619704_116192121 …
Sat Mar 28 17:32:53 PDT 2015 --  Yo! I made a rap song in #AutoRap by #Smule, and it's awesome. Listen to it here: http://www.smule.com/p/354619704_114470450 …
Sat Mar 28 17:31:01 PDT 2015 --  Yo! I made a rap song in #AutoRap by #Smule, and it's awesome. Listen to it here: http://www.smule.com/p/354619704_114469974 …
