Fri Oct 31 21:42:48 PDT 2014 --  Los hombres de mi vida... los kiero mil. http://instagram.com/p/u2BcrlKHB2/ 
Fri Oct 31 05:48:45 PDT 2014 --  Happy Halloween. Que tengan bonita tarde. #HalloweenEnDA #Halloween2014 #primos #CaptainAmerica #hulk #thomas pic.twitter.com/AzrpGlidHq
Tue Oct 28 17:12:12 PDT 2014 --  Winter is coming... pic.twitter.com/ZthtyJ8zl3
Thu Oct 30 18:50:58 PDT 2014 --  Te quiero for infinity and way beyond http://instagram.com/p/uzI_TnKHCM/ 
Thu Oct 30 00:32:03 PDT 2014 --  If u gonna do it, do it right. Hey there's always a first time for everything....wait for it, sooner or l8r u get wat u wish 4
Thu Oct 30 00:24:55 PDT 2014 --  " @UnPoetaErotico: Si llegas a conocerme bien, ten por seguro que no podrás olvidarme." Recuerda.
Wed Oct 29 20:01:14 PDT 2014 --  "I'm a lady... And then some" #AHSFreakShow
Wed Oct 29 20:47:25 PDT 2014 --  "I'm so dumb, I can't even kill myself." #RIPTwisty
Wed Oct 29 20:01:31 PDT 2014 --  #coffee con savor a #hazelnut acompañadas de unas #cookies barras de coco.... #yummielichious http://instagram.com/p/uwsRIPqHEB/ 
Sun Oct 26 21:47:29 PDT 2014 --  Heading to bed..this vato waking me up at 330am.. but can't argue with a wake up like that..lol. te amo mi morxz #adarle #seleparo
Sun Oct 26 20:46:20 PDT 2014 --  Hasta el corazón más enamorado, también se cansa de esperar, de callar y de intentar.
Fri Oct 24 18:55:01 PDT 2014 --  I never promised to be perfect, but I always promised to be myself and that means even the realest moments #kendraontop
Thu Oct 23 23:02:28 PDT 2014 --  Your not allowed to talk tonight but you can scream as loud as you want to.
Tue Sep 09 19:01:14 PDT 2014 --  "Lo que me gusta de tu cuerpo..." - Julio Cortázar pic.twitter.com/ARMOGBnWbV
Wed Oct 22 01:30:55 PDT 2014 --  Si le das tiempo al tiempo, te darás cuenta de que él se encargará de poner cada cosa en su lugar.
Tue Oct 21 20:10:12 PDT 2014 --  Start believing today that things are going to change for the better. Your best days are still out in front of you
Tue Oct 21 21:32:28 PDT 2014 --  Last wknd #homey pic.twitter.com/Xi586Azgym
Tue Oct 21 21:25:43 PDT 2014 --  Reasons I grab my boobs: -running stairs -running stairs -running -scared -walking through my house in the dark -bored -boobs #bigtits
Sun Oct 19 10:22:27 PDT 2014 --  #lastnaight #selfie http://instagram.com/p/uV6DMYqHJJ/ 
Tue Oct 14 06:27:03 PDT 2014 --  #transformationtuesday #theandnow #selfie #me http://instagram.com/p/uInItaKHOA/ 
Sat Oct 11 20:18:04 PDT 2014 --  Bordmm on my bday. .. needs a drink. #soledad #DrinkDrinkDRUNK pic.twitter.com/4YW7CDaTmX
Fri Oct 10 20:42:30 PDT 2014 --  Strong people stand up for themselves, but stronger people stand up for others!
Thu Oct 09 14:30:04 PDT 2014 --  this week has been a headache.
Thu Oct 09 08:56:27 PDT 2014 --  " @UnPoetaErotico: Cuando estás feliz, disfrutas la música. Cuando estás triste, entiendes la letra."
Wed Oct 08 22:03:27 PDT 2014 --  Happy birthday to the coolest person I know:) 10/9/12 I love you son pic.twitter.com/esbCT2RMqs
Thu Oct 02 14:45:12 PDT 2014 --  I like pic.twitter.com/6Sot9Ca9n8
