Wed Aug 19 09:25:40 PDT 2015 --  Thanks for the dm @justinbieber lol. #WhatDoYouMean pic.twitter.com/pUtErM5gqA
Wed Aug 19 12:07:32 PDT 2015 --  @carlyraejepsen @FallonTonight @jimmyfallon good luck tonight. Loving the album. See u soon jimmy
Wed Aug 19 13:09:34 PDT 2015 --  . @justinbieber is #1 on the Trending 140 chart. Check his account (& if you're lucky - your DMs...) #WhatDoYouMean pic.twitter.com/8uOxRcJlM5
Wed Aug 19 09:24:30 PDT 2015 --  check ur dms and the time on the clock ;) put it together. #whatdoyoumean
Wed Aug 19 08:34:02 PDT 2015 --  #9Days pic.twitter.com/fIrTIHGEuS
Tue Aug 18 07:36:27 PDT 2015 --  #10DAYS pic.twitter.com/wJPkCBPbzj
Mon Aug 17 07:22:39 PDT 2015 --  What Do You Mean? @RyanSheckler #11days pic.twitter.com/avUXnQbPIT
Mon Aug 17 06:59:08 PDT 2015 --  Thanks @ToriKelly. Love her voice so asked her to sing a little. What Do You Mean in #11days pic.twitter.com/LFjk3YRRKO
Mon Aug 17 06:50:54 PDT 2015 --  #11days pic.twitter.com/xl7MsUHFWZ
Sun Aug 16 18:50:47 PDT 2015 --  Making music
Sun Aug 16 03:56:23 PDT 2015 --  Thanks @HilaryDuff. #12Days to go. #WhatDoYouMean? pic.twitter.com/zvgMsb7Q8v
Sun Aug 16 03:20:47 PDT 2015 --  Yep. 12 days to go. @rudymancuso what do you mean? Lol pic.twitter.com/wrzbAQb952
Sat Aug 15 12:51:11 PDT 2015 --  @belieberbabes :)
Sat Aug 15 12:55:06 PDT 2015 --  What Do You Mean? The legend @tonyhawk #13Days pic.twitter.com/JszrE4bmAR
Sat Aug 15 07:23:35 PDT 2015 --  iP5s or iP6? #iphone pic.twitter.com/bhnmSrVpjJ
Mon Aug 10 21:24:53 PDT 2015 --  Sounds like iPhone 6s, 6s Plus, and 6c will all arrive concurrently.
Wed Aug 12 09:12:42 PDT 2015 --  Do you love Justin? pic.twitter.com/NWrqylwuu0
Wed Aug 12 08:44:46 PDT 2015 --  #16DAYS pic.twitter.com/dsIaF2ObMO
Tue Aug 11 07:01:40 PDT 2015 --  Follow me pic.twitter.com/HyBn0kzxSg
Mon Aug 10 22:14:56 PDT 2015 --  http://youtu.be/nntGTK2Fhb0 
Mon Aug 10 22:18:36 PDT 2015 --  I'm in the studio finishing this album
Fri Aug 07 14:17:04 PDT 2015 --  #justinbieberismyfollower
Fri Aug 07 14:10:02 PDT 2015 --  #CzechRepublic pic.twitter.com/AR6Ef3Rswp
Fri Aug 07 14:07:41 PDT 2015 --  #mandrage #drummer pic.twitter.com/yXrYko7uoJ
Fri Aug 07 14:04:39 PDT 2015 --  I love my #followers
