Thu Apr 23 20:10:00 PDT 2015 --  Se que algún día me buscaras...
Wed Apr 22 13:57:03 PDT 2015 --  #HalaMadrid ;) https://instagram.com/p/1ypqj_BriZ/ 
Wed Apr 22 10:21:19 PDT 2015 --  #HalaMadrid 8) https://instagram.com/p/1yQ-sohrh7/ 
Sat Apr 18 17:14:51 PDT 2015 --  Alabando al puto amo. pic.twitter.com/9Uj1oa6gPc
Sun Apr 12 07:33:36 PDT 2015 --  Perdí mi dignidad al mandarte ese último mensaje pero tu perdiste a alguien que en verdad te quería...
Sun Apr 05 07:05:57 PDT 2015 --  Real Madrid apabulló ¡9-1! al Granada con ¡CINCO goles! de Cristiano Ronaldo pic.twitter.com/KPyEIucmqD
Sun Apr 05 06:25:17 PDT 2015 --  Happy to have scored 5 goals with this excelent team work. Thank you for all your support. ... http://www.sportlobster.com/post/548124/happy-to-have-scored-5-goals-w.html … pic.twitter.com/UI6FbpoNuj
Sat Apr 04 20:59:32 PDT 2015 --  #LaFieraxFOX. ¡Noche de locos en la tierra donde la vida no vale nada! León 4-5 Querétaro. pic.twitter.com/EvTxlq8Mwa
Wed Apr 01 17:53:29 PDT 2015 --  ^_^ https://instagram.com/p/09ACAVhrrj/ 
Sun Mar 29 13:10:08 PDT 2015 --  Fe y confianza!!!... Muchísimas gracias por el gran apoyo en LA!... #blessed pic.twitter.com/oOiEmYhKQt
Sat Mar 28 18:56:51 PDT 2015 --  GOLAZOOOOOO DEL CHICHADIOS
Fri Mar 27 07:24:12 PDT 2015 --  #Congreso https://instagram.com/p/0vACruBrsf/ 
Thu Mar 26 13:51:33 PDT 2015 --  #TSM n.n https://instagram.com/p/0tHk3eBrqz/ 
Sat Mar 21 18:43:45 PDT 2015 --  #J11 | #MTYvsLEÓN | 42' ¡Golaaaaaaaaazooooooo de Luis Montes! #DaleLeón #RugeFiera
Fri Mar 20 22:44:17 PDT 2015 --  JAJAJAJAJAJAJA Se la rifo @Ubaldo_mx. pic.twitter.com/Y3XYOhNOAm
Fri Mar 20 21:02:50 PDT 2015 --  El América esta más salado que el Cruz Azul y el Atlas juntos.
Sat Mar 07 09:14:00 PST 2015 --  Así como hago tarea #Akyra ;) https://instagram.com/p/z7zk6DBrlH/ 
Thu Mar 05 17:12:33 PST 2015 --  Y si volvemos a ser lo que eramos antes... 8(
Sat Feb 28 11:06:17 PST 2015 --  Que frio en Monterrey, y que gente tan fregona son los regios, bueno no toda menos una, jajaja, vaaaamonos pal DF pic.twitter.com/HYkrECKo5j
Thu Feb 26 18:41:12 PST 2015 --  Akyra •﹏• https://instagram.com/p/zlpSW4hrrv/ 
Sun Feb 15 17:08:16 PST 2015 --  No pareció importante cuando me viste partir...
Wed Feb 11 14:37:29 PST 2015 --  #TodoIbaBienHastaQue te vi con el. T_T
Tue Feb 10 18:25:43 PST 2015 --  Ni pedo la vida sigue... <|3
Sun Feb 08 13:56:05 PST 2015 --  #Akyra n.n http://instagram.com/p/y2yZWHhrsg/ 
Wed Feb 04 20:54:33 PST 2015 --  Muchas veces pienso: "¿Se acordará de mi?" 8(
Mon Feb 02 08:43:51 PST 2015 --  ¿Y QUE LE VOY A DECIR? Si no somos nada.
Sun Feb 01 06:39:13 PST 2015 --  Que te costaba. 8( pic.twitter.com/v1lzrqIdND
Sat Jan 31 19:59:16 PST 2015 --  Tal vez no he dejado de quererte, pero deje de extrañarte.
Sat Jan 31 18:46:32 PST 2015 --  Todos los días me arrepiento por haber escrito ese mensaje.
Sat Jan 31 15:37:25 PST 2015 --  ^_^ http://instagram.com/p/yiXod2Brma/ 
Sat Jan 31 11:31:36 PST 2015 --  Se que algún día volverás.
Sat Jan 24 13:21:53 PST 2015 --  Una de las peores maldiciones de la vida! -- > https://www.youtube.com/watch?v=NrEt5meV1AM … RT pic.twitter.com/0qJtLCKYfm
Fri Jan 23 19:25:48 PST 2015 --  No se puede ponerle fin a lo que nunca empezó.
Fri Jan 23 18:58:47 PST 2015 --  Akyra n.n http://instagram.com/p/yOIUZUhrlK/ 
Wed Jan 21 09:02:07 PST 2015 --  -Mamá,estoy saliendo con el vecino. -¡Hija Podria ser tu Padre! -¿Desde cuando acá importa la diferencia de edad? -No me estás entendiendo.
Tue Jan 20 15:36:47 PST 2015 --  Tropa Elite de Trolls: Les encargo que se follen a esta obesa descarriada. Se atrevió a insultar al Titan de Titanes pic.twitter.com/i8oDPHI268
Tue Jan 20 15:13:29 PST 2015 --  JAJAJAJAJA EN VERDAD SON TRISTES LOS "PERSONAJES" DE MULTIMEDIOS --->>>> @Emahuevo RT Y FAV pic.twitter.com/MKp3PjETLM
Tue Jan 20 14:45:07 PST 2015 --  Bañado cambio 8} pic.twitter.com/fImnt88HpD
Tue Jan 20 14:42:09 PST 2015 --  Dijiste que sentías lo mismo... pero luego algo cambio.
Sun Jan 18 17:17:47 PST 2015 --  JAJAJAJAJAJA pic.twitter.com/VLWuQ1Llnl
Sun Jan 18 17:00:55 PST 2015 --  ¿Y AHORA QUE HACEMOS? pic.twitter.com/NYxjmNa3gC
Fri Jan 16 20:13:49 PST 2015 --  Súper Moisés Muñoz. pic.twitter.com/DDpG31N5RJ
Fri Jan 16 20:19:08 PST 2015 --  Tijuana 1 - América 0 https://vine.co/v/OjeHHjUnwbF 
Thu Jan 15 15:38:26 PST 2015 --  VIDEO PORNO DE NAYVI DIAZ "MISS LINARES" SE FILTRA POR WHATSAPP: http://youtu.be/FvP-em_MSlc?a  vía @YouTube
Thu Jan 15 15:38:35 PST 2015 --  SE FILTRA POR WHATSAPP VIDEO PORNO DE NAYVI DIAZ "MISS LINARES" EDECAN DE MULTIMEDIOS http://youtu.be/FvP-em_MSlc  RT Y FAV pic.twitter.com/lt81sIABWO
Thu Jan 15 00:27:07 PST 2015 --  My special #Mercurial for a night when we need to be at our best. @nikefootball pic.twitter.com/PX18xavRYY
Thu Jan 15 05:25:17 PST 2015 --  #Deportes con @andremarinpuig A Cuauhtémoc Blanco le vale lo que pase a las #Chivas Dice que han trabajado muy mal.. pic.twitter.com/yp8fy96W8Y
Thu Jan 15 08:43:15 PST 2015 --  Yo era un Dios en el fútbol, hasta que me chingue la rodilla. –Todos los hombres
Sat Jan 10 16:54:04 PST 2015 --  Finaliza el encuentro de la J1 entre #AmeVsLeón. #RugeFiera pic.twitter.com/4lbvuGdkdf
Fri Jan 09 11:28:19 PST 2015 --  Esta será la piel que usaremos mañana para nuestro debut en el Torneo Clausura 2015. #DaleLeón #RugeFiera pic.twitter.com/0ZHZ1xrVnl
Sun Jan 04 08:37:41 PST 2015 --  Te acordaras de mi cuando ya no tengas a nadie, cuando te des cuenta que a pesar de todo, yo estaba ahi, entonces será demaciado tarde.
Sat Jan 03 19:16:50 PST 2015 --  #LaFiera venció 4-2 a Xolos en el cierre de la #PreTemporadaFelina. http://instagram.com/p/xaqe5TgBSQ/ 
Sat Jan 03 18:54:13 PST 2015 --  “El descenso es descenso, descenso, descenso, descenso, descenso, descenso, aprende algo descenso”. –Chivas rapeando.
Fri Jan 02 17:15:03 PST 2015 --  #Akyra :3 http://instagram.com/p/xX3wQRhrga/ 
Thu Jan 01 17:16:06 PST 2015 --  Happy New Year #Teamtexass
Wed Dec 31 19:00:15 PST 2014 --  Genio y figura. ¡Adiós @cuauhtemocb10! #Gracias2014 pic.twitter.com/xLRjRjJ6R5
Wed Dec 31 17:14:04 PST 2014 --  :) http://instagram.com/p/xSuDOzhrp5/ 
Wed Dec 31 16:47:42 PST 2014 --  #Adios2014 :) http://instagram.com/p/xSrCFThriI/ 
Tue Dec 30 12:01:40 PST 2014 --  El Internet es el único que cuando se cae nadie se ríe.
Mon Dec 29 19:23:59 PST 2014 --  Puto Twitter (>_<)
Sat Dec 27 01:09:08 PST 2014 --  Soñe que Chivas descendía
Mon Dec 22 14:25:09 PST 2014 --  El ejemplo perfecto JAJA pic.twitter.com/5rJVzuWW2t
Sun Dec 21 14:47:57 PST 2014 --  Propósito para año nuevo 8} pic.twitter.com/GOWZ5b17PZ
Fri Dec 19 15:23:08 PST 2014 --  Pobre Oswaldo. pic.twitter.com/5PWA0Xf3HT
Thu Dec 18 16:50:18 PST 2014 --  Ahí la llevó {8} pic.twitter.com/pCZ2bXo1dA
Wed Dec 17 14:35:34 PST 2014 --  RT if you like the new #avatar for #xmas! :) xoxo
Wed Dec 17 13:13:13 PST 2014 --  Estoy muy bien gracias a Dios ! Medios amarillistas como siempre inventando estupideces Gracias por preocuparse Saludos mi gente
Tue Dec 16 17:10:13 PST 2014 --  Platica de cracks. pic.twitter.com/BCg9jfzTb1
Tue Dec 16 10:46:50 PST 2014 --  Cristiano Ronaldo: 25 goles en 15 partidos. Jugadores de Chivas: 25 goles en 2 años.
Tue Dec 16 11:00:30 PST 2014 --  Jajajajaja pic.twitter.com/XivFONsWxG
Tue Dec 16 09:18:36 PST 2014 --  Según medios ingleses, Guillermo Ochoa llegaría al Liverpool por 3.7 Millones de Euros. pic.twitter.com/YGS1SqLGAa
Mon Dec 15 20:03:15 PST 2014 --  QUE ENFERMA ESTA LA SOCIEDAD DE MONTERREY NO MAMES #lasnochesdelfutbol ¡¡JARAMILLO AHI TE CONTRATAN RAPIDISIMO!! pic.twitter.com/F2WcVsyMKb
Mon Dec 15 20:21:32 PST 2014 --  LA SUPER PUTA DE @viviancepeda AL AIRE #LasNochesdelFutbol pic.twitter.com/7qYqNfATht
Mon Dec 15 14:25:00 PST 2014 --  Nuevo escudo del América. pic.twitter.com/t1rixdjCMH
Mon Dec 15 16:05:24 PST 2014 --  -¿Me prestas tu celular? -Si, espera... *Borrar* *Borrar*Borrar*Borrar*Borrar* Listo, Toma.
Mon Dec 15 06:29:39 PST 2014 --  Así quedaron los partidos para los octavos de final de la #ChampionsxFOX. pic.twitter.com/BznVjRDnrf
Sun Dec 14 18:12:14 PST 2014 --  JAJAJAJAJAJAJAJAJAJA pic.twitter.com/uMK51EBIrm
Sun Dec 14 18:04:13 PST 2014 --  Se venden, tiene 0 kilómetros y es del 2015. pic.twitter.com/rx5p6aj5Gw
Sun Dec 14 18:00:39 PST 2014 --  ¿Por qué Paul Delgadillo no esta celebrando con los del América?
Sun Dec 14 17:54:57 PST 2014 --  Mientras todos celebraran el campeonato de América, Peña Nieto seguirá haciendo mierda al país, ¿no entienden que es una cortina de humo?
Sun Dec 14 17:43:00 PST 2014 --  Les dije que no donaran al Teletón, el arbitro ya tiene su casa amarilla en Lomas.
Sun Dec 14 17:40:40 PST 2014 --  #ComproTitulosComoElAmerica
Sun Dec 14 17:34:02 PST 2014 --  Pinche partido fingido. ¡ME DUELES MÉXICO!
Sun Dec 14 16:58:26 PST 2014 --  Ahorita si todos quieren al Turco Mohamed, malditos hipócritas.
Sun Dec 14 16:52:27 PST 2014 --  Ya ando bien Paul Aguilar.
Sun Dec 14 15:07:31 PST 2014 --  :") http://instagram.com/p/wmuDjThrvR/ 
Sun Dec 14 09:12:45 PST 2014 --  7 de 7 :') pic.twitter.com/PTuxHFwGPx
Sat Dec 13 10:54:38 PST 2014 --  Titulo para la foto : 'Una peda hermosa' pic.twitter.com/it99kBwp3i
Fri Dec 12 11:03:16 PST 2014 --  #DeLaVirgenAprendí a nacer en Monterrey, ser puta de la tv y filtrar mis videos pornos en internet VIVIANCEPEDA pic.twitter.com/RTJO9TSlu5
Thu Dec 11 12:40:05 PST 2014 --  Postal desde #Ayotzinapa: El pupitre del normalista Alexander Mora con una veladora. Imagen de Ana Lucía Hernández * pic.twitter.com/Z9CejKYeLP
