Tue Aug 25 01:44:24 PDT 2015 --  ゼクシィ…惜しい！紙でいいんですがもう少しコンパクトに、諭吉だけ表紙を飾ってればそれでいいんですよ。
Tue Aug 25 01:23:44 PDT 2015 --  だからみ〜るちゃはそろそろぶん殴られるべきだって。
Mon Aug 24 21:10:43 PDT 2015 --  龍驤中破で耐えたー！
Mon Aug 24 21:05:25 PDT 2015 --  吐きそう　1週間で1度たりともE4ボスへ行けない　クソい
Mon Aug 24 20:59:49 PDT 2015 --  問題のE4Hマス
Mon Aug 24 20:02:41 PDT 2015 --  アイエエエ！？all30で夕張ナンデ！？ pic.twitter.com/zyRVwrsM6K
Mon Aug 24 10:55:46 PDT 2015 --  15パック剥けばなんか出るべ
Mon Aug 24 10:32:44 PDT 2015 --  起動したけどクッソ重いゾ……
Mon Aug 24 10:28:35 PDT 2015 --  俺たちの夜はこれからだというのにそれを阻害するBLIZZARD社、許せる！
Mon Aug 24 10:19:33 PDT 2015 --  公式「ユーザー多すぎて障害発生してるンゴ」
Mon Aug 24 10:17:30 PDT 2015 --  hearthstone入れないんやが
Mon Aug 24 08:10:15 PDT 2015 --  【定期3】jubeat http://cycr.net/jubeat/prop/data.php?id=60930001024409t … #jubeat
Mon Aug 24 08:05:16 PDT 2015 --  【定期2】ポップン　1416-1106-5590　DDR　11071334　SDVX　http://bluekingdragon.dip.jp/sdvx/showUserData.php?id=wmario …　 #popn #DDR #SDVX
Mon Aug 24 08:00:35 PDT 2015 --  【定期1】弐寺　4108-6907　http://felice.dip.jp/iidxac22/score.html?userid=wmario …　リフレク　024217 #pendual #reflec_beat
Mon Aug 24 05:32:49 PDT 2015 --  【TAS】悪魔城ドラキュラ Circle of The Moon "All Bosses" (26:11) http://nico.ms/sm26988846  #sm26988846　大量のﾀﾞﾃﾞｨﾔｰﾅｻﾝとデュエリスト塗れでもう大草原や
Sun Aug 23 09:34:23 PDT 2015 --  C88新刊『ここに皆は眠ってないけれど』メロンブックス専売で委託しました！https://www.melonbooks.co.jp/detail/detail.php?product_id=137936 … サンプルはpixivにも編集したものを置いてます。http://www.pixiv.net/member_illust.php?mode=medium&illust_id=51895161 … pic.twitter.com/Pf1Tsxalgd
Mon Aug 24 04:27:35 PDT 2015 --  ケンシロウ、進化する変態は良いぞ
Mon Aug 24 04:25:31 PDT 2015 --  そんな絶望で魔女を目指すあなたにお勧め「チェルシーさんは７の魔神をブッ殺さねばならない」 http://nico.ms/sm15335625  #sm15335625
Mon Aug 24 04:21:29 PDT 2015 --  アイテム最低限取得縛りで取るアイテム序盤で間違えて3時間分のプレイが無駄になったときの絶望で魔女を目指す会
Mon Aug 24 04:18:36 PDT 2015 --  あああああああああああ
Mon Aug 24 00:54:52 PDT 2015 --  やはり音ゲーは体調の良いときにするに限る……
Mon Aug 24 00:54:15 PDT 2015 --  や り ま し た その2 これで3の未クリアがエバラス重のみとなったわけだが攻略の糸口が無い #sdvx pic.twitter.com/P1pHJzd8Gd
Mon Aug 24 00:53:08 PDT 2015 --  や り ま し た #sdvx pic.twitter.com/z9TWspIIly
Sun Aug 23 12:52:20 PDT 2015 --  仕方ない、北大路ちゃんを愛でつつ7時まで待って休みだけど出社しような？
Sun Aug 23 12:47:20 PDT 2015 --  12時間睡眠ですねわかります　わかるかクソが
Sun Aug 23 12:46:59 PDT 2015 --  た　い　へ　ん　い　ま　お　き　ま　し　た
Sun Aug 23 08:10:18 PDT 2015 --  【定期3】jubeat http://cycr.net/jubeat/prop/data.php?id=60930001024409t … #jubeat
Sun Aug 23 08:05:15 PDT 2015 --  【定期2】ポップン　1416-1106-5590　DDR　11071334　SDVX　http://bluekingdragon.dip.jp/sdvx/showUserData.php?id=wmario …　 #popn #DDR #SDVX
