Sun Jul 26 20:31:03 PDT 2015 --  Love is the greatest pain you will ever feel
Sun Jul 26 14:15:16 PDT 2015 --  Baby, you ain’t worth the whiskey. -Cole Swindell
Sat Jul 25 15:54:17 PDT 2015 --  No wonder Cole Hamels got a no-hitter, Chicago had their football team playing (via @rgoldblatt4) pic.twitter.com/g1S8srIrW5
Fri Jul 24 21:53:13 PDT 2015 --  LMFAO YO THE ACCURACY HAS ME SO WEAK pic.twitter.com/D6zvtwr6sq
Sun Jul 26 10:02:56 PDT 2015 --  1:00 and @hbsears13 still snoozin #beautysleep
Sat Jul 25 21:38:07 PDT 2015 --  "And when you get it all just remember one thing, remember one thing, One Man Can Change The World"
Sat Jul 25 21:37:58 PDT 2015 --  "I hope you get the pretty girls thats pretty and everything, Million dollar cribs seekin million dollar dreams"
Fri Jul 24 15:39:25 PDT 2015 --  The 5 rules of a relationship: 1. Stay faithful 2. Make them feel wanted 3. Respect your partner 4. Don't flirt with other 5. Make time
Fri Jul 24 21:06:33 PDT 2015 --  I love that girl..
Fri Jul 24 05:47:08 PDT 2015 --  pic.twitter.com/WtJCy91pEW
Tue Jul 21 19:58:52 PDT 2015 --  #IfWeDate Nothing will come between us. I'll always want you like... https://vine.co/v/MMFMlxXrEME 
Mon Jul 20 18:26:10 PDT 2015 --  My Bucket List pic.twitter.com/d64MnnFT0u
Wed Jul 22 05:41:06 PDT 2015 --  Who's the Greatest Player of All Time? RT for Matt Bonner FAV for Michael Jordan pic.twitter.com/HZPpje32Ex
Wed Jul 22 05:04:06 PDT 2015 --  The all-time Lakers dominate the Bulls in my opinion. Magic has 6 inches on Rose at pg and no way Rodman guards Shaq. Length is key people.
Tue Jul 21 19:02:32 PDT 2015 --  Jacob deGrom is filthy
Tue Jul 21 18:56:30 PDT 2015 --  I miss how Andruw Jones used to pimp basic fly ball catches in the outfield. Not my usual "old school" ways, but it was different.
Tue Jul 21 10:31:13 PDT 2015 --  So excited to see @hbsears13 tomorrow
Mon Jul 20 22:31:36 PDT 2015 --  #DatDudeBP is a baseball swag legend https://vine.co/v/e6rwggUmOlB 
Mon Jul 20 21:20:17 PDT 2015 --  The fact that I get to be with @Z_Scoops15 at the beach in two days
Mon Jul 20 20:17:01 PDT 2015 --  proof that perspective is key pic.twitter.com/MB9MhVfDuJ
Mon Jul 20 18:33:39 PDT 2015 --  Just finished House of Cards... Wow
Mon Jul 20 11:01:01 PDT 2015 --  YES https://twitter.com/sportscenter/status/623190104425779201 …
Mon Jul 13 08:58:35 PDT 2015 --  Bout time someone said it pic.twitter.com/1ZRqu3rqhT
Mon Jul 20 08:35:22 PDT 2015 --  #GrowingUpInASmallTown when I go to WalMart I know everyone there. And they talk to me about the same stuff they did at the game Fri night
Mon Jul 20 08:27:41 PDT 2015 --  #GrowingUpInKentucky UK Men's Basketball is the closest thing we have to a professional team.. #BBN
Fri Jul 17 14:10:41 PDT 2015 --  #GrowingUpInASmallTown Total stranger or best friend, you'll probably get one of these: pic.twitter.com/okPGKAjend
Sun Jul 19 19:52:16 PDT 2015 --  Missing this sweet boy more than anything! pic.twitter.com/K19umTuNcw
Sun Jul 19 08:51:06 PDT 2015 --  “ @StuAthProblems: NBA Players PreGame Handshakes be like pic.twitter.com/QTRSHrgPxN” @Z_Scoops15 ours is gonna be the last one now!
Sat Jul 18 13:34:36 PDT 2015 --  #kidswillneverknow pioneers used to ride these baby's for miles pic.twitter.com/EXoDeX9Sst
Sat Jul 18 07:25:00 PDT 2015 --  Baseball was life, and I was good at it. -The Sandlot pic.twitter.com/HpV4NlmkFq
Sat Jul 18 17:21:33 PDT 2015 --  Should Pete Rose be in the Hall of Fame? RT ~ Yes Fav ~ No pic.twitter.com/sIy9wkh2Jt pic.twitter.com/g0vWUAOLVZ
Sat Jul 18 08:28:13 PDT 2015 --  pic.twitter.com/rff43KATeM
Fri Jul 17 20:25:22 PDT 2015 --  pic.twitter.com/EwLqPjf13m
Sat Jul 18 09:03:33 PDT 2015 --  FIGHT HARD. pic.twitter.com/17MrRZbZX0
