Tue Aug 04 03:56:18 PDT 2015 --  يقول احد علماء النفس: الرجال ينسون لكن لايسامحون، والنساء يسامحن لكن لا ينسين. ٥٠ إعادات تغريد ٢٠ تفضيلات ردّ
Tue Aug 04 03:55:57 PDT 2015 --  ليتنا لم نلتقي منذ البداية ، ليتني يومها تأخرت في النوم عشر دقائق أخرى ، كنت اختصرت عمراً من الوجع ! - نزار قباني
Tue Aug 04 03:55:39 PDT 2015 --  الفشل هو أن تكون تعيسًا بالرغم من كل مالديك .
Tue Aug 04 03:55:24 PDT 2015 --  أكثر ما يُلوث القلوب ، الظنون السيئه .
Tue Aug 04 03:54:59 PDT 2015 --  سعياً للأمنيات، إستغفروا كثيراً .
Tue Aug 04 03:54:41 PDT 2015 --  الشخص الذي يجبر نفسه كي يلائم كل الناس ، يستهلك حياته سريعاً . - تشارلز تشواب
Tue Aug 04 03:54:27 PDT 2015 --  لا تبحث عن ملاك بين البشر .
Tue Aug 04 03:54:12 PDT 2015 --  أطعم الإيمان وسوف يموت الخوف جوعاً .
Tue Aug 04 03:53:52 PDT 2015 --  الحمدلله على ابسط النِعم واعظمُها.
Tue Aug 04 03:53:37 PDT 2015 --  إذا كنت تطلق الأحكام على البشر فلن تجد وقتًا لمحبتهم .
Tue Aug 04 03:53:26 PDT 2015 --  التعامل مع البشر بـ مختلف عقلياتهُم و اطباعهُم و اخلاقهُم يحتاج إلى صبر و تغافُل و احياناً غبا متعمد .
Tue Aug 04 03:52:53 PDT 2015 --  كثيرة هي النعم التي نغفل .. عن شكرها لكوننا اعتدنا عليها ، و لم نجرب الحياة من دونها ، الحمدلله دائمًا وابدًا .
Tue Aug 04 03:52:40 PDT 2015 --  لكي يحترمك الحاضرون .. احترم الغائبين ، شيء لن يفهمه " المنافقين " .
Tue Aug 04 03:52:25 PDT 2015 --  يولد الرجل مرتين : مرة من امرأة تعطيه الحياة .. ومرة من امرأة تعطيه الحب ... الاولى تعطيه حياتها والثانية تعطيه حياته .
Tue Aug 04 03:52:12 PDT 2015 --  الحياة قصيره جدا لا تستحق الحقد ،الحسد ، البغض ، قطع الرحم ، غدا سنكون ذكرى فقط .. ابتسموا وسامحوا من اساء اليكم فـ الجنه تحتاج قلوباً محبة.
Tue Aug 04 03:51:57 PDT 2015 --  امنح نفسك الفرصة التي لم يمنحها لك الآخرون .
Sun Aug 02 13:42:08 PDT 2015 --  "سيرى أطفالك كل ما أنت عليه من خلال طريقتك في العيش وليس من خلال ما تقوله"
Sun Aug 02 13:00:05 PDT 2015 --  "الباب الذي يقفل في وجهك عمدًا إياك أن تطرقه ثانيًا"
Sun Aug 02 12:59:33 PDT 2015 --  الشخص الذي يحرمك غالباً من النوم، هو الشخص المسؤول عن سعادتك وعن اللامك أو كليهما.
Sun Aug 02 12:59:00 PDT 2015 --  لا تتحدث عن نفسك كثيراً ، فالكُتب المفتوحة لا تَجذب القراء.
Sun Aug 02 12:58:46 PDT 2015 --  اختاروا مفرداتكم كما تختارون ملابسكم فالكلام أناقة أيضا
Sun Aug 02 12:58:17 PDT 2015 --  إذا كنت تريد أن تبقىَ سعيداً : دعّ ما حصل بالأمس في الأمس ﻻ تأخذه معك للغد. #حقيقه
Sun Aug 02 12:57:59 PDT 2015 --  وهكذا هيْ الحْيُاه يوٌمًا يطل بُه الفْرَح ۆيَومًا يطل بُه الحزن ولاَ شَىءٌ يَبٌقىَ عَلٌى حاله..
Sun Aug 02 12:57:27 PDT 2015 --  البعض.. نحب الحديث معهم حتي لو اننا لانملك مانقول..
Sun Aug 02 12:56:28 PDT 2015 --  غضك الطرف عن الأخطاء الصغيرة لمن حولك وخاصة شريك حياتك وعدم التفاتك لصغائر الأمور .. يجعل حياتك العائلية أكثر هدوء واستقرار وسعادة.
Sun Aug 02 12:55:59 PDT 2015 --  احرص على القيام بأعمال مشتركة مع شريك حياتك فسوف تمثل لكما ذكريات سعيدة فيما بعد وتقرب أكثر بينكما.
