Sun Jun 14 06:02:53 PDT 2015 --  The rivalry deepens... wonder what the celebration adverts will look like @Audi__Sport @PorscheRaces #LeMans24h https://twitter.com/24hoursoflemans/status/610069640031641601 …
Sun Jun 14 05:24:56 PDT 2015 --  Help stop ignorance today - pic.twitter.com/VtrON5KwGd
Sun Jun 14 05:15:00 PDT 2015 --  Sortie de piste pour l'Aston Martin n°98 (Dalla Lana), le leader de la LM GTE Am.... #LEMANS #24LM pic.twitter.com/C6utgT04oR
Sun Jun 14 05:22:34 PDT 2015 --  These cars are so weird! Only GT cars make racing noises. LMP1 sounds like meat slicing machines at the butchery #LeMans24h #Futuristic
Sun Jun 14 05:15:29 PDT 2015 --  OH SNAPS!!!! Aston martin crash and lose first place in the last 46 min of the #LeMans24h Wow that is SAD!!!
Sun Jun 14 04:30:27 PDT 2015 --  Entering the last 1:30 of the #LeMans24h
Thu Jun 11 14:42:48 PDT 2015 --  The @TheDailyShow has the best coverage of the build up to the 2016 US elections hands down! Funny but true! The realest!
Thu Jun 11 14:00:55 PDT 2015 --  When you find out that Liverpool want £50m for Raheem Sterling... https://vine.co/v/OhUPAbu3Ong 
Thu Jun 11 14:01:01 PDT 2015 --  Up close with the Oculus Rift and the Oculus Touch (photo gallery) http://wp.me/p5hvhT-7kHg  by @Deantak pic.twitter.com/Bnbtdq3SmP
Thu Jun 11 13:33:09 PDT 2015 --  It's pretty obvious who's in charge of the musical guests on the @jimmyfallon show. Thank you @questlove! Great anyways
Mon Jun 08 13:29:26 PDT 2015 --  At the end of #GOT S5E9 I was singing #NeverEndingStory #Classic so ripped!
Sun Jun 07 11:07:21 PDT 2015 --  GO GO GO #CanadianGrandPrix #F1
Sat Jun 06 13:17:59 PDT 2015 --  I used to believe that prayer changes things, but now I know that prayer changes us and we change things.
Wed May 27 10:32:29 PDT 2015 --  FIFA 16 looks amazing already. pic.twitter.com/QKtR626DXH
Thu May 28 12:21:04 PDT 2015 --  FIFA 16 career mode: "Your star striker will be out for 9 months due to pregnancy" pic.twitter.com/rUJHg7Iz6R
Sat Jun 06 13:23:15 PDT 2015 --  That free kick was almost as bad as Messi's haircut! #UCLfinal
Sat Jun 06 13:21:32 PDT 2015 --  Hahaha that slow mo segment is going to look like the matrix! #UCLfinal
