Fri Jul 24 07:06:54 PDT 2015 --  المحظوظين ثلاث : الأول : من ترك الدنيا قبل أن تتركه الثاني : من بر والديه قبل أن يفارقوه الثالث : من أرضى خالقه قبل أن يلقاه
Fri Jul 24 11:46:26 PDT 2015 --  منظر لقرية #ريام كما يبدو من أعلى عقبة ريام المطلة على #مسقط وهذا الطريق الذي كان يربط بين مسقط ومطرح في الماضي. pic.twitter.com/5bS3nVkcmZ
Tue Jul 21 19:31:42 PDT 2015 --  أصبحنا و أصبح الملك لله.
Tue Jul 21 13:14:36 PDT 2015 --  أوقات الآذان في محافظة #مسقط لهذا اليوم : الفجر 07ر4 الشروق 32ر5 الظهر 18ر12 العصر 40ر3 المغرب 00ر7 العشاء 19ر8 pic.twitter.com/P9TWMUrtaH
Tue Jul 21 08:31:45 PDT 2015 --  اذكروا موتاكم بدعوة فلعل غداً عندما نرحل يأتي من يذكرنا بدعوة .. اللهم ارحم و أغفر لموتانا و جميع موتى المسلمين يا رب العالمين
Tue Jul 21 02:28:40 PDT 2015 --  سماحة الشيخ أحمد الخليلي : عُمان كانت وستظل بعون الله نسيج متماسك،ويجب علينا أن لا نسمح لأحد التأثير عليه pic.twitter.com/nWrhwbxNsL
Tue Jul 21 02:10:47 PDT 2015 --  سامحنى يا الله إذا انغمست يوما فى الحياة؛ وحزنت من أجل الحياة ومن فى الحياة ونسيت أن الحياة زائلة !
Tue Jul 21 02:39:29 PDT 2015 --  كل الأشياء مُعوضه ما دامت رحمةُ الله تُحيط بنا.
Mon Jul 20 12:00:16 PDT 2015 --  دكتور بريطاني يشهر إسلامه اليوم في قرية سيماء بولاية ازكي بعد قضاءه فيها إجازة #عيد_الفطر ويسمي نفسه "ابراهيم". pic.twitter.com/O3L3jgUHaN
Mon Jul 20 15:46:41 PDT 2015 --  يارب إنك ترى تقصيري فتجاوز عني وأهدني لما يرضيك عني واجعلني كما تحب أن تراني
Mon Jul 20 12:14:34 PDT 2015 --  اصنع لـ نفسك يوم جميل وﻻ تنتظر جمال يومك من احد.
Sun Jul 19 23:27:31 PDT 2015 --  التفكير الزائد ،، pic.twitter.com/gNxTP7Cnt9
Sun Jul 19 23:15:17 PDT 2015 --  اذا اردت ان تعرف الانسان فانظر من يصاحب فالطباع يسرق بعضها من بعض فترى اننا ناخذ من طباع بعضنا دون ان نشعر 🏻🏻 pic.twitter.com/QvgqciFvBb
Sun Jul 19 19:46:59 PDT 2015 --  أكثر عبارتان مريحتان: -ما أحزن الله عبدا إلا ليسعده . -ما أبتلى الله عبدا إلا لأنه يحبه فقولو الحمدلله دائما وأبداً.
Sat Jul 18 05:07:01 PDT 2015 --  تعبانة
Fri Jul 17 13:47:35 PDT 2015 --  صديقتي الغالية عيدك ف الجنة اجمل الله يرحمك
Fri Jul 17 10:32:29 PDT 2015 --  الطلبة العمانيين يؤدون صلاة #عيد_الفطر اليوم في سوانزي بالمملكة المتحدة. pic.twitter.com/jj2N8P9wRR
Fri Jul 17 12:53:44 PDT 2015 --  كل عيد وأنتم في فرح
Fri Jul 17 05:48:47 PDT 2015 --  يهودية ملحدة تدافع عن القرآن (مترجم). كيف يرون #القرآن #الكريم ونظرتهم #للاسلام #ted #islam #quran http://youtu.be/Iu-8S-nbl0Y 
Fri Jul 17 00:29:29 PDT 2015 --  اللهم في يوم الجمعه اجعلنا ممن طاب ذكرهم و حسنت سيرتهم و استمر اجرهم في حياتهم و بعد موتهم
Thu Jul 16 20:42:47 PDT 2015 --  اللهم اجعل عيدهم في ظلّ رحمتك .. واجمعنا معهم في جناتك pic.twitter.com/zuMGau0xmM
Thu Jul 16 14:50:03 PDT 2015 --  كل سنه يضعف العيد بقلوبنا مو عشان كبرنا لأنا فقدنا اشخاص كانوا جزء من فرحه العيد~آللهم آغفر لكل روح آحتوآهآ الترآب
Wed Jul 15 20:23:43 PDT 2015 --  اللهم اغفرلها اللهم اغفرلها اللهم اغفرلها بعدد القلوب التي حزنت على فرقها وبعدد الدموع التي ذٌرفت في خبر موتها. امين
Wed Jul 15 19:24:52 PDT 2015 --  كان القبور وحيدون ، أغلقت صحفهم وبدأت اخرتهم ،اللهم ارحم قلة حيلتهم وأنر قبورهم واغفر لهم وانس وحشتهم
Wed Jul 15 19:46:02 PDT 2015 --  اللهم أغسلها بالماء والثلج والبرد ونقها من الذنوب والخطايا كما ينقى الثوب الابيض من الدنس اللهم قها عذابك يوم تبعث عبادك اللهم اميين
Wed Jul 15 17:48:21 PDT 2015 --  اقترب العيد و لنا فالقبور احبه، اللهم نور قبورهم برحمتك.
Wed Jul 15 17:54:20 PDT 2015 --  اللهم اختم لنا شهر رمضان برضوانك والعتق من نيرانك واجعلنا فيه من المقبولين وأعده علينا أعواما عديدة ونحن في صحةوعافية pic.twitter.com/6dKCeUo7Kw
Wed Jul 15 15:34:56 PDT 2015 --  Ramadan will never be the same without hearing this show's name or seeing this great man's face #شكرا_احمد_الشقيري pic.twitter.com/nNRCmRBqKO
Wed Jul 15 15:07:10 PDT 2015 --  pic.twitter.com/LjgRLDMgwZ
Wed Jul 15 08:47:50 PDT 2015 --  حظيت بوردتين قبل الإفطار عند إشارات مسجد الرحمن في العذيبة مبادرة رائعة .. إبتسامة وورد وحب أي جمال هذا يا شباب عمان pic.twitter.com/8yQ18t8Qed
Wed Jul 15 05:56:10 PDT 2015 --  شكلي إذا قالوا لي الصغار وين هدية العيد pic.twitter.com/o0i0AXVvVo
Sat Jul 11 03:42:20 PDT 2015 --  #صورة قديمة لموكب جلالة السلطان قابوس بن سعيد المعظم حفظه الله ورزقه الصحة بطريق وادي الجزي بولاية #البريمي.. pic.twitter.com/UBk3zpaDuS
Wed Jul 15 00:02:24 PDT 2015 --  Swansea pic.twitter.com/3NK3LKD2EA
Tue Jul 14 23:35:48 PDT 2015 --  الجمعية بحاجة لمتطوعين لفرز الملابس المتبرع بها اليوم بمخزن الجمعية في روي من 1 ظهرا الى 5 مساءا. للتواصل: 99514913 pic.twitter.com/LXN9j0Qxmk
Tue Jul 14 18:32:26 PDT 2015 --  يارب نسألك جنة يطيب لنا فيها البقاء
Tue Jul 14 17:24:38 PDT 2015 --  pic.twitter.com/AWKpdHHWXr
Tue Jul 14 17:16:43 PDT 2015 --  pic.twitter.com/AHS4ZLkGYb
Tue Jul 14 14:02:38 PDT 2015 --  pic.twitter.com/hv3fSljmRf
Tue Jul 14 03:54:34 PDT 2015 --  بلغت عدد مشاهدات مقاطع #Mecca_Live عبر @Snapchat خلال 24 ساعة ماضية أكثر من 10 مليون و 300 ألف مشاهدة CC: @HashKSA pic.twitter.com/dig1jWxXX3
Mon Jul 13 23:32:07 PDT 2015 --  Youthful, educated @MajlisShura for #Oman this year. http://bit.ly/1eYzfYn  pic.twitter.com/1m44JKKuEt
Tue Jul 14 02:40:24 PDT 2015 --  pic.twitter.com/jqcK9TKlsS
Mon Jul 13 16:51:17 PDT 2015 --  نسال الله ان يتغمدها بواسع رحمته وان يسكنها فسيح جناته ويلهم اهلها الصبر والسلوان ..امين انا لله وانا اليه راجعون
Mon Jul 13 16:43:40 PDT 2015 --  🏻🏻🏻 pic.twitter.com/N6iDEcawCP
Mon Jul 06 20:01:07 PDT 2015 --  ارِح سمعك pic.twitter.com/ktJIglFA3V
Mon Jul 13 12:43:41 PDT 2015 --  يارب ارزقنا أفضل مما ندعو به وأكثر مما نريد وأجمل مما نتوقع.
Mon Jul 13 02:37:53 PDT 2015 --  الله يرحمك برحمته يا صديقتي الغالية يا رب أغفر لها وإرحمها وإجعل مثواها الجنة يارب امين
Sun Jul 12 22:49:36 PDT 2015 --  غُفرانك ربي ، حين تلهينا الدنُيا عن ذكرك.
Sun Jul 12 22:27:43 PDT 2015 --  أصبحنا وأصبح الملك لله.
Fri Jul 10 11:54:40 PDT 2015 --  الحياه قد تتعثر لكنها لاتتوقف والامل قد يضعف لكنه لايموت أبداً والفرص قد تضيع لكنها لاتنتهي
Sun Jul 12 07:38:50 PDT 2015 --  اللهُم بشّرني بِما أنتظرهُ مِنكَ وأنتَ خيرُ المُبشرين.
Sun Jul 12 03:01:39 PDT 2015 --  الدال على الخير كفاعله.. تبرع الآن ١٠ ر.ع لكسوة العيد #كسوة_العيد pic.twitter.com/5jBPmTIHPy
Sat Jul 11 05:37:14 PDT 2015 --  من كتاب .. الأبيض يليق بك ... للكاتبة مجد الفرج ... كلام رائع 🏼🏼 pic.twitter.com/Lxwwr5R92H
Sat Jul 11 02:58:17 PDT 2015 --  "شربة ماء..كفيلة بغفران رب السماء.. #فحدّث نفسك بالعطاء" #مبادرة_فحدّث pic.twitter.com/zXGk0wYhc1
Fri Jul 10 20:11:29 PDT 2015 --  يا الله افجع قلوبنا خبر وفاتهم ولكن الحمدلله على كل حال..
Fri Jul 10 15:46:23 PDT 2015 --  اللهم لك الحمد حتى ترضا ولك الحمد اذا رضيت ولك الحمد بعد الرِّضا pic.twitter.com/fZA8X6JTVZ
Fri Jul 10 03:09:56 PDT 2015 --  My prayer for today: May Allah give us the courage to do what is in our hearts, and never give up on the things we love.
Fri Jul 10 03:36:06 PDT 2015 --  The best video game of all times pic.twitter.com/9ikdioB460
Thu Jul 09 20:23:21 PDT 2015 --  ملكت نفسي يوم ملكت منطقي.....
Thu Jul 09 15:58:03 PDT 2015 --  اللهُم بشّرني بِما أنتظرهُ مِنكَ وأنتَ خيرُ المُبشرين.
Thu Jul 09 14:05:45 PDT 2015 --  أجمل الأشياء هي تلك التي تأتيك من غير سؤال، لا طعم لها إن أتت بعد العتب..
Wed Jul 08 17:42:13 PDT 2015 --  @M7mdbinkalban pic.twitter.com/q2ILjLCX9b
Wed Jul 08 19:14:45 PDT 2015 --  استغفر الله العظيم واتوب اليه
Wed Jul 08 11:48:14 PDT 2015 --  وكيفما وجّهت وجهي وجدتُ منَّك يا ربَّ شيئًا جميلاً.
Wed Jul 08 01:50:06 PDT 2015 --  Happiness is not about becoming important to others, it's about feeling important to yourself.
Tue Jul 07 17:14:47 PDT 2015 --  دعاء ليلة القدر. اللهم اجعلنا من الفائزين في ليلة القدر pic.twitter.com/93k0OQ2beU
Tue Jul 07 15:46:08 PDT 2015 --  #لا يكلف_الله_نفسا_الا_وسعها pic.twitter.com/PSaaMPafvh
Tue Jul 07 14:13:19 PDT 2015 --  ف القلب خواطر....
Tue Jul 07 03:34:05 PDT 2015 --  الإنخراط في الأعمال التطوعية الإنسانية يجب أن تكون خالصة النية إبتغاء الأجر وليس لتحقيق مكاسب شخصية أو بُغية الظهور من خلال قضايا المجتمع.
Fri Jun 12 02:34:45 PDT 2015 --  pic.twitter.com/ryfthhATys
Thu May 14 03:53:35 PDT 2015 --  pic.twitter.com/35snkZdWSF
Mon Jul 06 13:03:07 PDT 2015 --  الحمد لله دائما وابدا pic.twitter.com/Xafyg3y5WT
Tue Jun 09 06:39:48 PDT 2015 --  فلماذا نشكي همومنا للناس pic.twitter.com/PfwsrqQCmK
Sun Jul 05 17:38:38 PDT 2015 --  تصبحون على ماتتمنون احبكم ف الله pic.twitter.com/du1sOGojTL
