Tue Aug 18 18:40:41 PDT 2015 --  Listening to @SarahFisher28 music tonight because she's got the voice of an angel and amazing songs. 🏼🏼
Tue Aug 18 18:18:15 PDT 2015 --  You know what. I'm actually hurting myself. Been brushing for awhile I feel like my mouth is bleeding. SOMEONE HELP ME
Tue Aug 18 18:17:12 PDT 2015 --  I'm hurting my toothbrush... I'm sorry.
Tue Aug 18 17:31:46 PDT 2015 --  @ginamarie762 STOP CREEPING ME OUT WITH YOUR CLOSE UP SNAPS. Lel gives me some good screen caps of you though.
Tue Aug 18 16:10:28 PDT 2015 --  @ginamarie762 more like your the best person ever. ily
Mon Aug 17 18:46:09 PDT 2015 --  Soooo like I have 1+ mirrors in every single room in my house.
Mon Aug 17 18:28:47 PDT 2015 --  iPhone 7 coming out in September? WHATTTTT?!?!
Mon Aug 17 18:27:42 PDT 2015 --  @ginamarie762 @SarahFisher28 till my iPod decided to ruin it and die on me like usual. but I was good.
Mon Aug 17 15:59:40 PDT 2015 --  Sry for the 2nd selfie! but I just received this BEAUTIFUL bracelet from this sweetheart @the_sam_abbott THANK YOU pic.twitter.com/obHJ4dTVMe
Tue Aug 11 20:57:42 PDT 2015 --  Finding Emo pic.twitter.com/9qV1EHN4eU
Mon Aug 17 14:28:32 PDT 2015 --  @AdamsTestament Feature Film is in Post Production! Here's our campaign thanks for all your support … http://www.whosay.com/l/zGLaVmo 
Mon Aug 17 14:30:33 PDT 2015 --  When you're looking for someone you've never met so you just keep smiling creepily at strangers...yup...that's me
Mon Aug 17 14:19:16 PDT 2015 --  @SarahFisher28 Sarah you look so beautiful! Perfection in this photo. 🏼
Mon Aug 17 14:18:25 PDT 2015 --  Photo shoot time!! pic.twitter.com/Gof9StWhzN
Mon Aug 17 14:08:22 PDT 2015 --  So like it's burning hot outside and i locked my house Bc I went somewhere and my mom is still not back FML.
Sun Aug 16 16:47:33 PDT 2015 --  I'm gonna open a psychic hotline pic.twitter.com/zMvdxkzSgs
Mon Aug 17 07:18:00 PDT 2015 --  I miss buddy so much
Mon Aug 17 06:29:55 PDT 2015 --  accurate https://twitter.com/swaisglass/status/633269443888590848 …
Mon Aug 17 06:25:30 PDT 2015 --  number 1 rule...laugh at yourself at least once a day
Mon Aug 17 01:41:25 PDT 2015 --  "High school sucks. Spend time here with the people who don't." ~Bianca @AliciaJosipovic #degrassi
Sun Aug 16 11:42:23 PDT 2015 --  @swaisglass @jjwaiser @tessawaisglass this makes my heart melt
Sun Aug 16 17:16:18 PDT 2015 --  pic.twitter.com/ht2pDJ7dnb
Sun Aug 16 16:44:47 PDT 2015 --  @ginamarie762 is like the only person I'm close to and she's on the other side of the world, how does that work out?!
Sun Aug 16 16:13:24 PDT 2015 --  I feel like no one wants to hang out with me...
Sun Aug 16 14:59:07 PDT 2015 --  Wouldn't it be interesting if Frankie and Drew dated? 🏼 drankie? Frew? Hahaha @lukebilyk1 @swaisglass
Sun Aug 16 14:44:41 PDT 2015 --  "What happened to bros before.. Pretty girls?" ~Drew @lukebilyk1 #degrassi
Sun Aug 16 14:43:46 PDT 2015 --  Beckys storyline where she is addicted to online gaming. 🏼 @SarahFisher28 #degrassi
Sun Aug 16 14:33:21 PDT 2015 --  Scammers.. Ugh.
Sun Aug 16 13:29:26 PDT 2015 --  I'm looking for a Yorkie.. Anyone??
Sun Aug 16 09:57:40 PDT 2015 --  Watching Degrassi most talked about moments again.. DONT JUDGE #Degrassi
Sun Aug 16 07:09:05 PDT 2015 --  @ginamarie762 YOUR MAKING MY TWITTER GO OFF LIKE CRAZY thank you for the spam 🏼
Sun Aug 16 07:05:42 PDT 2015 --  @ginamarie762 @taylorswift13 hoping this year is the year.
Sun Aug 16 06:51:20 PDT 2015 --  Clothes – What we wear affects how we behave.
Sun Aug 16 06:48:27 PDT 2015 --  Ana Golja is enjoying a Bruised-up Dylan Everett jamming on a piano - lunch break on set of Dumb Luck. pic.twitter.com/OxrAohy0d0
Sun Aug 16 05:05:40 PDT 2015 --  The fact that she knows who I am in a way is so unreal. I just need to finally meet her.🏻 @taylorswift13 pic.twitter.com/iboEjuu3eZ
Sun Aug 16 04:53:02 PDT 2015 --  People change, memories remain.
Sun Aug 16 01:08:49 PDT 2015 --  Idk what to do anymore I really don't. Why does the only person I trust the most have to live so far away from me?! Why...
Sun Aug 16 02:44:43 PDT 2015 --  Hahahah cam went into the girls room #Degrassi
Sun Aug 16 02:32:39 PDT 2015 --  I honestly felt so bad for Alli B. when she thought she was pregnant. Thinking your whole life can change, your whole future. Must be scary.
Sun Aug 16 02:27:53 PDT 2015 --  When Alli thinks she's pregnant @Degrassi
Sat Aug 15 17:28:02 PDT 2015 --  I miss @Degrassi
Sat Aug 15 11:00:14 PDT 2015 --  What will @Degrassi look like when the new series debuts in 2016? A tour of the sets: http://lif.to/1UIq2TM  pic.twitter.com/9o61shQH6r
Sat Aug 15 17:39:25 PDT 2015 --  People are more likely to cry at night because the lack of sleep makes emotions hard to control.
Sat Aug 15 17:55:36 PDT 2015 --  Teenagers = Treated like children but expected to act like adults
Sat Aug 15 17:56:50 PDT 2015 --  Studies have shown that eating food without preservatives can improve I.Q by up to 14%.
Sat Aug 15 14:42:11 PDT 2015 --  We were on break and a jam session broke out with @dylanevz and @TheAnaGolja! #dumbluckthemovie #canadianfilm pic.twitter.com/cA6fMyd1qX
Sat Aug 15 11:34:02 PDT 2015 --  New Degrassi: Next Class logo (2016) fifteenth season. @Degrassi @DegrassiWriters @stephenstohn pic.twitter.com/SRLULtUnn8
Sat Aug 15 18:30:09 PDT 2015 --  Never call someone fat, even if you're joking.
Sat Aug 15 14:46:51 PDT 2015 --  Surround yourself with people that bring out the best in you.
Sat Aug 15 09:56:04 PDT 2015 --  Today I got my first "Ma'am, are you OK?" which confirms a few things, namely: my 28th birthday is soon.
Sat Aug 15 20:26:10 PDT 2015 --  My Twitter Account is worth $480.96 as of today!! Find out what yours is worth for free at http://twitvaluesjeet.com 
Sat Aug 15 18:35:31 PDT 2015 --  #thestruggleisreal when your chewing and you cannot hear the tv so you gotta turn it up to like 60. 🏼
Sat Aug 15 16:49:55 PDT 2015 --  "No one graduated this season." What I keep telling myself. #Degrassi
Sat Aug 15 16:49:00 PDT 2015 --  This ending. #Degrassi
Sat Aug 15 16:45:42 PDT 2015 --  "What was the day Degrassi grew up." @stefanbrogren
Sat Aug 15 16:44:41 PDT 2015 --  When Rick almost shot Emma... Most scariest moment.... @Degrassi
Sat Aug 15 16:37:57 PDT 2015 --  "I was drunk and helpless and YOU assaulted me." @TheAnaGolja
Sat Aug 15 16:37:30 PDT 2015 --  Zoës sexual assault storyline is the saddest and most powerful tbh. @TheAnaGolja
Sat Aug 15 16:35:22 PDT 2015 --  "I said no, over and over." "You said no?" This storyline
Sat Aug 15 16:30:50 PDT 2015 --  "He would have been beautiful and amazing." Best line by Eli. 🏼 @The_Munro @Degrassi #degrassi
Sat Aug 15 16:30:08 PDT 2015 --  "...it's okay to take a break." "I don't want to take a break!!" @aislinnpaul @The_Munro
Sat Aug 15 16:29:29 PDT 2015 --  "You have pretty eyes." "..thanks." ECLARE YES. @The_Munro @aislinnpaul @Degrassi
Sat Aug 15 16:27:14 PDT 2015 --  @ginamarie762 @thedegrasiheart I love your friendship
Sat Aug 15 16:26:26 PDT 2015 --  "It wasn't a fairytale ending and I think that's when people woke up." @dylanevz #Degrassi
Sat Aug 15 16:24:58 PDT 2015 --  "What did you do?!" "I crashed Morty."
Sat Aug 15 16:23:53 PDT 2015 --  "I'm bipolar" ~Craig "I'm not crazy I'm bipolar." ~ Eli Best storylines so tbh. @Degrassi @The_Munro @Jake_Epstein
Sat Aug 15 16:22:42 PDT 2015 --  When Paige finds out Ellie was cutting. Gets to me everytime. #Degrassi
Sat Aug 15 16:07:50 PDT 2015 --  Omg that opening gives me the chills. @Degrassi #degrassi
Sat Aug 15 16:07:32 PDT 2015 --  "Woah that show goes there." ~ @OliviaScriven
Sat Aug 15 16:06:46 PDT 2015 --  Watching @Degrassi most talked about moments. Again. And it gives me the chills. Idk why.
Sat Aug 15 15:07:35 PDT 2015 --  I got like what.. 2, maybe 3 friends?
Fri Aug 14 17:57:14 PDT 2015 --  always happiest on a Friday wearing @mendocinoto https://instagram.com/p/6YnxqdPv2b/ 
Sat Aug 15 07:15:32 PDT 2015 --  @MendocinoTO #ilovemendo HAPPY WEEKEND pic.twitter.com/5JqZTvjQL1
Fri Aug 14 19:56:24 PDT 2015 --  CAUSE BABY NOW WE GOT BAD BLOOD 🏼
Fri Aug 14 18:08:56 PDT 2015 --  "Cradle your head in your hands and breathe... Just breathe." 🏼 ~Breathe (2 AM)
Fri Aug 14 17:05:56 PDT 2015 --  I want a puppy.
Mon Aug 10 15:36:14 PDT 2015 --  I'm sorry it's a girls night
Mon Aug 10 19:56:29 PDT 2015 --  When Becky Baker wanted to cancel the school play 🏻 she was sassy. ( @SarahFisher28 #degrassi )
Tue Aug 11 22:12:02 PDT 2015 --  When the mail man brought the package to the door because he didn't want it getting wrecked from the rain. Such a gentle man. 🏼
Wed Aug 12 05:31:58 PDT 2015 --  The girl with no bio.
Wed Aug 12 15:21:14 PDT 2015 --  @fishiefanpage @SarahFisher28 life goal is to meet her.🏻
Thu Aug 13 17:18:56 PDT 2015 --  @HayleyKiyoko I think a movie/ short film 🏻
Fri Aug 14 03:38:34 PDT 2015 --  🏻 pic.twitter.com/R5Opdbq1F4
Fri Aug 14 07:23:30 PDT 2015 --  Timezone differences suck most of the time. Sooo tired but I don't wanna sleep.
Fri Aug 14 15:38:05 PDT 2015 --  @ginamarie762 bubble baths are the best baths🏻
Fri Aug 14 15:25:52 PDT 2015 --  I just took a bath and it was like the perfect thing atm.. Don't judge. IT WAS HEAVEN
Fri Aug 14 09:54:44 PDT 2015 --  Sooo I went to lunch with my dad and I got home and I kinda locked the door... oops... lol.. I'm a mess..
Fri Aug 14 08:25:31 PDT 2015 --  @ginamarie762 it was, goodnight/ good morning
Fri Aug 14 08:23:39 PDT 2015 --  Facetiming @jaydesanford just made my day. It was fun. goodnight jaydeeeee
Fri Aug 14 07:50:04 PDT 2015 --  What does this even mean?!?!?! @TheAnaGolja
Fri Aug 14 06:36:05 PDT 2015 --  . Nice joke guys...lol
Fri Aug 14 07:30:13 PDT 2015 --  No smartphone? pic.twitter.com/aiIln1kjIb
Thu Aug 13 20:31:16 PDT 2015 --  Early night tonight. Good night. (Just typed "night" like 4 times lol)
Thu Aug 13 20:26:25 PDT 2015 --  this new snapchat update got me like pic.twitter.com/3SpIzTpVIo
Thu Aug 13 20:29:20 PDT 2015 --  Can I have this money? Like now?! pic.twitter.com/ieocMpdCXf
