Fri Aug 22 07:29:25 PDT 2014 --  Good actors are symbionts: our soul and the soul of the characters we portray live together and cannot exist apart. #TheatreProblems
Fri Aug 22 06:50:05 PDT 2014 --  Living by principles, rather than focusing on outcomes is key to a good life.
Thu Aug 21 05:30:30 PDT 2014 --  KARMA (a.k.a. "Newton's Third Law of Motion"): for every action, there is an equal and opposite reaction.
Wed Aug 20 11:49:32 PDT 2014 --  Every ACTION a person takes is either primarily SELFISH or SACRIFICIAL.
Tue Aug 19 19:58:55 PDT 2014 --  Bowie always inspires me, but this is haunting my soul: http://youtu.be/b2gMMZB0FaU 
Tue Aug 19 15:39:37 PDT 2014 --  This just happened: I drove past a man holding a sign: "I cried unto The Lord". Unexpectedly, I burst into tears.
Mon Aug 18 18:46:11 PDT 2014 --  I believe in dreaming BIG, seemingly IMPOSSIBLE dreams. I believe SMALL, very POSSIBLE steps are what can get you there! #TheatreProblems
Thu Aug 14 08:53:21 PDT 2014 --  Smartest thing I've heard this week: "Church used to be a hospital for sinners. It has become a country club for saints".
Mon Aug 11 19:44:48 PDT 2014 --  Often, those who try so hard to make us laugh and be happy are tormented inside. RIP Robin Williams.
Sun Aug 10 17:26:55 PDT 2014 --  How people treat you when you aren't around is the truest reflection of how they REALLY feel about you.
Tue Aug 05 16:19:03 PDT 2014 --  Don't try to "find yourself in your character". Be yourself first, and find your character within you. #Acting101 #TheatreProblems
Tue Aug 05 08:29:04 PDT 2014 --  If you want to be an interesting actor, lead an interesting life. #Acting101 #TheatreProblems
Sun Jul 20 06:34:06 PDT 2014 --  You cannot have free will in a perfect system.
Sun Jul 20 06:32:00 PDT 2014 --  Jesus said, "suffer the little children" to remind us to be loving to children and because we are God's children--we sure make Him suffer!
Sat Jul 19 09:48:18 PDT 2014 --  Love is a thing you can only get by giving it away. #Wisdom #love #truth
Thu Jul 17 08:28:39 PDT 2014 --  Learn your character not just from your lines, but also from what other characters say to you. #TheatreTips #TheatreProblems
Wed Jul 16 20:54:08 PDT 2014 --  When schools eliminate drama, they take away away joy, creativity, and expression from those who need it most #TheatreProblems
Wed Jul 16 06:53:49 PDT 2014 --  Between productions, I wander around like, "what is this? Real life? Ugh...where's the stage?!?!?!" #theatreproblems #theatre #TheatreTips
Tue Jul 15 10:12:57 PDT 2014 --  Good writing should illustrate truth without proclaiming it. #writing #writingtips
Sun Jul 13 15:19:18 PDT 2014 --  LAURA'S THEATER TIP: Bad material done well sells more tickets than great material done poorly! #theatre #TheatreProblems
Sun Jul 13 14:35:39 PDT 2014 --  We have to seek out peace. It doesn't come knocking like pain does. #wisdom #truth
Fri Jul 11 21:26:52 PDT 2014 --  I went up to the counter at Zaxby's at dinner and said, "Normally, I don't complain...". The girl seemed surprised when I said no more.
Fri Jul 11 20:24:35 PDT 2014 --  Don't bother looking for answers. Seek better questions.
Fri Jul 11 20:18:01 PDT 2014 --  Don't define yourself by the boxes others force you into--find the YOU you have not yet become and infinite other possibilities fade away.
Fri Jul 11 19:32:25 PDT 2014 --  Don't waste your time trying to "find a way". MAKE a way.
Sun Jun 29 13:44:47 PDT 2014 --  Know who you are: if/then=reactionary; when/then=planner; if/maybe=female.
Mon Jun 23 20:57:19 PDT 2014 --  Never wish for all of your dreams to come true. Remember, some dreams are nightmares! #truth #wisdom #dreams
Sat Jun 21 10:19:05 PDT 2014 --  There is no cost in being kind, but there is reward. #wisdom #KindnessIsMagic #truth
Sat Jun 21 06:53:00 PDT 2014 --  Don't treat that which is petty as if it were precious.
Sat Jun 14 22:10:53 PDT 2014 --  Our individual potential is immutable, unless we suffer injury.
Wed Jun 04 09:50:41 PDT 2014 --  There is a straight line between right and wrong, and on that line sits a choice. #wisdom #truth
Wed Jun 04 09:39:43 PDT 2014 --  Too many people don't do the right thing unless they know they will succeed. That is not principled living. Just do the right thing. Period.
Wed Jun 04 09:07:01 PDT 2014 --  The most ignorant people are also the ones most likely to think they have nothing to learn. #wisdom #aintthatthetruth #truth
Mon Jun 02 07:52:23 PDT 2014 --  Religious morality is the bedrock of civilization. #morality #wisdom #civilization
Fri May 30 13:27:46 PDT 2014 --  Loneliness can cause a mental block that keeps you from being productive.
Tue May 27 15:07:07 PDT 2014 --  Great thinks mind alike!
Mon May 26 19:13:57 PDT 2014 --  People who spend more time talking ABOUT you than talking WITH you are not your friends. #truth #wisdom #friends #wakeup
Sat May 10 08:35:01 PDT 2014 --  Mother's Day is no more important than Father's Day, but we sure like to pretend that it is. #MothersDay
Thu May 08 18:03:38 PDT 2014 --  Few things in life make me smile more than #BigBangTheory
Wed May 07 21:20:02 PDT 2014 --  The show is over, but the need to perform is not. #TheatreProblems
Sat May 03 20:33:08 PDT 2014 --  In heaven, every day is #FreeComicBookDay !
Mon Apr 14 05:00:13 PDT 2014 --  People will tell you it is important to "reach out". It is. It is also important to reach up and to push back.
Sun Apr 13 20:21:13 PDT 2014 --  Daily, look in the mirror and say (out loud) that you are special and loved. It won't always feel that way, but it will always be true.
Sun Apr 06 09:35:22 PDT 2014 --  Today, Pastor asked, "what is the difference between the major and minor prophets?" I soooo wanted to say, "fifty dollars!"
Sat Mar 22 06:12:18 PDT 2014 --  Pascal's wager. Interesting!
Thu Mar 20 19:38:48 PDT 2014 --  Watching 'All About Eve'--again. Fantastic!
Tue Mar 18 11:38:03 PDT 2014 --  Jesus was VERY unpopular in the church of His day.
Thu Mar 13 21:13:09 PDT 2014 --  People say, "never say never!" And I'm like, dude, you just said it twice!
Fri Mar 07 10:21:15 PST 2014 --  "God sent me to please the people," said no prophet, ever.
Thu Mar 06 22:38:50 PST 2014 --  It is impossible to meet someone halfway if they don't know which way they are going.
Thu Mar 06 22:26:01 PST 2014 --  The unseen shadow of disrespect is envy.
Sun Mar 02 22:26:14 PST 2014 --  LAURA'S DEFINITIONS: Inzombia - sleeplessness caused by fear of attack by the undead @WalkingDead_AMC #Humor
Sun Mar 02 14:58:07 PST 2014 --  Fellow writers, this is great: "We all have only a few beans in our tin to rattle." ~Alan Bennett Brilliant advice for focus/editing!
Sun Mar 02 14:19:50 PST 2014 --  Always leave enough space in your living room for a Type 40 TARDIS. Just in case.
Sun Mar 02 13:36:09 PST 2014 --  If you pray, things will change. If you don't pray, things will change. The difference: what the change will be.
Sat Mar 01 15:36:04 PST 2014 --  Truth endures. All else falls away in time. Understand what truth is, and you will have found eternity.
Tue Feb 25 19:50:37 PST 2014 --  You can lead someone to the light, but you can't make them flip the switch.
Sat Feb 22 16:05:40 PST 2014 --  God calls leaders. If Moses had followed the followers, we would all be worshipping a golden calf.
Fri Feb 14 06:39:35 PST 2014 --  Laura's definitions: when you keep running into the same hot guy you think you met before: deja dude! #language #newwords
Thu Feb 13 18:23:18 PST 2014 --  When you are in a dysfunctional environment, focus your energies on making sure YOU continue to function. #dysfunction
Thu Feb 13 17:29:00 PST 2014 --  Wow! MY DOG CAN TALK! I just got home and asked her how it's going and she said, "ruff!" #dogs
Tue Feb 11 21:35:33 PST 2014 --  God never closes a door........without expecting you to keep it shut. #wisdom
Tue Feb 11 08:57:49 PST 2014 --  A friend is someone who treats you right when you aren't even around. ©2014, Laura Foley
Mon Feb 10 16:49:04 PST 2014 --  If a person tries hard to make you their enemy, you should let them. #wisdom
