Sun Mar 08 05:45:02 PDT 2015 --  Happy Birthday pa! hahaha. https://instagram.com/p/z95lzOGueq/ 
Sun Mar 08 05:07:03 PDT 2015 --  @ Apo View Hotel https://instagram.com/p/z91PmrGuWS/ 
Sun Mar 08 04:53:05 PDT 2015 --  You're the one whose always been there for me. The one who go to my bed waking me up by hugging me… https://instagram.com/p/z9zpQ2muTV/ 
Sat Mar 07 06:54:29 PST 2015 --  Mich@18 With @21enitsirk https://instagram.com/p/z7jnDTmuRl/ 
Tue Mar 03 02:22:08 PST 2015 --  rooftop @ Petpars Bldg https://instagram.com/p/zwxQvfGuUt/ 
Sat Feb 28 08:09:56 PST 2015 --  Belated Happy birthday Molong!! better late than never baya. Hehehe I love you and I… https://instagram.com/p/zpqrfomudK/ 
Sat Feb 28 07:41:43 PST 2015 --  Happy Birthday fheeebeeeoiiink! thank you sa pag invite sa akin. I miss you and Love you. Mwaaah!… https://instagram.com/p/zpnc1XGuWX/ 
Fri Feb 27 02:55:09 PST 2015 --  Bagay baa? Haha Mura jud og erps oyy. Hihi #FeelingNerd @ University of the… https://instagram.com/p/zmh3GEGubI/ 
Tue Feb 24 00:16:02 PST 2015 --  College days #FoamParty@UIC #YesterdayNight @ University Of The Immaculate Conception… https://instagram.com/p/zehRF4muVW/ 
Mon Feb 23 05:42:56 PST 2015 --  UICian really knows how to party. #student'sday #foamparty @ University of the Immaculate… http://instagram.com/p/zch4fOGuS0/ 
Sun Feb 22 18:23:24 PST 2015 --  Hello pows. http://instagram.com/p/zbUHdpmuX8/ 
Wed Feb 18 04:39:49 PST 2015 --  Tulog jud og maayo dong. HAHAHA! #nganga #khim pic.twitter.com/PhgloTC5jM
Sun Feb 15 23:38:30 PST 2015 --  Late Valentine's date with the gang! #dormmates #friends #dinnerdate #sir #maam #miss @ SM City… http://instagram.com/p/zJ2nJHGuQd/ 
Sat Feb 14 19:44:24 PST 2015 --  Girl thing! http://instagram.com/p/zG3BxpGuTr/ 
Sat Feb 14 04:52:10 PST 2015 --  Happy Heart's Day! @ University of the Immaculate Conception http://instagram.com/p/zFQ61AmuWJ/ 
Tue Feb 10 07:10:41 PST 2015 --  Just posted a photo http://instagram.com/p/y7NlzumuUS/ 
Tue Feb 03 02:02:22 PST 2015 --  Hagardo verosaaaa. @ Pet Par's Bldg. http://instagram.com/p/yoovlDmuTr/ 
Wed Jan 28 04:19:30 PST 2015 --  Have faith that you WILL overcome & life will deliver exactly what you desire if you have the courage… http://instagram.com/p/yZbqnOmuVa/ 
Tue Jan 27 22:57:52 PST 2015 --  He told her, “Daughter, your faith has healed you. Go in peace” - Luke 8:48
Wed Jan 28 02:50:51 PST 2015 --  If you have faith when you pray, you will be given whatever you ask for. -Matthew 21:22
Tue Jan 27 03:50:10 PST 2015 --  this was given to us by Sr. FM way back high school days! weeew. #Catechist #Highschooldays http://instagram.com/p/yWzhAmGubW/ 
Sun Jan 25 06:01:56 PST 2015 --  Bukton lang akua. @ Jack's Ridge Resort and Restaurant Davao http://instagram.com/p/yR5AWCGual/ 
Sun Jan 25 06:00:25 PST 2015 --  Bukton. pic.twitter.com/rpZbg638Oh
Sun Jan 25 05:38:58 PST 2015 --  Happy Birthday meg! weew. Legal kana. Hahahha dapat responsible enough kna haa. Basta kahit anung… http://instagram.com/p/yR2YDhGuV-/ 
Sun Jan 25 04:36:30 PST 2015 --  Tired http://instagram.com/p/yRvOinGuZe/ 
Sat Jan 24 06:50:17 PST 2015 --  Smile is the best make-up a girl could ever wear. pic.twitter.com/kmPQkzvlbL
Sat Jan 24 02:36:17 PST 2015 --  @ Pet Par's Bldg. http://instagram.com/p/yO8rIaGuR2/ 
Thu Jan 22 04:47:24 PST 2015 --  Weeeeew! Congrats sa mga ate's and kuya's na nkapasa sa PLE. proud UICian here!
Wed Jan 21 06:15:47 PST 2015 --  Wa mi nagsabot na same ang colors sa among gsuot. With khimmy dora. HAHAHA! #washday #OOTD… http://instagram.com/p/yHnaJwGuTG/ 
Wed Jan 21 01:39:27 PST 2015 --  PE time. @ University of the Immaculate Conception http://instagram.com/p/yHHyPaGudS/ 
Mon Jan 19 05:17:04 PST 2015 --  Another blessing. thank you beeybii! @beyaah17 @ Pet Par's Bldg. http://instagram.com/p/yCXGZZGuXq/ 
Mon Jan 19 04:20:52 PST 2015 --  Weeew. the best talga tong mga dormmates ko baaa. Yieee. Mahal na mahal talga ako. Hahaha salamaat… http://instagram.com/p/yCQq0-GufW/ 
Sun Jan 18 02:06:17 PST 2015 --  @ Abreeza Ayala Mall http://instagram.com/p/x_ceMsGuYB/ 
Fri Jan 16 04:26:18 PST 2015 --  Daw tanga lang eehh noh. Hahahah libre lang lait. pic.twitter.com/oOIsPl8qIW
Fri Jan 16 04:20:36 PST 2015 --  Fridaaay seeelpiii. pic.twitter.com/6K15yRP8EI
Fri Jan 16 04:18:44 PST 2015 --  Tired
Fri Jan 16 03:49:04 PST 2015 --  Friday selfie. Happy weekends folks! #schoolgirl #haggard @ University of the Immaculate… http://instagram.com/p/x6epSRGuV4/ 
