Thu May 21 16:10:47 PDT 2015 --  ياللي تغيب وغيبتك مالهِا أسباب وش ؛ ذنْب قلـب ، مـن فراقك توفَّى إِن كآَن قصدك بس تلعب ب الأعُصِآب أرتـاح ترى الزمن ، كـفـى و / وفـى"
Wed May 20 06:20:19 PDT 2015 --  المريسيل #اكذب_اعلامي_رياضي
Fri May 15 22:06:25 PDT 2015 --  pic.twitter.com/5SxI9ttU3x
Fri May 15 17:34:20 PDT 2015 --  اذا انكك تشجع الفقر #ما_فينا_نكون_اصحاب_اذا
Thu May 07 12:50:19 PDT 2015 --  #النصر_صغير_اسيا للمسياريه هل كرامتك تسمح بتشجيع بيروزي الايراني ضد الهلال؟ ام كالمعتاد لا توجد لديك كرامة اطلع فاصل pic.twitter.com/9meZuU0yVN
Thu May 14 06:27:48 PDT 2015 --  يآ بعيد الدآر ، ليتك جآرنا
Thu May 14 06:27:10 PDT 2015 --  اعوذ بالله من أن اكون شامِتاً فأُبتلى
Wed May 13 07:08:39 PDT 2015 --  #حنا_مطير pic.twitter.com/9RLMZzopWp
Wed May 13 05:08:36 PDT 2015 --  #لجنة_الانضباط وقت ما يعطيكم الشخص الانذار الاخير ما تسوون شي بس وقت ما يكون الضحية الهلال تظهرون من جحوركم ي لجنة النصر اسف لجنة الانضباط
Wed May 13 04:46:00 PDT 2015 --  لجنة الانضباط تغريم محمد الحميداني بسبب التصريح وفيصل بن تركي هذا اخر انذار ولا فيها شي لازم يشوفون حل (للعزبه احمد عيد)) #لجنه_الانضباط
Tue May 12 02:35:33 PDT 2015 --  بالواسطه #بماذا_تشتهر_السعوديه
Sun May 10 14:06:21 PDT 2015 --  #اكشن_يا_دوري | حديث رئيس #الهلال محمد الحميداني بعد لقاء #الهلال و النصر: http://youtu.be/MN6WBqDwbVc 
Sun May 10 14:55:15 PDT 2015 --  لو انك بطل في آسيا وصلت صح لسانك ياصاحبي 🏽️ #الهلال_النصر pic.twitter.com/DFq2ueYxWi
Wed May 06 22:38:51 PDT 2015 --  #النصر_صغير_اسيا هههههههههههههههههههههههههاي pic.twitter.com/twdvLefj8k
