Fri Jul 24 12:28:15 PDT 2015 --  Sneak peek of the prettiest bra ever! #CagedBra pic.twitter.com/tHOKJfxPi2
Fri Jul 24 03:30:56 PDT 2015 --  She's incredible #BodyGoals @PaigeHathaway https://twitter.com/PaigeHathaway/status/624370567718662144 …
Thu Jul 23 13:02:39 PDT 2015 --  Love #DIYSOS full of legends and shows how selfless people can be
Thu Jul 23 10:52:57 PDT 2015 --  She's wicked Alessia Cara - Bad Blood (Taylor Swift cover) - Radio 1's Piano Sessions https://youtu.be/zU-2vudvTSA  via @YouTube
Thu Jul 23 08:01:23 PDT 2015 --  Well done to @ChelseaFC for dishing out life time bans to those %#*$-ers !!!! involved in the racist incident in Paris 🏾 HA!
Wed Jul 22 06:24:15 PDT 2015 --  After last nights convo this made me laugh @chris_a_nichol Thinks I have no tact #JustHonest pic.twitter.com/cUtLlDgz5B
Tue Jul 21 14:21:02 PDT 2015 --  Nothing beats new #Bedding pic.twitter.com/lrjCCxoxDA
Tue Jul 21 14:20:52 PDT 2015 --  Pestering @chris_a_nichol while ordering take out #BANTER #Couple pic.twitter.com/EGsifxUXrH
Tue Jul 21 10:40:15 PDT 2015 --  When you just don't give a shit and would rather have an extra 10 minutes in bed than do your make up #SleepWins pic.twitter.com/9VP4B4jgXQ
Tue Jul 21 06:14:08 PDT 2015 --  Keep fighting jammy <3 ‘Eventing Family’ unites to help injured and sick friends - Horse & Hound http://po.st/6xKQPb  via @horseandhound
Fri Jun 05 14:14:27 PDT 2015 --  State what you want about the world without bashing others. Leave a positive impact
Mon Jul 20 09:10:11 PDT 2015 --  She is just pure #Perfection !! Seriously #GirlCrush #PLL #FaceGoals #BodyGoals https://twitter.com/AshBenzo/status/620655664830910464 …
Mon Jul 20 08:09:29 PDT 2015 --  So I'm meant to have amazing cheekbones!! What the hell happened LOL The Best (and Worst) Bangs for Diamond Faces http://beautyeditor.ca/2014/07/04/best-bangs-for-diamond-face-shape …
Mon Jul 20 07:52:26 PDT 2015 --  Missing my #Ombré hair a littlealot 🏻🏼 pic.twitter.com/APwNUsyyZH
Mon Jul 20 07:34:12 PDT 2015 --  Feeling fortunate that I only had to deal with a couple of arsehole before meeting a great guy. Fuck #SingleLifeDrama And immature #Boys
Mon Jul 20 02:37:01 PDT 2015 --  Last nights #SundayRoast was sooooo tasty #HomeMade apart from the Yorkshire puds left that to Bessie pic.twitter.com/EStub5Nzk6
Sun Jul 19 12:45:48 PDT 2015 --  Our horses live out 24/7 for as long as possible but bought the new addition and mums bear in for some TLC #Horse pic.twitter.com/ekatAaywA0
Sun Jul 19 09:18:31 PDT 2015 --  So hot! just finished doing some cheeky #Shopping think @chris_a_nichol got really into the underwear department haha boys!
Sat Jul 18 08:19:05 PDT 2015 --  Just woke up from an unplanned nap feeling pretty fresh actually. Horsey time
Fri Jul 17 11:53:02 PDT 2015 --  #DateNight and #Celebrating my boyfriends new job cheeky #Selfie had to be done pic.twitter.com/yYJeQ5aTrm
Fri Jul 17 10:49:36 PDT 2015 --  Some things I've been loving the last couple of weeks #Zoeva rose gold brushes #LizEarle cleanse&Polish #Candle pic.twitter.com/C9dK4mC1fw
Fri Jul 17 05:33:06 PDT 2015 --  When the arses at work take your phone without you even realising!! #WellPlayedBoys #Frape #Work #Banter pic.twitter.com/VOx54j4iKQ
Fri Jul 17 05:05:37 PDT 2015 --  What goes on in peoples heads! Police are hunting for knifeman who stabbed another motorist to death http://dailym.ai/1V9u20G  via @MailOnline
Fri Jul 17 03:09:16 PDT 2015 --  When you go to the toilet and realise your pants are on inside out OH TAMARA. @chris_a_nichol You need to start dressing me I think #Useless
Fri Jul 17 02:56:18 PDT 2015 --  Downside of working in an office and not with horses - No mobiles aka life support. Upside a computer with internet...hehehe #OfficePerks
Fri Jul 17 02:36:32 PDT 2015 --  Got a tattoo idea for you @russell_phoebe haha pic.twitter.com/gbVfc3MMSE
Fri Jul 17 01:11:10 PDT 2015 --  Happy #Friday everyone :) pic.twitter.com/zLTErydFY9
Fri Jul 17 00:38:45 PDT 2015 --  She's just flawless #PrettyLittleLiars @AshBenzo https://twitter.com/velvetgh0st/status/621746567469469696 …
Thu Jul 16 12:53:11 PDT 2015 --  That time I went to EDC and #Pouted which is s rarity pic.twitter.com/8NIzSLnMba
Thu Jul 16 12:13:51 PDT 2015 --  Pretty Little Liars #CliffHangerEveryTime #CantTakeIt WHO IS A!!
Thu Jul 16 02:27:27 PDT 2015 --  Mother like daughter #Horses #Family https://instagram.com/p/5MR95JRw9Z/ 
Wed Jul 15 12:17:37 PDT 2015 --  I will always be a country girl #NoCityLifeForMeThanks pic.twitter.com/XMMa298EAu
Wed Jul 15 05:22:24 PDT 2015 --  Don't know why but today I am especially #Buzzing for the #Gym today!! I'm blaming yesterdays #RestDay
Wed Jul 15 02:10:25 PDT 2015 --  I just want to spend all my money on cute #Workout #Clothes
Tue Jul 14 13:07:04 PDT 2015 --  Gunna take my clothes off, get in bed and take a 'sexy' selfie then probably go out after #GiveMeAttention pic.twitter.com/7X3plUV14c
Tue Jul 14 11:27:34 PDT 2015 --  Really fighting the desire to get a sleeve. Ahhhhhh #Tattoo #GirlsWithTattoos #Sleeve
Tue Jul 14 10:21:54 PDT 2015 --  http://www.chinahighlights.com/travelguide/chinese-zodiac/monkey.asp …. I love being a naughty monkey pic.twitter.com/M6mmaqjmcx
Tue Jul 14 09:50:50 PDT 2015 --  If I was a #MrMen I'm as stubborn as a mule!! #LittleMissStubborn https://instagram.com/p/5H4FjVxw41/ 
Mon May 11 20:01:17 PDT 2015 --  truth🏼 pic.twitter.com/ZfJkhYYtt7
Tue Jul 14 05:54:31 PDT 2015 --  Yes! https://twitter.com/BestofGemini/status/620813020516741120 …
