Fri Jan 16 12:56:07 PST 2015 --  Who has a trench coat #CR2015 can borrow? Or a gamer t shirt? Scrubs? Leopard print robe? A cloak? Monkey costume? Police shirt?
Wed Jan 14 17:42:48 PST 2015 --  ?? Did @JoeBalTho skip a grade? pic.twitter.com/4fzhU8VtSO
Wed Jan 14 15:07:40 PST 2015 --  EXEC STAFF: vote for exec staff shirt color! RT for purple, Fav for scarlet grey (this color), & Reply for OU green pic.twitter.com/Tmd2ZDGZKY
Tue Jan 13 15:53:20 PST 2015 --  Hey Exec Staff: if you want exec staff shirts, you need to get that together by Friday! Money gathered, design made, etc
Tue Jan 13 15:50:53 PST 2015 --  Almost that time... #CR2015 pic.twitter.com/0txb1h6aC8
Tue Jan 13 15:47:38 PST 2015 --  Rehearsal this Sunday from 12-2:30! It might be chilly in the theater, so dress appropriately! Please spread the news #CR2015
Tue Jan 13 07:58:06 PST 2015 --  SENIOR GIRLS PRACTICE: Thursday 3:30-5, Friday 3:30-5 mandatory
Tue Jan 13 07:57:17 PST 2015 --  DANCER DANCER PRACTICE: Wednesday 3:30-4:30 mandatory
Tue Jan 13 07:54:52 PST 2015 --  This Week's Senior Boys Schedule: Wednesday: 4:30-6 Thursday: 5-6:30
Tue Jan 13 07:54:02 PST 2015 --  This Week's CougaReview Schedule: Wednesday: 1:30-3:30 Thursday: 1:30-3:30 Friday: 1:30-3:30
Mon Jan 12 17:32:31 PST 2015 --  Rehearsal after school tomorrow - 2:45 to 4:45! We will be working on finale, and need attendance! Remember, t shirt orders are due FRIDAY!
Wed Jan 07 18:38:15 PST 2015 --  Rumor on the street is exams are NOT being pushed back - listen to Dr. Rieger and get some studying done!
Wed Jan 07 13:10:19 PST 2015 --  Spontaneous title change = gotta wait till tomorrow for title announcement
Wed Jan 07 10:19:57 PST 2015 --  Might be releasing the title/logo as soon as @MollyZimmermann sends it to me.. Almost showtime for #CR2015 !
Tue Dec 30 11:10:14 PST 2014 --  The cast and crew of CougaReview is working hard on the show over break! @CougaReview 1st show January 29! pic.twitter.com/jDXR5Fzelj
Tue Dec 30 09:36:59 PST 2014 --  Update: @impulse_photo will be taking headshots on Monday and Wednesday immediately after break!
Mon Dec 29 09:38:49 PST 2014 --  " @pousseyriot: @NicholasSturt is learning at rehearsal @CougaReview http://twitter.com/pousseyriot/status/549619663148421121/photo/1pic.twitter.com/cINcji7r9q " CR = life lessons
Sun Dec 28 15:26:21 PST 2014 --  Reminder: rehearsal tomorrow from 12-2:30! @Eerieshoreboyz @jclark_343 @tfinch54
Fri Dec 19 14:08:50 PST 2014 --  January rehearsal schedule - don't forget, Dec 29 and 30th we are rehearsing! pic.twitter.com/yEKSTxOgUw
Fri Dec 19 11:35:50 PST 2014 --  Oh man, @SHFisch has a Welsh accent now
Wed Dec 10 14:37:52 PST 2014 --  Found this on my iPad @abby_jones04 @Christiee07 pic.twitter.com/375cSYMtgF
Thu Dec 04 16:26:13 PST 2014 --  December rehearsal schedule! Or, as @JohnSchlachter would say - reh schedule pic.twitter.com/lh0TWp7VyW
