Tue Jan 20 18:43:38 PST 2015 --  I'm not a political reporter, but is strategy here to force Republicans to say no to a bunch of popular proposals? #SOTU?
Wed Dec 10 06:02:30 PST 2014 --  Who wants to win a pair of @Bose headphones? RT & Enter to win http://bit.ly/1ysJlTR  pic.twitter.com/UsNdpYjhuM
Sun Dec 07 07:50:14 PST 2014 --  Let's go, #DawgPound! #INDvsCLE
Thu Nov 27 16:00:14 PST 2014 --  iPhone 6 Plus vs. Samsung Galaxy Notes: @Tim_Stevens's final impressions http://cnet.co/1r4MxYx  pic.twitter.com/b0q5whL7OE
Thu Nov 27 16:27:38 PST 2014 --  On this thanksgiving I'm thankful for these @cavs who helped raise me into the diehard I am for the rest of my life pic.twitter.com/OJUOjc4rx4
Thu Nov 27 16:37:15 PST 2014 --  Ahhhh haaaa. Hey @RealSkipBayless, "How 'Bout Dem Cowboys?"
Sat Nov 08 16:46:59 PST 2014 --  Damn it feels good to be a #Browns fan! We're not done yet! RETWEET if you're w/ me!! #PlayoffsOrBust #GoBrowns pic.twitter.com/twgyhLDsZ9
Thu Oct 30 06:02:54 PDT 2014 --  Introducing Microsoft Band https://amp.twimg.com/v/94f6e15d-8aa2-437c-9d20-e4d59165b04d …
Tue Nov 11 09:56:46 PST 2014 --  Nice job Abbey! She hit a new high speed 38.6mph at pitching lessons! http://instagram.com/p/vRCQjZus48/ 
Tue Nov 11 08:29:23 PST 2014 --  Nice job Abbey! She hit a new high speed 38.6mph at pitching lessons! http://instagram.com/p/vRCQjZus48/ 
Thu Nov 06 18:20:50 PST 2014 --  #TNF So much for the "experts" on the pregame show!
Thu Nov 06 17:09:48 PST 2014 --  #TNF Browns
Fri Oct 31 06:46:20 PDT 2014 --  Armour: LeBron James' homecoming bigger than basketball http://a.msn.com/02/en-us/BBc6S2B …
Thu Oct 30 17:50:32 PDT 2014 --  Tonight's HIGHLY-ANTICIPATED intros, for your viewing pleasure... #LiveAtTheQ #AllForCLE https://amp.twimg.com/v/4129efa0-64e0-4036-a37c-854edc1fe87e …
Thu Oct 30 17:20:06 PDT 2014 --  Welcome home, @KingJames. #AllForCLE pic.twitter.com/TgwKkRr0pN
Thu Oct 30 17:22:12 PDT 2014 --  Chills. #AllForCLE RT @CavsFredMcLeod: Everybody tossing Stardust with the King! pic.twitter.com/0sIAtwHYvv
Wed Oct 29 18:00:10 PDT 2014 --  23:00:00 #AllForCLE pic.twitter.com/tZdbE7WkIC
Mon Oct 27 19:55:55 PDT 2014 --  #sportscenter how about those ex-browns qb's?!?!
Sun Oct 26 11:53:15 PDT 2014 --  First #Browns game! Got to meet #Swagger...Go Browns! #DawgPound @ FirstEnergy Stadium http://instagram.com/p/uoGAPEOs6l/ 
Sun Oct 26 11:04:08 PDT 2014 --  #DawgPound, #Browns enjoying a great day at the stadium! pic.twitter.com/tecIki02vz
Sun Oct 19 14:30:01 PDT 2014 --  LOL RT @DustinFox37 Caller just now on post game show “We lost to a team that has a pool in its stadium” #Browns
Sat Oct 04 07:34:34 PDT 2014 --  Just posted a photo http://instagram.com/p/tu-6cjOszi/ 
Thu Oct 02 04:51:44 PDT 2014 --  Four Adam Sandler movies will bypass theatres to appear online on Netflix first http://cnet.co/1vxfLg0  pic.twitter.com/7y0t2Yghxj
Wed Oct 01 09:13:19 PDT 2014 --  . @cavs fans:Here's our brand new court installed at The Q. It's even better in person. Hope you like the CLE skyline pic.twitter.com/36zoaeYpTA
Mon Sep 29 15:08:27 PDT 2014 --  #ddfieldpass. No
Sat Sep 20 05:14:55 PDT 2014 --  Happy birthday @tstanley95 !!! staceyvyas http://instagram.com/p/tKrzW0Oszy/ 
Sun Sep 14 19:33:59 PDT 2014 --  I love my city! #Believeland
Mon Sep 15 13:13:20 PDT 2014 --  Just saw the pictures of Adrian Peterson's sons legs after the "whooping".Look at them before you try to defend it as discipline, not abuse
Sun Sep 14 16:22:30 PDT 2014 --  Terrence West is first rookie RB with at least 90 yards from scrimmage in team’s first two games since Chris Johnson and Matt Forte in 2008.
Thu Aug 28 20:18:28 PDT 2014 --  Won this at the silent auction... Bernie Kosar autographed picture! http://instagram.com/p/sRE6_XOs9k/ 
Thu Aug 28 16:38:32 PDT 2014 --  Five bucks to walk through the parking lot!... Ridiculous! @ FirstEnergy Stadium http://instagram.com/p/sQrwIIOs0d/ 
Thu Aug 28 16:30:58 PDT 2014 --  #DawgPound , #Browns , Enjoying a game with @RonVyas ! pic.twitter.com/1fx1fttY1h
Wed Aug 27 08:16:21 PDT 2014 --  Opportunities multiply as they are seized. -Sun Tzu- http://instagram.com/p/sNNfLts9wV/ 
Wed Aug 27 08:22:15 PDT 2014 --  Race/Off http://on.cc.com/XStvaL  pic.twitter.com/khYsrex4O5
Fri Aug 15 17:17:41 PDT 2014 --  #TribeTown pic.twitter.com/bgfTcWWtdg
Thu Jul 31 17:03:29 PDT 2014 --  Indians just traded Slider because he's due for a raise next year.
