Fri Jul 24 16:21:18 PDT 2015 --  I lot of people on here are brazen on here not because they're tough but because they're bitch made..
Fri Jul 24 02:14:56 PDT 2015 --  Pray that God remove the sin from your life & actually want it to happen.
Fri Jul 24 05:29:30 PDT 2015 --  A new favorite: Shoulda Been There Ft. - B.o.B. by @sevyn https://soundcloud.com/sevyn-4/12-shoulda-been-there-feat-bob … on #SoundCloud
Fri Jul 24 05:24:15 PDT 2015 --  A new favorite: "Shoulda Been There Pt. 1" by @sevyn https://soundcloud.com/sevyn-4/sets/shoulda-been-there-pt-1 … on #SoundCloud
Fri Jul 24 05:13:57 PDT 2015 --  A new favorite: 08. - Boomerang - Feat. - Hit - Boy by @sevyn https://soundcloud.com/sevyn-4/08-boomerang-feat-hit-boy-1 … on #SoundCloud
Fri Jul 24 02:15:39 PDT 2015 --  Why is the chorus of "Mo Money, Mo Problems" playing in my head.
Fri Jul 24 02:01:00 PDT 2015 --  I really do hate being up like this!
Fri Jul 24 01:58:02 PDT 2015 --  The God of the Bible Hates sin & everything about it. That's why He gave us Jesus for all the past sins. Now, we must change from sin life.
Fri Jul 24 01:37:13 PDT 2015 --  I used to Justify sin too! #KnowThis It's not until I began to throughly understand God through His Word that I just Fully submitted to Him.
Fri Jul 24 01:14:25 PDT 2015 --  Y'all can bank on God making exceptions into heaven if you want. My Bible says fornicators will NOT inherit the Kingdom of God. #DontRiskIt
Fri Jul 24 01:09:34 PDT 2015 --  You ever regret dating certain people? Lol what was wrong with me in 2013?! Lol someone should have casted the spirit of deception out of me
Fri Jul 24 01:00:52 PDT 2015 --  Exercise! The more you circulate your blood through your body, the more vibrant you will look. Also, sweating helps detoxify your skin.
Fri Jul 24 00:56:35 PDT 2015 --  Police update: gunman shot 11 people (9 wounded, 2 dead). #Lafayette
Thu Jul 23 18:00:36 PDT 2015 --  You must be honest with yourself and let go of anything that is preventing you from walking in your purpose.
Fri Jul 24 00:52:24 PDT 2015 --  The only un-sinful sex is "Married sex". Anything else is a sin before God & if it is apart of your life your NOT really committed to Him.
Fri Jul 24 00:56:17 PDT 2015 --  My birthday is on Tuesday.
Thu Jul 23 23:03:16 PDT 2015 --  God Heal the Nation Tonight!
Sun Jul 19 14:59:06 PDT 2015 --  Spiritual growth is not going to happen by accident....you must put in the man hours & seek to be closer to God....study the word.
Sun Jul 19 09:28:22 PDT 2015 --  I never wanna be classified as a part time Christian when I serve a full time God.
Sun Jul 19 14:51:51 PDT 2015 --  Trey Songz would be a good worship singer.
Sat Jul 18 15:52:28 PDT 2015 --  I've learned that, if I fail to work on me, I fail.
Sat Jul 18 15:50:23 PDT 2015 --  Most problems we face are rooted in past occurrences and issues we are yet to deal with. Pride won't allow many to admit that though.
Sat Jul 18 09:00:10 PDT 2015 --  Congrats to our winners of the #AllDayBreakfastSweeps contest! @Kofi_Amankwah44 @ever88lasting @mastergunner @chad_ball @bristany
Wed Jul 15 20:05:33 PDT 2015 --  Chicken rotel >>>>>>>
Fri Jul 17 00:43:36 PDT 2015 --  Isn't she lovely https://twitter.com/otis_scream/status/618967644918706176 …
Fri Jul 17 01:00:24 PDT 2015 --  "That Girl" is my favorite Stevie Wonder song...
Thu Jul 16 04:33:43 PDT 2015 --  A new favorite: Until Next Time (ft. K.Agee, Mission, X - Ellentz, & Black Knight) by bkcreationz https://soundcloud.com/bkcreationz/until-next-time-ft-k-agee … on #SoundCloud
Mon Jul 13 08:26:34 PDT 2015 --  Jump rope! It can burn 100 calories in less than 8 minutes! Use 5 min for a warm-up or 20 min for full cardio session
Tue Jul 14 08:26:20 PDT 2015 --  Muffin top burner routine: 1) 30 second plank 2) 25 regular crunches 3) 10 side lunges 4) 25 sit-ups. Repeat 3x
Wed Jul 15 07:05:28 PDT 2015 --  20 burpees, 10 push-ups, 10 lunges each side, 30 bicycle crunches, 60 second plank.
Wed Jul 15 09:52:45 PDT 2015 --  Pro tip: If you hard boil eggs & accidentally mix them with fresh eggs, spin them. Hard boiled eggs spin fast & clean, fresh eggs wobble.
Wed Jul 15 18:28:25 PDT 2015 --  Challenge yourself this year to try 1 new healthy meal each week. Healthy food is not and does not have to be boring.
Thu Jul 16 00:08:28 PDT 2015 --  Morning guys Today is going to be a great day. Claim it! Just change the way you see & react to things today. Let peace and joy reign
Thu Jul 16 03:29:15 PDT 2015 --  Since I couldn't sleep, I decided to clean up a little bit.
Wed Jul 15 20:57:41 PDT 2015 --  ...one nation under God... there are a lot of things taking place there are not approved by God. Just saying.
Wed Jul 15 20:48:26 PDT 2015 --  I was making this dish, & I added the cheese to the dish while the dish was hot. The cheese actually melted.
Wed Jul 15 20:46:58 PDT 2015 --  I did not know parmesan cheese could melt!
Mon Jul 13 18:53:33 PDT 2015 --  That Captain D's was everything!
Tue Jul 14 22:44:44 PDT 2015 --  Dont treat His grace as a sign to keep going. Tomorrow is not guaranteed. Accept His grace & turn to your Father. He's waiting w/ open arms.
Tue Jul 14 22:19:31 PDT 2015 --  Gotta do something for my 24th.. Really ain't did nun major for my last 8 bdays. So hey, I deserve a throwed one this time around
Tue Jul 14 15:22:59 PDT 2015 --  Last year you would have given up but this is the year you stand up to the enemy....No weapon formed against you shall prosper!
Tue Jul 14 12:56:51 PDT 2015 --  Great is HisFaithfulness.
Tue Jul 14 15:19:15 PDT 2015 --  Goliath was a giant in the flesh but David was a giant in the spirit....Trust God to do his good work in you.
Sun Jun 28 21:26:09 PDT 2015 --  Deitrick went to the Awards as somebody auntie! pic.twitter.com/tGN3ajbT0X
Tue Jul 14 00:55:38 PDT 2015 --  91% people skip the first slice of bread, just because it's ugly.
Tue Jul 14 00:10:03 PDT 2015 --  Happy Birthday to me!!!!!
Mon Jul 13 04:07:21 PDT 2015 --  You can chew gum while chopping onions to keep yourself from crying.
Mon Jul 13 04:07:37 PDT 2015 --  Cover us today God!
Mon Jul 13 04:13:05 PDT 2015 --  Late nights & early mornings
Mon Jul 13 04:28:04 PDT 2015 --  Thank you Jesus for allowing me another day. I'm truly blessed.
Mon Jul 13 03:59:28 PDT 2015 --  This cheese & nachos I'm eating right now is total BOMB!
Mon Jul 13 02:32:51 PDT 2015 --  A recent study found that poor kids are more likely to be generous than rich kids.
Mon Jul 13 02:23:26 PDT 2015 --  I broke up with my gym... we were just not working out. . like really.
Sun Jul 12 19:18:37 PDT 2015 --  Watching these ol Law and Order episodes makes me think back to how good these episodes used to be!
Mon Jul 13 00:50:32 PDT 2015 --  Now I want some...
Mon Jul 13 00:45:35 PDT 2015 --  Why Yall up? Yall ain't usually up with me.
Sun Jul 12 23:57:35 PDT 2015 --  https://twitter.com/eauxkayy/status/620486915943325696 …
