Sun Jul 26 12:06:43 PDT 2015 --  Tonight’s the night! Can’t wait to share my journey with you all. #IAmCait premieres at 8e on E!
Sat Jul 25 15:57:59 PDT 2015 --  @danceMoms @lifetimetv @CollinsAveEnt @AETV @DanceMomJill22 @dancemom1313 @Abby_Lee_Miller SHAMEFUL jealous & ugly pic.twitter.com/hf3HA0lATd
Wed Jul 22 21:32:39 PDT 2015 --  @Dianne258 but there is a lot of Abby bs. #sheisabigjoke
Wed Jul 22 17:05:21 PDT 2015 --  Who else would sign a petition to give CADC a show? I would love to see Cathy, her story, and her students!! @Poodletoes1 #TeamCathy
Wed Jul 22 17:00:55 PDT 2015 --  LEAVE JEANETTE WE WANT CATHY!!! #TeamCathy @Poodletoes1
Wed Jul 22 15:45:59 PDT 2015 --  Hey @Poodletoes1 Where've you been? How can it be Candy Apples without you? I love @DanceMoms
Wed Jul 22 09:00:48 PDT 2015 --  "Nothing can dim the #light that #shines from within" ~ #MayaAngelou 🏽 https://instagram.com/p/5ccGefksPd/ 
Wed Jul 22 10:08:04 PDT 2015 --  @Abby_Lee_Miller @DanceMoms @lifetimetv @DanceMomHolly @dancemom1313 Hey, ABS, Cathy took 1st in duo/trio choreo too pic.twitter.com/1KX1ljZUFU
Tue Jul 21 05:47:07 PDT 2015 --  @maddieziegler clearly said "don't" watch dance moms during interview. Loyalty? Few successes gone to head? Never bite hand that feeds you
Tue Jul 21 07:27:28 PDT 2015 --  You can pre-order @realniasioux 's new single featuring @TheRealCocoJ over on amazon now! http://bit.ly/NiaSlayAma  pic.twitter.com/HxD421vx9w
Tue Jul 21 07:50:16 PDT 2015 --  My #CandiesStyleIcon vote goes to @chloedancer3 She's my favorite national champion & trend setter. pic.twitter.com/qbPvO21ekf
Tue Jul 21 08:07:15 PDT 2015 --  New MUSIC video is up Yall! IM SO EXCITED FOR ALL OF YOU TO SEE IT! 󾬑 share this post with all your friends! Much... http://fb.me/4g9nzuIyo 
Tue Jul 21 09:14:23 PDT 2015 --  I just voted for #TeenChoice 2015 winners! Vote for your faves & more at http://teenchoice.com !
Mon Jul 20 23:21:47 PDT 2015 --  My #TeenChoice for #ChoiceDancer is @chloedancer3! http://www.teenchoice.com/article/wave-2-nominees?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text …
Mon Jul 20 06:18:01 PDT 2015 --  @chloedancer3 @bethwill83 Congrats on nationals Chloe!!!! EXCELLENCE #NationalChamps #Studio19 #ItsAllTheRage
Mon Jul 20 20:53:13 PDT 2015 --  @Abby_Lee_Miller @DanceMoms @Dancemomchristi @Poodletoes1 While Cathy & Chloe are busy winning, Abby has her girls... pic.twitter.com/kh3KCZbo0X
Sun Jul 19 18:34:59 PDT 2015 --  Missed you @Poodletoes1, not truly Candy Apples without you. Weird and confusing
Sun Jul 19 18:53:51 PDT 2015 --  This is the daughter of one of the circle. Please watch her show!!!! https://twitter.com/gcbec8/status/622825575745372160 …
Sun Jul 19 19:15:27 PDT 2015 --  @Poodletoes1 @11BostonGirl We DEFINITELY need Cathy to have her own show
Sun Jul 19 10:28:19 PDT 2015 --  @TeenChoiceFOX My #ChoiceDancer is @chloedancer3 because she's so talented and she deserves it more than anybody pic.twitter.com/tkWVafCJUA
