Tue Aug 18 14:26:34 PDT 2015 --  Cuando vamos ganando aunque las directioners estén ayudando a 5h #ShesKindaHotVMA pic.twitter.com/9ZA2Jgt5VX
Thu Aug 20 06:04:54 PDT 2015 --  Directioners will always be here for you 5SOS fam. #WeLoveYouMichael #ShesKindaHotVMA #MTVHottest One Direction pic.twitter.com/nLugsi9bah
Tue Aug 18 15:11:49 PDT 2015 --  estoy viendo que hay Directioners votando así estoy: #ShesKindaHotVMA pic.twitter.com/GVYY45YvQu
Mon Aug 24 17:52:39 PDT 2015 --  Yo mirando nuestro esfuerzo!! #ShesKindaHotVMA pic.twitter.com/V5JbaWdpPQ
Mon Aug 24 17:53:39 PDT 2015 --  me fui a tirar de un puente #ShesKindaHotVMA pic.twitter.com/4pd4ugRkd0
Mon Aug 24 17:54:20 PDT 2015 --  ¿Por qué tiene que crecer tan rápido? #ShesKindaHotVMA pic.twitter.com/Yl5V9wDwk4
Mon Aug 24 17:54:01 PDT 2015 --  when 5sos announce new merch and you're like #ShesKindaHotVMA pic.twitter.com/XRb1yXlZrN
Mon Aug 24 17:43:51 PDT 2015 --  Proyecto de @5SOSLatinSquad ¡Da RT para que todos se enteren! Hora Panamá: 4:30 pm pic.twitter.com/9RfiozXCek
Mon Aug 24 17:51:43 PDT 2015 --  CHICAS PENDIENTES!!! https://twitter.com/Panama5SOS/status/635975844394090496 …
Mon Aug 24 17:47:53 PDT 2015 --  NADIE PASA DE ESTA ESQUINA, AQUÍ MANDAN LAS DIVINAS PORQUE SOMOS GASOLINA, GASOLINA DE VERDAD #ShesKindaHotVMA -M"X" pic.twitter.com/Qm7bkNm2hZ
Mon Aug 24 16:47:48 PDT 2015 --  doing a twitter q&a tomorrow at 5.30 et !! if you wanna ask a question, tweet with #ask5sos pic.twitter.com/0l5iQOMOhM
Mon Aug 24 17:32:02 PDT 2015 --  no las echamos al hombro hoy, no? #ShesKindaHotVMA pic.twitter.com/U7vPkW3i44
Mon Aug 24 17:39:05 PDT 2015 --  No entiendo como diablos saltan tan alto #ShesKindaHotVMA pic.twitter.com/D7hIyK2YT8
Mon Aug 24 17:22:11 PDT 2015 --  What you think guys? #ShesKindaHotVMA pic.twitter.com/YWF5scyz0L
Mon Aug 24 17:28:10 PDT 2015 --  Esto, pues... ES HERMOSO:') #ShesKindaHotVMA -M"x" pic.twitter.com/wjiuy1MDUz
Mon Aug 24 15:52:22 PDT 2015 --  RT for Luke! #ShesKindaHotVMA pic.twitter.com/CMQ8YJMfgz
Mon Aug 24 09:41:51 PDT 2015 --  @5SOS @Luke5SOS It's so hard to get to you..'cause When you see The sun, i see The moon! #ShesKindaHotVMA pic.twitter.com/hcCx9Euj7O
Sun Aug 23 22:02:46 PDT 2015 --  DONT MAKE ME LEAVE pic.twitter.com/bPP3dpZXCO
Sun Aug 23 19:40:43 PDT 2015 --  #ShesKindaHotVMA person: what's your favorite 5sos song? me: pic.twitter.com/GFYl23L7vY
Sun Aug 23 11:22:16 PDT 2015 --  1st time @5SOS @Calum5SOS @Ashton5SOS @Luke5SOS @Michael5SOS heard #ShesKindaHot on was @SiriusXMHits1 #5SOSonHits1 pic.twitter.com/HwV4Jw6KD0
Sun Aug 23 16:42:48 PDT 2015 --  Tears. #ShesKindaHotVMA https://vine.co/v/epxmKaWwpli 
Sun Aug 23 16:39:04 PDT 2015 --  Turn hate into love
Sun Aug 23 08:35:32 PDT 2015 --  This is still one of the cutest things Nash has ever done with a fan https://vine.co/v/eZMFAjqKhHw 
Sun Aug 23 15:30:24 PDT 2015 --  @Tha5SOSFamily When you know that we're 263K votes ahead #ShesKindaHotVMA https://vine.co/v/eDEUi103pYu 
Sun Aug 23 15:23:19 PDT 2015 --  Same pic.twitter.com/Ug7TSTMsiH
Sun Aug 23 15:56:24 PDT 2015 --  Amo esta imagen #ShesKindaHotVMA pic.twitter.com/Dfb3C0mW6f
Sun Aug 23 00:21:38 PDT 2015 --  Owner of a lonely heart
Sat Aug 22 23:44:34 PDT 2015 --  There are no words to describe how wholeheartedly I am in love with music. No matter what mood I am, music affects me in a positive way.
Mon Aug 17 12:03:22 PDT 2015 --  JAJAJAJAJAJA #MTVHottest 5 Seconds Of Summer -M pic.twitter.com/hJlgJX2AAj
Tue Aug 18 20:04:18 PDT 2015 --  Throw to my fan art a few months ago/mi creación hace unos meses atrás que les parece? #ShesKindaHotVMA @5SOS .F pic.twitter.com/shqXkFwSko
Thu Aug 20 12:05:21 PDT 2015 --  QUIERO LLORAAAAAAR -M pic.twitter.com/hQVmCEQfVR
Thu Aug 20 20:21:38 PDT 2015 --  Cuantos Rt por Calum? Calum girls? #ShesKindaHotVMA pic.twitter.com/5eiXQ1IVRx
Thu Aug 20 21:04:13 PDT 2015 --  Porque gorda fan se nace, MUKE ES VIDA. #ShesKindaHotVMA pic.twitter.com/sI8j6QFjxp
Sat Aug 22 14:37:09 PDT 2015 --  @5SOSLA_NOTICIAS este lo presumire toda mi life #ShesKindaHotVMA pic.twitter.com/JUgjgvjLcd
Sat Aug 22 14:38:53 PDT 2015 --  Me encantan -M pic.twitter.com/mxpCPEtOaW
Sat Aug 22 14:38:57 PDT 2015 --  -Malu #ShesKindaHotVMA pic.twitter.com/uFlWiZVRxo
Sat Aug 22 14:41:56 PDT 2015 --  Asdfghj -Malu #ShesKindaHotVMA pic.twitter.com/XPfW9XCPpV
Sat Aug 22 13:37:22 PDT 2015 --  'Give me your best awkward smile' pic.twitter.com/LxvTXUmrOr
Sat Aug 22 12:35:47 PDT 2015 --  Calum playing the drums and repping @State_Champs at #ROWYSOCleveland pic.twitter.com/Xnetz8GYXm
Fri Aug 21 16:46:58 PDT 2015 --  "Our fans are the best, look they've given us a huge lead!" #ShesKindaHotVMA pic.twitter.com/A9p4gULGIG
Sat Aug 22 06:10:09 PDT 2015 --  SHE'S SO ADORABLE http://vine.co/v/eDmDbmx1bVh 
Fri Aug 21 20:38:11 PDT 2015 --  WE HAVE A TOUR DOG pic.twitter.com/TCNTCAaKY7
Mon Jun 16 19:06:28 PDT 2014 --  RT if you remember this photo pic.twitter.com/jnAUMJwTAq
