Thu Aug 06 10:32:36 PDT 2015 --  I've harvested 898 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Thu Aug 06 09:54:56 PDT 2015 --  I've collected 10,918 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Thu Aug 06 08:55:41 PDT 2015 --  I have Museum on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Thu Aug 06 08:38:11 PDT 2015 --  I've harvested 1,210 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Thu Aug 06 08:37:57 PDT 2015 --  I've collected 7,387 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Thu Aug 06 08:36:28 PDT 2015 --  I have Pig Farm on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Thu Aug 06 07:36:13 PDT 2015 --  I've harvested 502 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Thu Aug 06 07:36:13 PDT 2015 --  I've collected 3,522 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Thu Aug 06 06:13:53 PDT 2015 --  I've harvested 1,169 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Thu Aug 06 04:45:35 PDT 2015 --  I've collected 10,009 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Thu Aug 06 04:36:46 PDT 2015 --  I've collected 11,697 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Thu Aug 06 04:33:46 PDT 2015 --  I've harvested 1,205 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 05 15:33:41 PDT 2015 --  I've collected 10,522 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 05 15:32:13 PDT 2015 --  I've collected 10,166 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 05 15:30:43 PDT 2015 --  I've harvested 1,042 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 05 15:29:58 PDT 2015 --  I have Cottage on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 05 09:46:09 PDT 2015 --  I've collected 11,502 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 05 09:44:54 PDT 2015 --  I've harvested 1,070 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 05 07:54:06 PDT 2015 --  I'm playing WordBrain and I've just reached brain size 1536! #WordBrain #words
Wed Aug 05 07:24:39 PDT 2015 --  I've collected 10,007 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 05 07:20:36 PDT 2015 --  I have Trampoline on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 05 06:43:19 PDT 2015 --  I've harvested 1,083 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 05 05:06:11 PDT 2015 --  I've harvested 852 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 05 04:49:23 PDT 2015 --  I have Expensive House on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 05 04:45:28 PDT 2015 --  I've collected 9,442 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 05 04:45:28 PDT 2015 --  I've harvested 417 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 05 04:12:38 PDT 2015 --  I have Pot with Punch on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 05 03:21:08 PDT 2015 --  I've harvested 1,084 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 04 11:18:45 PDT 2015 --  I've collected 10,472 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 04 09:57:33 PDT 2015 --  I've harvested 1,042 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 04 09:55:06 PDT 2015 --  I've collected 10,687 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 04 09:53:16 PDT 2015 --  I have School on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 04 06:13:12 PDT 2015 --  “My family is the first and most important thing in my life. They are my everyday, my absolute happiness.” — Nena Fidalgo López
Tue Aug 04 04:36:01 PDT 2015 --  Enter the Runway Your Way Sweeps for a chance to win a trip for 2 to NYC for the Project Runway Finale! http://bit.ly/1g4596e 
Mon Aug 03 19:45:09 PDT 2015 --  I've harvested 305 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 19:44:31 PDT 2015 --  I have Cottage on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 19:44:17 PDT 2015 --  I've harvested 115 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 19:44:17 PDT 2015 --  I've collected 14,490 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 19:43:57 PDT 2015 --  I've collected 6,255 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 15:37:49 PDT 2015 --  I've harvested 1,109 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 12:18:28 PDT 2015 --  I've collected 6,002 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 12:17:09 PDT 2015 --  I've collected 2,173 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 11:12:46 PDT 2015 --  I've harvested 75 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 11:10:11 PDT 2015 --  I have Trading Post on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 11:05:28 PDT 2015 --  I've collected 807 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 11:03:36 PDT 2015 --  I've harvested 1,017 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 03 10:59:45 PDT 2015 --  I've collected 10,873 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
