Mon Nov 24 21:03:17 PST 2014 --  Satu satunya perbezaan awak dengan anjing adalah dari segi ejaannya. Yang lain semua serupa.
Sat Dec 06 07:30:47 PST 2014 --  Sahabat dengan kawan lain. Sahabat yang ada selalu dengan kau. Bahan kau. Kutuk kau and kau tak pernah terasa dengan kutukan dia. Tu sahabat
Wed Nov 05 07:27:14 PST 2014 --  "Dulu kita rapat sangat,terlampau rapat".Tapi sekarang?dah macam tak kenal antara satu sama lain."Aku dah agak benda ini akan berlaku" 
Sun Dec 14 17:14:11 PST 2014 --  " @mhmdhnf_: "Sebenarnya saya suka awak" *bluetick* *online* *last seen* *You have been blocked by this user* #AyatRejectKejam"
Sun Dec 14 08:25:18 PST 2014 --  "Hey there i love you" "You talking to me ? I ingat lalat mana lah tadi" #AyatRejectKejam
Sun Dec 14 08:09:09 PST 2014 --  "hai awak. Sayaaa......" "You have been blocked by this user." #AyatRejectKejam melampau.
Sun Dec 14 08:04:17 PST 2014 --  "Do you love me?" "Yes baby. I love you" "You love me more than your kpop idols?" "Hell no!" #AyatRejectKejam
Thu Sep 11 06:39:44 PDT 2014 --  "Saya berjaya ubah Malaysia, tapi saya gagal ubah pemikiran Melayu" - Tun Dr.Mahathir Mohamad pic.twitter.com/xXdBGYVcH5
Sun Dec 14 07:43:05 PST 2014 --  " i love you ! " " aww i love you too " " ehh sorry sorry salah send " #AyatRejectKejam
Sun Dec 14 06:10:27 PST 2014 --  "Awak jum kahwin?" "Because rejecting is too mainstream, saya terima" "Yeayyy! Thanks" "Gurau je laa bodooo" #AyatRejectKejam
Sun Dec 14 18:20:01 PST 2014 --  " @myaameow: "Saya suka awak" "Kita akhiri hubungan kita dengan tasbih kafarah dan suratul Asr" #AyatRejectKejam #yizlumik #sissolehah"
Tue Sep 02 06:17:39 PDT 2014 --  '' Bila dapat tahu yang bestfriend kita pergi lepak tak ajak kita dan kita pun cakap dalam hati .. pic.twitter.com/viT3MQh9fs
