Tue Jul 21 23:45:17 PDT 2015 --  My little brother #wednesday #6Syawal https://instagram.com/p/5bb7RpO2UX/ 
Thu Jul 16 05:31:53 PDT 2015 --  "Apabila jarak jadi penghalang. Doa jadi penghubung antara kita."
Thu Jul 16 05:59:42 PDT 2015 --  Sebaknya rsa dgr takbir raya.
Mon Jul 13 21:19:00 PDT 2015 --  Duit Raya should be for students 18 & above studying outside of their hometown because they need it more than cute chubby babies.
Fri Jul 10 21:28:54 PDT 2015 --  Pergi kelas pakai cantik bukan semata-mata nak cari boyfriend duh. Pemakaian tu melambangkan diri. Kau pakai serabai, kau jenis serabai la.
Sun Jul 12 06:30:26 PDT 2015 --  yes pic.twitter.com/407bxu9drG
Sat Jul 11 23:04:02 PDT 2015 --  Jgn marah if parent bnyk tnya pasal komputer / anything berkaitan teknologi. Dulu kita pun bangang guna sudu pun tak reti, mereka yg ajar.
Sat Jul 11 05:19:33 PDT 2015 --  Running man ep 254 terbaik!
Sat Jul 11 04:11:45 PDT 2015 --  @farahlee94 dah p dengaq ceramah ka sis hahaha gudluck
Sat Jul 11 02:29:59 PDT 2015 --  "Mak mana yang tak sayangkan anak, cuma anak je yang tak pernah nak hargai mak"
Sat Jul 11 03:27:10 PDT 2015 --  Skrang bru dpt rsa perasaan org yg cacat penglihatan ni. Even aku yg rabun ni pon dok terkapai2 kalau cermin mata hilang. #syukur
Sat Jul 11 03:23:44 PDT 2015 --  I hate those pills.
Tue Nov 18 04:06:02 PST 2014 --  Tolong menolongs. RT pic.twitter.com/QjzcOxRbB9
Fri Jul 10 22:52:07 PDT 2015 --  Tak sangkanya dpt jumpa ng kwn waktu matrik. Rindunyaa.
Fri Jul 10 22:06:44 PDT 2015 --  Typical malay: 'Jgn masuk matrik,belajar laju' 'Jgn ambik asasi susah catch up' 'Jgn ambik diploma,lambat' Letakkan keyakinan pd Tuhan gais
Fri Jul 10 22:06:39 PDT 2015 --  Penatnyaaa . Rsa nk demam pon ada. Hmm
Fri Jul 10 17:54:00 PDT 2015 --  Watermelon can help relieve stress and anxiety, as well as keep you energized and boost your metabolism!
Fri Jul 10 18:15:32 PDT 2015 --  "sahur kejut tau" "ah semalam aku dah buka lampu, tak bangun pun." "Ciottt, kau ingat aku photosynthesis"
Fri Jul 10 17:11:28 PDT 2015 --  Tak start lgi dh nntok ni. Mcm mna la nk hadapi lgi 8 jam.
Fri Jul 10 17:06:58 PDT 2015 --  Pagi2 dh kena pegi dgr lecture.
Fri Jul 10 07:43:37 PDT 2015 --  "Kalau rindu, tembak dengan doa"
Fri Jul 10 01:38:47 PDT 2015 --  Raya pertama nikmatnya 3jam pertama je. Solat raya,makan rendang,mintak maaf sesama ahli keluarga. Masuk pukul 2 semua terbongkang dek panas
Fri Jul 10 05:09:15 PDT 2015 --  True https://twitter.com/jangan_bash/status/619398550858829824 …
Fri Jul 10 05:07:16 PDT 2015 --  Not feeling well
Thu Jul 09 22:09:27 PDT 2015 --  Allahumma solli wasallim 'ala Sayyidina Muhammad wa'ala aalihi wasohbihi wasallim.
Wed Jul 08 02:53:31 PDT 2015 --  Jangan lupa keluarga walau jauh mana kau berjaya dalam hidup. Kau sedarah bersebab.
Tue Jul 07 05:59:26 PDT 2015 --  Bila ada orang puji. Ucaplah “hadza min fadhli Rabbi” Maksudnya “Semua ini kurniaan dari Tuhanku” Kembalikan semua pujian kepada Allah
Fri Jul 03 22:31:59 PDT 2015 --  Tiada manusia sempurna kecuali Rasulullah saw. Jangan sesekali pandang hina pada orang lain. Mungkin dia mulia di sisi Tuhan dan kau tidak.
Fri Jul 03 08:24:42 PDT 2015 --  "Bukan senang nak jaga hati perempuan, lelaki yang betul² penyabar je boleh"
Thu Jul 02 04:45:11 PDT 2015 --  Sushi is Bae pic.twitter.com/58ZKg7Zq0M
Mon Jun 29 23:14:09 PDT 2015 --  "Dah besar panjang xyah duit raya lagi" Kitaorg students need the money more than the kids makcik /pak cik
Mon Jun 29 23:35:28 PDT 2015 --  Bestnya bila puasa kat rumah ni bila ibu tnya "hari ni berbuka nk mkn apa?"
Mon Jun 29 21:32:24 PDT 2015 --  Layan ketuk2 ramadhan.
Mon Jun 29 06:52:24 PDT 2015 --  @farahlee94 @tehahahmad94 jumpa lg 2 bulan! hihi gonna miss you too. jaga diri baik2. balik kedah jgn lupa diri ok ahaha muah!
Mon Jun 29 06:15:04 PDT 2015 --  Tak sabaq nk smpai kedah.
Mon Jun 29 06:14:24 PDT 2015 --  Dh mula rindu kt kak mai ng tehah. Huhu. @mairuzasmara @tehahahmad94
Sun Jun 28 21:04:49 PDT 2015 --  Otak dh tepu.
Fri Jun 26 00:20:49 PDT 2015 --  I want them all pic.twitter.com/xZu2Q8xhcX
Sun Jun 28 15:11:00 PDT 2015 --  The ka'bah never loses its beauty no matter how many times you look at it pic.twitter.com/X6ixul42H2
Sat Jun 27 03:53:51 PDT 2015 --  gastrik = 1/2 senggugut. senggugut = 1/2 bersalin. bersalin = 1/2 mati. PEREMPUAN.
Sun Jun 28 19:43:50 PDT 2015 --  Please.. can't stand anymore.
