Tue Nov 11 06:46:06 PST 2014 --  This guy at the airport keeps repeating "my shoes are so comfy". I wish my shoes were that comfy.
Tue Nov 11 06:48:33 PST 2014 --  Thank you so much for winning 3 EMA's the other night in Glasgow! You guys are incredible, love you
Fri Nov 07 17:42:23 PST 2014 --  This is so amazing! @NiallOfficial @zaynmalik @Louis_Tomlinson @Real_Liam_Payne @Harry_Styles #EMABiggestFans1D pic.twitter.com/g8aD7xx2M0
Fri Nov 07 17:40:17 PST 2014 --  Omg you guys are so perfect @Louis_Tomlinson #EMABiggestFans1D pic.twitter.com/n1R8tZBmWx
Fri Nov 07 03:00:34 PST 2014 --  -night changes video -ready to run today -livrstream on sunday -FOUR in november 17 #EMABiggestFans1D pic.twitter.com/N8Rk3KU9sp
Fri Nov 07 03:12:21 PST 2014 --  RT if you are proud Ignore if you not #EMABiggestFans1D pic.twitter.com/HpdIv8f1BE
Sun Nov 02 19:02:29 PST 2014 --  So if you start 2 sing @pewdiepie "Senpai Suck My Ass" in public people think you have mental issues. Idk why its a perfectly normal song
Thu Oct 30 13:35:25 PDT 2014 --  I made a song. Who wants to hear it? pic.twitter.com/q5KzspF9hD
Fri Oct 31 10:09:19 PDT 2014 --  Who's ready for senpai to suck your ass?
Fri Oct 31 10:30:07 PDT 2014 --  https://www.youtube.com/watch?v=IPGHrgHWO7s … RT for Senpai?
Sat Nov 01 13:13:03 PDT 2014 --  Send this to someone that you want to suck your ass: https://www.youtube.com/watch?v=IPGHrgHWO7s …
Sun Nov 02 07:25:23 PST 2014 --  My senpai suck my ass video got "flagged for misleading" I don't know what did people expect from a title like that anyway?
Sun Nov 02 16:59:18 PST 2014 --  Remember to love yourself. Because no one else sure as hell won't, you loser. #inspirational
Sun Nov 02 18:11:24 PST 2014 --  the original thots pic.twitter.com/mBJsVKH7KU
Thu Oct 30 13:44:44 PDT 2014 --  Fun fact @AtomicMari isnt wearing any pants in today's episode of Grand Theft Smosh http://youtu.be/eoJZ7gKtq2s 
Thu Oct 30 14:44:42 PDT 2014 --  Halloween costume, check! pic.twitter.com/CMbyGLFr1j
Thu Oct 30 07:48:22 PDT 2014 --  This kid committed suicide and jumped into the Detroit river a few days ago and left clues. Saddest thing I've seen pic.twitter.com/gAwrHfa0OH
Thu Oct 30 15:56:27 PDT 2014 --  MAMA WE ALL GO TO HELL pic.twitter.com/CyLQnEaN2O
Thu Oct 30 13:24:13 PDT 2014 --  Gonna chat in the comments for a bit while wolf is napping! =D Dont for get to give it a LIKE! https://www.youtube.com/watch?v=VavQavKTGMs …
Thu Oct 30 08:05:13 PDT 2014 --  British Fashion Council acaba de publicar esta foto de Harry en su Instagram pic.twitter.com/GepJhcxUsZ
Mon Oct 20 15:50:05 PDT 2014 --  http://www.wattpad.com/story/25002723-where-demons-hide-a-multiple-fandom-fanfiction … So here's a fanfiction I am writing on Wattpad. It's probably really bad, but I'll share it anyway.
Sat Oct 25 18:28:41 PDT 2014 --  "Where Demons Hide (A Multiple Fandom Fanfiction)" on #wattpad #Romance #Fanfiction #Watty2014 http://w.tt/1w6wyZR  pic.twitter.com/DInFfW1Lmz
Thu Oct 30 10:55:00 PDT 2014 --  Shame about the record guys, you worked so hard and you’re still the best fans in the world!
Tue Oct 28 15:27:18 PDT 2014 --  Chat with me on #chatous! Add me @person32
Mon Oct 27 14:31:44 PDT 2014 --  thank you so much for breaking the #VEVORecord , insane amount of views! You guys are the best !
Mon Oct 27 05:43:44 PDT 2014 --  You legends broke the @Vevo record for the most views in 24 hours with the Steal My Girl video. Legends. Thank you http://vevo.ly/aApMs2 
Fri Oct 24 12:02:52 PDT 2014 --  OMG yay!! Lol HAPPY BIRTHDAY @pewdiepie You are our amazing bro leader!! *brofist* #happybirthdaypewds
Thu Oct 23 12:24:23 PDT 2014 --  I really need August to come very fast!! @Harry_Styles @Real_Liam_Payne @Louis_Tomlinson @NiallOfficial @zaynmalik pic.twitter.com/ABD8HSc1R3
Tue Oct 21 02:47:54 PDT 2014 --  Thank you to everyone who got steal my girl, you're all siiiiiick. Hope you like it, all the love .x
Thu Oct 23 11:24:14 PDT 2014 --  Adding more dates to On The Road Again tour. Thank you, we wouldn’t be able to do this without your constant support!
Thu Oct 23 09:42:48 PDT 2014 --  Had a dream I was hanging out with @olobersyko and we shared stories about how we used to be emo kids. Weird shit.
Mon Oct 20 12:27:41 PDT 2014 --  Most normal people come home from school and eat or sleep. I watch @tyleroakley for three hours straight while eating random junk food.
Mon Oct 13 20:29:07 PDT 2014 --  #EMABiggestFans1D pic.twitter.com/PtSbcXuVGj
Mon Oct 13 20:29:06 PDT 2014 --  #EMABiggestFans1D pic.twitter.com/C8nlSSEl3y
Mon Oct 13 20:28:42 PDT 2014 --  #EMABiggestFans1D pic.twitter.com/VOAqkIMkVf
Mon Oct 13 18:04:41 PDT 2014 --  #EMABiggestFans1D pic.twitter.com/iKi7H4pqM5
Mon Oct 13 18:03:52 PDT 2014 --  #EMABiggestFans1D pic.twitter.com/eTy3SOWzLZ
Sun Oct 12 03:35:40 PDT 2014 --  Steal My Girl is out everywhere now. If you would like it, you can have it.. If you don't, reconsider. http://smarturl.it/1DStealMyGirliT 
Sun Oct 12 08:04:27 PDT 2014 --  https://www.youtube.com/watch?v=IHHb4XIcu5M … Stay for the booty! pic.twitter.com/NojHWuTeXd
Sat Oct 11 18:18:59 PDT 2014 --  Hope you all are having a positive, safe, and supportive National Coming Out Day. I'm thinking of you. Show your support to someone today.
Sat Oct 11 18:50:54 PDT 2014 --  MTV EMA | Vote - http://tv.mtvema.com/vote?category=biggest-fans … #EMABiggestFans1D
Sat Oct 11 10:35:41 PDT 2014 --  #EMAsBiggestFansOneDirection pic.twitter.com/VjxCsTTfYn
Sat Oct 11 09:46:10 PDT 2014 --  Retweet if u have no bae
Tue Oct 07 09:02:01 PDT 2014 --  No seriously, seriously. #Ew! @jimmyfallon @iamwill http://tw.itunes.com/6019UcWD  pic.twitter.com/31oU2c7pHy
Mon Sep 08 12:36:08 PDT 2014 --  Nobody knows you baby the wayyyyyy iiii dooooo
Sun Sep 28 22:57:16 PDT 2014 --  Bae
Mon Sep 29 17:49:49 PDT 2014 --  IPHONE 6 TESTIFICATION https://www.youtube.com/watch?v=VXXFS2ZTauk&index=130&list=PLz9qcY9C1aHqaUsX0XglvG3lnxOV-Zhd2 …
Mon Sep 29 18:10:57 PDT 2014 --  I had a good day today, did you, I hope so, Good morrow America tomorrow, epic excitement xx
Mon Sep 29 11:24:57 PDT 2014 --  Good girls are bad girls that haven't been caught pic.twitter.com/sJvs6VrZDV
Mon Sep 08 12:28:17 PDT 2014 --  You could WIN 4 VIP Tickets to a meet and greet with the band! Enter NOW and every day! http://bit.ly/1jBHHvn 
Mon Sep 08 11:50:40 PDT 2014 --  Are you a 1D expert? You could WIN 4 VIP Tickets to a meet and greet with the band! Enter NOW and every day! http://bit.ly/1jBHHvn 
Sun Sep 07 11:22:31 PDT 2014 --  You could WIN 4 VIP Tickets to a meet and greet with the band! Enter NOW and every day! http://bit.ly/1jBHHvn 
Sun Sep 07 11:18:21 PDT 2014 --  Are you a 1D expert? You could WIN 4 VIP Tickets to a meet and greet with the band! Enter NOW and every day! http://bit.ly/1jBHHvn 
Sat Sep 06 07:58:08 PDT 2014 --  Are you a 1D expert? You could WIN 4 VIP Tickets to a meet and greet with the band! Enter NOW and every day! http://bit.ly/1jBHHvn 
Fri Sep 05 12:04:59 PDT 2014 --  Are you a 1D expert? You could WIN 4 VIP Tickets to a meet and greet with the band! Enter NOW and every day! http://bit.ly/1jBHHvn 
Thu Sep 04 16:32:31 PDT 2014 --  Are you a 1D expert? You could WIN 4 VIP Tickets to a meet and greet with the band! Enter NOW and every day! http://bit.ly/1jBHHvn 
Thu Apr 17 13:38:01 PDT 2014 --  these things never had my name pic.twitter.com/CuMjOFxIdl
Thu Apr 17 15:07:34 PDT 2014 --  26 million brocaderos!
Fri Apr 11 16:39:34 PDT 2014 --  This is how I spend my friday! @SmoshIan @smoshanthony #tomahawkchop pic.twitter.com/SB4w0HbNcp
Sat Dec 28 12:13:01 PST 2013 --  My 55 year old grandma just said tmi!! Lol
Tue Dec 17 16:52:47 PST 2013 --  pic.twitter.com/LiF3bHPAPq
Tue Dec 17 16:02:05 PST 2013 --  Oh and I know theres no H but its a joke with me friends and I
Tue Dec 17 16:00:33 PST 2013 --  Lol!! My friend made this for me! I love it! @smosh pic.twitter.com/W3GyeVtSub
