Wed Aug 19 13:37:07 PDT 2015 --  holy shit can't believe we're in the lead for the #ShesKindaHotVMA thank you all for voting it means buttloads to us! thank you again!
Tue Aug 18 11:26:45 PDT 2015 --  'Oh you smell good. Can I... Smell you?'
Wed Aug 19 06:30:02 PDT 2015 --  . @mariasherm recounts what it's like hitting up a private @5SOS gig in an airplane hangar: http://on.fuse.tv/1PkLKK4  pic.twitter.com/pgttlWikPX
Tue Aug 18 13:43:45 PDT 2015 --  tweet #ShesKindaHotVMA to vote she's kinda hot for #vma song of summer http://www.mtv.com/ontv/vma/2015/song-of-summer …. you can vote 12 times a day if you wanna !
Wed Aug 19 11:38:38 PDT 2015 --  Detroit 5sos are playing songs inside of your city tonight, let's party
Wed Aug 19 11:31:22 PDT 2015 --  Detroit we are here! Let's cause some chaos tonight at the show! See you there! X
Wed Aug 19 05:39:38 PDT 2015 --  "We try to remain healthy... that's why we keep Doritos and popcorn with us wherever we go." - @Michael5SOS #5SOSonGMA pic.twitter.com/THrZhj63h5
Wed Aug 19 11:22:26 PDT 2015 --  Detroit today!! good to be back at it. looking forward to seeing your faces
Wed Aug 19 10:35:11 PDT 2015 --  RT if you need this #ShesKindaHotVMA pic.twitter.com/WQL0lsjha1
Wed Aug 19 10:12:36 PDT 2015 --  RT If you think I deserve Michael Clifford follows ! @Michael5SOS #ShesKindaHotVMA
Wed Aug 19 10:11:16 PDT 2015 --  you can check out #SoundsGoodFeelsGood bundles at http://5sosf.am/WPgIlz  thank you to everyone supporting our music! pic.twitter.com/t4ZukPs4ES
Tue Aug 18 20:56:17 PDT 2015 --  5SOS on Times Square (tumblr:Tryhardlrh) #ShesKindaHotVMA #5SOSonGMA pic.twitter.com/1eCEr1uqlt
Tue Aug 18 14:02:51 PDT 2015 --  Ashton has 7 kids (via insider @calum5sos) #ShesKindaHotVMA https://vine.co/v/ep0EUQVKAx1 
Tue Aug 18 19:59:39 PDT 2015 --  #ShesKindaHotVMA https://twitter.com/lexi4prez/status/633834855537639424 …
Tue Aug 18 20:00:48 PDT 2015 --  retweet if you really truly genuinely want 5sos to win this VMA award #ShesKindaHotVMA
Tue Aug 18 19:01:30 PDT 2015 --  5sos wrote songs about loneliness, depression and anxiety and to describe how deep it is they said "balls deep" lol #ShesKindaHotVMA
Tue Aug 18 15:58:29 PDT 2015 --  When people say 5h are inspirational #ShesKindaHotVMA pic.twitter.com/DxLdWVw943
