Sat Aug 15 17:47:41 PDT 2015 --  Após derrota para o Coritiba, Vasco anuncia a demissão do técnico Celso Roth. http://bit.ly/1MupZtt  pic.twitter.com/kPAZ2ETBWv
Sat Aug 15 17:47:38 PDT 2015 --  Tipo eu pic.twitter.com/Ml0ycVpK8X
Sat Aug 15 16:32:28 PDT 2015 --  Kkkkkk https://twitter.com/anterogreco/status/632693368259256320 …
Sat Aug 15 13:09:13 PDT 2015 --  Difícil o apito no BR. Falta inexistente e o Carleto fez um golaço aqui no Indepa.1 a 1 América e Botafogo!!! #Snsb
Fri Aug 14 19:57:47 PDT 2015 --  Valdir barbosa deve acertar seu contrato de diretor com o coxa semana q vem E pra grorificar de pé..... Aleluia...,
Fri Aug 14 15:30:59 PDT 2015 --  Cruzeiro encaminha renovação de contrato do goleiro Fábio por mais três anos: http://bit.ly/1EtdxCn  pic.twitter.com/enFlrWUk6q
Fri Aug 14 14:29:57 PDT 2015 --  Informação do Artur Moraes: renovação de Fábio bem encaminhada. Novo vínculo será por 3 anos @radioitatiaia
Fri Aug 14 13:30:23 PDT 2015 --  Pressão aumenta sobre o Dr. Gilvan após o jogo vergonhoso de ontem e torcida torna a pinxar a sede administrativa! pic.twitter.com/3YGZZTtmPu
Fri Aug 14 08:21:43 PDT 2015 --  Uai e presidente do time agora?esse cara e um fanfarrão mesmo https://twitter.com/VEJA/status/632207051477938176 …
Thu Aug 13 19:07:25 PDT 2015 --  Juízes de futebol vai parar os campeonatos por 30 dias?duvido
Thu Aug 13 19:01:10 PDT 2015 --  NEM O VASCO PERDEU PARA O JEC, MEU DEUS... ACABA MUNDO!!
Thu Aug 13 18:58:10 PDT 2015 --  https://twitter.com/Oledobrasil/status/632007230699773952 …
Thu Aug 13 18:49:56 PDT 2015 --  5 de acréscimos 5 5 5 CINCOOOOOOOOOOOOOOOOOOOOOO A ZUERA NÃO TEM FIM
Thu Aug 13 18:40:47 PDT 2015 --  Só lembrando que o atual diretor do Cruzeiro foi o Luxemburgo que botou lá dentro. O cara tá mandando no clube.
Thu Aug 13 18:34:42 PDT 2015 --  CADE O ANIMAL QUE PEDIU O MARCELO FORA? PEDE A CABECA DO VANDERLEI AGR DESGRAÇA! #ForaLuxemBURRO
Thu Aug 13 18:33:03 PDT 2015 --  @Cruzeiro cambada de safados , time sem vergonha , agora vcs bloqueia todos os torcedores sócio questão xingando aqui . lixooooosss
Thu Aug 13 18:19:50 PDT 2015 --  Kkkkk https://twitter.com/Jardel16Oficia1/status/631997358818107392 …
Thu Aug 13 17:44:48 PDT 2015 --  Gremio sendo operado em Belo Horizonte
Thu Aug 13 17:42:58 PDT 2015 --  @News_Raposa Que treinador deixa Gabriel Xavier de fora para levar mais um goleiro?
Thu Aug 13 12:55:10 PDT 2015 --  Kkkkk https://twitter.com/Oledobrasil/status/631910969317421056 …
Thu Aug 13 05:28:20 PDT 2015 --  Luis Fabiano e Carlos Alberto trocaram carinhos ontem no jogo entre Figueirense e São Paulo pic.twitter.com/o7tFHQvDaY
Thu Aug 13 10:15:40 PDT 2015 --  https://twitter.com/PablitoTFC/status/631873384578711552 …
Thu Aug 13 08:54:43 PDT 2015 --  Boa https://twitter.com/portaluai/status/631855261846626304 …
Thu Aug 13 08:24:34 PDT 2015 --  40 reais o ingresso das frangas hoje ,assim fica façil qualquer um ir ne @Cruzeiro?
Thu Aug 13 07:57:46 PDT 2015 --  Falar mais o que? pic.twitter.com/o1XYjFGTBq
Thu Aug 13 06:42:42 PDT 2015 --  13/08/1997 Estádio: @Mineirão Público: 106.853 pessoas @Cruzeiro Bicampeão da Taça Libertadores! Gol de Elivélton pic.twitter.com/oJMc2wkIRK
Wed Aug 12 20:01:22 PDT 2015 --  Tá pra existir time mais ajudado pelo apito nos últimos anos do que o Atlético/MG. Coincidência ou não, desde que o Castellar assumiu a FMF.
Wed Aug 12 19:51:57 PDT 2015 --  Inter não vai ter, contra o Cruzeiro, Lisandro, Wellington, Eduardo sacha e Alex. Todos suspensos
Wed Aug 12 19:55:21 PDT 2015 --  Kkkkkkk https://twitter.com/PlanetaCRUZEIRO/status/631659923152224256 …
Wed Aug 12 19:24:35 PDT 2015 --  https://twitter.com/Oledobrasil/status/631651263126577153 …
Wed Aug 12 18:17:17 PDT 2015 --  E quem diria que o André iria se transformar num dos destaques do Brasileiro?!?!
Wed Aug 12 17:49:19 PDT 2015 --  Bicho pegou na Afonso Pena! Tropa de choque e muita bomba... http://fb.me/3MfEmQps8 
Wed Aug 12 17:20:45 PDT 2015 --  Mas o triste é que o Marcelo ainda recebe quase 500 mil do Cruzeiro todo mês...até Dezembro.
Wed Aug 12 17:29:22 PDT 2015 --  Três derrotas seguidas? Palmeiras vai pedir música no Fantástico!
Wed Aug 12 15:55:19 PDT 2015 --  Agora o @JaeciCarvalho11 ficou com o TOBA piscando! pic.twitter.com/w3etNU9vSZ
Wed Aug 12 13:37:00 PDT 2015 --  Modelo conhecida como Barbie é presa ao aplicar golpes de até R$ 300 mil em rede social - Nacional - Estado de Minas http://www.em.com.br/app/noticia/nacional/2015/08/12/interna_nacional,677705/modelo-conhecida-como-barbie-e-presa-depois-de-aplicar-golpes-de-ate-r-300-mil-em-rede-social.shtml …
Wed Aug 12 13:39:38 PDT 2015 --  #VemPraRua16deAgosto #RenanCanalha pic.twitter.com/3ZLgFkc12J
Wed Aug 12 13:45:10 PDT 2015 --  https://twitter.com/RealKajuru/status/631559933948002305 …
Tue Aug 11 17:29:39 PDT 2015 --  Contra o Cruzeiro o Joinville não terá o Meia Marcelo Costa e o Atacante Kempes, suspensos e o Volante Naldo é dúvida para o jogo.
Mon Aug 10 19:50:58 PDT 2015 --  Ronda, sobre Cyborg: 'Está esperando dinheiro suficiente para ter seu traseiro chutado' http://es.pn/1IGhK7g  pic.twitter.com/QSkMzxappf
Mon Aug 10 15:07:01 PDT 2015 --  https://twitter.com/globoesportecom/status/630861252584058881 …
Mon Aug 10 14:48:45 PDT 2015 --  pic.twitter.com/hvzRvZkjHA
Mon Aug 10 14:17:14 PDT 2015 --  https://twitter.com/Oledobrasil/status/630780917582307328 …
Mon Aug 10 09:35:01 PDT 2015 --  Tá rolando promoção lá no Twitter. QUER GANHAR A NOVA CAMISA DO CRUZEIRO??? Basta dar RT no Tuíte da promoção e... http://fb.me/2IZuKmAIs 
Mon Aug 10 06:27:55 PDT 2015 --  Seguençia de jogos do maior de Minas podem embalar vitórias em?jogos favoráveis pic.twitter.com/cAMvkWbAlP
Mon Aug 10 05:55:54 PDT 2015 --  Bom dia!!! @ belo horizonte https://instagram.com/p/6NCC6ShUl5/ 
