Sun Oct 26 18:16:10 PDT 2014 --  RIP Oscar Taveras. Taken way to early.
Sun Oct 26 12:21:16 PDT 2014 --  Off day chillin. Don't get much better than this! #laplaya #sanjuan #selfie http://instagram.com/p/uoJNhlJ31J/ 
Sat Oct 25 15:01:49 PDT 2014 --  I love Puerto Rico. Might not come home.
Sat Oct 25 13:36:14 PDT 2014 --  Giants. Do it for TIm Hudson.
Thu Oct 23 09:59:29 PDT 2014 --  3 stripes
Wed Oct 22 14:09:55 PDT 2014 --  How do you mess up generals chicken? Smh
Wed Oct 22 08:53:59 PDT 2014 --  ATLSAN JUAN, PR
Tue Oct 21 19:39:07 PDT 2014 --  Come here!
Tue Oct 21 06:13:33 PDT 2014 --  You can Change your life, simply by changing the way you think! Make sure your actions line up with your new way... http://fb.me/3qwW7mw02 
Mon Oct 20 05:30:21 PDT 2014 --  I have too many flaws to be perfect and too many blessings to be ungrateful . Just remember, people who fall the... http://fb.me/2Dmg07BEp 
Sun Oct 19 21:44:06 PDT 2014 --  Some acoustic versions of songs are way better than the actual song. In my opinion.
Thu Oct 16 15:38:47 PDT 2014 --  I'm gonna get a Prius lol
Wed Oct 15 18:16:09 PDT 2014 --  Dat dude @KoltenWong hitting tatters. Stay
Wed Oct 15 16:15:45 PDT 2014 --  Shoutout to all the loyal fans out there!
Wed Oct 15 16:12:43 PDT 2014 --  The royals though. #underdog #BALvsKC #WorldSeriesBound #KansasCityRoyals
Tue Oct 14 08:58:10 PDT 2014 --  http://instagram.com/p/uI4bfbp39b/ 
Sun Oct 12 10:29:56 PDT 2014 --  Anyone want to ride to Knoxville with me?
Sat Oct 11 21:19:24 PDT 2014 --  “ @CatsAndMoney: C me gettin guap right meow pic.twitter.com/F3WAWBWia5” @bmeezytrain @LinoDeShields @michelle_chieng
Sat Oct 11 17:09:37 PDT 2014 --  #underdog #royals #ALCS
Sat Oct 11 13:20:33 PDT 2014 --  There are way to many good games on right now I don't know what to watch!
Thu Oct 09 14:40:39 PDT 2014 --  Todd Gurley suspended indefinitely? Good thing UGA has a good back up.
Thu Oct 09 12:46:46 PDT 2014 --  #tbt to summer at the lake wit my brother since day 1 literally. Lol http://instagram.com/p/t8anUwp32u/ 
Thu Oct 09 08:16:48 PDT 2014 --  "The best kind of friends are the ones that you share good times with. A friend who can make you laugh… http://instagram.com/p/t77uDZp31J/ 
Tue Oct 07 08:42:39 PDT 2014 --  @LinoDeShields @IamTJJones13 @ainsleymcsexy @AthRelate reminds me of this Key & Peele http://www.youtube.com/watch?v=nlD9JYP8u5E&sns=tw …
Tue Oct 07 08:38:00 PDT 2014 --  “@IamTJJones13: “ @ainsleymcsexy: “ @AthRelate: Best speech ever... http://es.pn/1oe7XLU ” yo. That's OD! Lmao Turn up one time!
Tue Oct 07 08:33:41 PDT 2014 --  “ @propayne_5: Best friends on snapchat can be so deceiving” preach
Tue Oct 07 08:33:25 PDT 2014 --  “ @kaitlinkates: “ @girlposts: just a cat giving a speech on ebola https://vine.co/v/OmV7QWtJXHK ” @bmeezytrain @tonykemp6
Mon Oct 06 15:02:37 PDT 2014 --  Why isn't this game on tv right now!
Sat Oct 04 10:12:11 PDT 2014 --  This weather is perfect in atl today. #fall
Fri Oct 03 10:21:55 PDT 2014 --  That escalated quickly lol #alds #BaltimoreOrioles #detroittigers
Thu Oct 02 22:07:57 PDT 2014 --  Shut down inning right here. Don't want it. But need it. #Royals #underdog
Thu Oct 02 22:01:08 PDT 2014 --  In extra inning you don't take fastballs down the middle. #moustakas
Thu Oct 02 21:58:16 PDT 2014 --  Royals1-0 in extra inning games in the postseason. #justsaying lol
Thu Oct 02 21:53:51 PDT 2014 --  I'm going royals this series. #underdog
Sat Sep 27 11:19:56 PDT 2014 --  New
Sat Sep 27 10:11:08 PDT 2014 --  “ @DDDeshields: @JUICY__jes @LinoDeShields BOY HUSH” lol I second that son.
Sat Sep 27 09:28:53 PDT 2014 --  I know it's early but I want this upset to happen. #Vols
