Sat Apr 19 13:20:29 PDT 2014 --  Este soy yo escuchando #LaNovedad #ProdByAlexRodd #VivoReady http://instagram.com/p/m_A83eNw7U/ 
Sat Apr 19 12:20:09 PDT 2014 --  Otro nivel brou !!! http://youtu.be/oz5OI41GZL8 
Fri Apr 18 15:05:04 PDT 2014 --  It's official!... Verified and It feels so good! Ahaha pic.twitter.com/Wac6i9zeyd
Thu Apr 17 16:25:35 PDT 2014 --  @ladygaga cannot believe you have a virtual singer on your tour in 2014. What a joke! Give a real musician the exposure! Disappointed
Mon Apr 14 18:10:27 PDT 2014 --  Mañana !! #TodoTerminoVideoOficial #LANOVEDAD #ProdByAlexRodd empieza el bombardeo. http://instagram.com/p/myqKVKNw-S/ 
Sat Apr 12 10:44:59 PDT 2014 --  Oh god am I on channel 5!!!
Wed Apr 09 18:35:22 PDT 2014 --  A mi me agrada el Viernes
Wed Apr 09 18:24:05 PDT 2014 --  Que día de la próxima semana les gusta para estrenar #TodoTerminoVideoOficial ?
Wed Apr 09 15:45:43 PDT 2014 --  Uso traductor con palabras que no se como se escriben y que! :3
Wed Apr 09 15:27:06 PDT 2014 --  Le ponemos fecha al estreno de #TodoTerminoVideoOficial
Tue Apr 08 09:21:11 PDT 2014 --  The best video of @AustinMahone :') I can not stop singing http://youtu.be/MMAppa1cAVo 
Tue Apr 08 00:33:21 PDT 2014 --  Escuchando muy relax #SinPerderLaFe Ft @HadrianSalguero
Mon Apr 07 10:02:42 PDT 2014 --  #HabriaQueInventar algo que te mandé a rechin*ar tu madre si tratas mal a una mujer.
Mon Apr 07 07:27:39 PDT 2014 --  Just heard @TheSaturdays new single on ITV, good pop tune @MollieTheSats @RochelleTheSats @FrankieTheSats @VanessaTheSats @UnaTheSats
Sun Apr 06 13:21:59 PDT 2014 --  Niña, niña, niña ... HOMBRE! http://instagram.com/p/mdiyltM7uN/ 
Sat Apr 05 19:43:15 PDT 2014 --  Si soy tu plan "B", entonces B y chinga a tu madre.
