Sat Jun 20 16:45:59 PDT 2015 --  Embrace your truth. Transform your mind. Transcend yourself. Shama Jade excited to be at @active_collective June... http://fb.me/52plhHiar 
Thu Jun 18 12:59:29 PDT 2015 --  "Loneliness. When you are alone, there is nothing you can do to run away from yourself. You can try to talk out... http://fb.me/4gzFqH9Qz 
Wed Jun 17 09:43:47 PDT 2015 --  When fear departs, Love prevails- by Maria Capone http://www.shamajade.com/new-blog/2015/6/17/when-fear-departs-love-prevails-by-maria-capone …
Mon Jun 15 13:29:51 PDT 2015 --  Time to take on the week! Sharing TheIChing Weekly for June 15,2015 for some Monday inspiration.-SJ "You are in... http://fb.me/6BSPAxfRA 
Sat Jun 13 11:04:42 PDT 2015 --  Happy Saturday lovelies! Shama Jade Evoke suit in Calypso. Stop by @yogaworks_sb to pick up your new summer SJ... http://fb.me/7Hhig3vVb 
Thu Jun 11 15:54:06 PDT 2015 --  Behind the scenes with Maria and Avalon on our new Shama Jade video look book shoot. We feel so excited and... http://fb.me/4p6Zk8jap 
Wed Jun 10 18:42:54 PDT 2015 --  "Raising Collective Consciousness: The Time is now! Some people grow throughout the years, some don’t. While some... http://fb.me/1PeEIYnyJ 
Wed Jun 10 16:19:20 PDT 2015 --  Raising collective consciousness- the time is NOW! http://www.shamajade.com/new-blog/2015/6/10/raising-collective-consciousness-the-time-is-now …
Wed Jun 10 13:46:52 PDT 2015 --  Shama Jade Sol suit in Rose Pink. The perfect #jumpsuit for summer time to wear to a #yoga class or out with... http://fb.me/3SNtBVpFo 
Tue Jun 09 12:06:05 PDT 2015 --  "Believe in yourself and trust the process. You already have all the tools to accomplish anything you desire"-SJ.... http://fb.me/7avEyUIrN 
Mon Jun 08 12:36:47 PDT 2015 --  Happy Monday! Sharing Bobby Klein's The IChing Weekly for June 8th- "There is a great work before you A path you... http://fb.me/4nIqruDgU 
Wed Jun 03 12:56:23 PDT 2015 --  Shama Jadenow selling at YogaWorks in LA! Shop all the latest SJ styles and pick up your new summer suit at Yoga... http://fb.me/2E8kHtcjW 
Mon Jun 01 15:58:32 PDT 2015 --  Shama Jade trunk show today and tomorrow at Pure Barre Beverly Hills! Come by to hang with us and take an amazing... http://fb.me/3R2JgmSga 
Mon Jun 01 12:34:33 PDT 2015 --  LA ladies!! We are happy to finally announce that Shama Jade is officially selling at Yoga works studios! Stop by... http://fb.me/3Pb8sbTg0 
Sun May 31 09:37:45 PDT 2015 --  The I Ching for the week of May 31st: "The spirit of the Joyous Dancer has arrived. It has come to support you As... http://fb.me/4YARy0bkO 
Wed May 27 14:42:07 PDT 2015 --  The spiritual masters say we come to this physical dimension with all the challenge it presents for spiritual... http://fb.me/351BN7U7A 
Tue May 26 08:31:57 PDT 2015 --  Shama Jade Officially makes its debut at Equinox in Florida, check us out starting June 1st at: Coral gables,... http://fb.me/6DXj1eUTP 
Mon May 25 17:12:10 PDT 2015 --  Shama Jade Pink Sol Jumpsuit- 7 months pregnant! SJ Jumpsuit the answer for comfort and style. Growing up is... http://fb.me/2VBHOwUrq 
Sun May 24 14:06:07 PDT 2015 --  Ladies in LA! We are looking for a Yogi for our Amazing new video look book shoot! We thought the best way to... http://fb.me/4bIxvy2UU 
Fri May 22 11:10:58 PDT 2015 --  "Drop the idea of becoming someone, because you are already a masterpiece. You cannot be improved. You have only... http://fb.me/1JboDUL05 
Thu May 21 14:20:02 PDT 2015 --  Thought to share Bobby Klein's I Ching for the week of May 18th: "The action now, in order to receive, is to move... http://fb.me/537oAWjsk 
Wed May 20 17:01:50 PDT 2015 --  Ladies in Australia! Make sure to check out @satya_spirit for all the latest Shama Jade styles, perfect for an... http://fb.me/7f9MRvO24 
Tue May 19 10:56:00 PDT 2015 --  Embrace. Transform. Transcend. Shama Jade in Asheville NC, @avalonmichelle wearing our Invisible Suit in Navy.... http://fb.me/48nIBO2Gq 
Mon May 18 12:14:15 PDT 2015 --  "Make an attitude to be in gratitude, you will find the whole Universe will come to you." 3rd trimester pregnancy... http://fb.me/7waTqQ06v 
Fri May 15 17:23:36 PDT 2015 --  Shama Jade guides us through the path of enlightenment; it acts like a spiritual guide reminding us of our... http://fb.me/7l4KOPIjk 
Fri May 15 09:39:26 PDT 2015 --  "Life begins when fear ends."-Osho. Our brand new Shama Jade Embrace suit in Red looking amazing on our... http://fb.me/1VtgzwOfN 
Fri May 15 09:38:38 PDT 2015 --  "Life begins when fear ends."-Osho. Our brand new Shama Jade Embrace suit in Red looking amazing on our... http://fb.me/7p7dXKIfR 
Tue May 12 16:26:05 PDT 2015 --  Re post from Pure Barre Beverly Hills. We shot this beauty Aubre Winters for our new collection, she teaches... http://fb.me/39OrCv5EG 
Sun May 10 12:04:34 PDT 2015 --  Happy Mother's Day, soon to be mother! Shama mama our bikinis are the answer for pregnancy, shop now at ritz... http://fb.me/3d0BiW3Ex 
Sat May 09 14:00:09 PDT 2015 --  "Sadness gives depth. Happiness gives height. Sadness gives roots. Happiness gives branches. Happiness is like a... http://fb.me/3JjwrMtyp 
Mon May 04 08:32:59 PDT 2015 --  Shama Jade- Metamorphosis of human mind, body and soul. @elise.joan.fitness goddess embracing her truth and... http://fb.me/3ZDdYSp9L 
Sun May 03 15:00:56 PDT 2015 --  Embrace your Truth. Transform your Mind. Transcend yourself. -Shama Jade. Hope everyone is having a wonderful... http://fb.me/2scnNzyfl 
Fri May 01 17:16:04 PDT 2015 --  Happy Friday everyone! Have a beautiful and blessed weekend! Shama Jade limited edition Summer suit in White.... http://fb.me/28Y9WPD4x 
Fri May 01 12:38:47 PDT 2015 --  "Truth is not to be found outside. No teacher, no scripture can give it to you. It is inside you and if you wish... http://fb.me/1F5pVRgNl 
Thu Apr 30 11:08:37 PDT 2015 --  Beauty @smartissexymovement wearing her Red Sol SJ suit filming for ABC! Thanks for the love! Shop this suit... http://fb.me/3WGFE3ToL 
Wed Apr 29 12:29:04 PDT 2015 --  Fun times on set with @avalonmichelle and our beautiful model @tininhatininha wearing the brand new evoke Calypso... http://fb.me/3Ju7c2lbj 
Tue Apr 28 11:42:01 PDT 2015 --  SJ Mama, Looking outside myself I see the shell that contains only what's visible to the human mind. I crave to... http://fb.me/3IhOZXxHO 
Mon Apr 27 13:11:36 PDT 2015 --  "You, yourself, as much as anybody in the entire universe, deserves your love and affection"-Buddha. Brand new SJ... http://fb.me/44iWeHeEG 
Sun Apr 26 14:22:42 PDT 2015 --  Behind the scenes fun with one of our Co-founders @avalonmichelle and our beautiful model! Brand new SJ invisible... http://fb.me/6xSCZZQL9 
Fri Apr 24 13:41:21 PDT 2015 --  "You have within you you, right now, everything you need to deal with whatever the world can throw at you" -Brian... http://fb.me/6wrdXo9tL 
Fri Apr 24 13:16:28 PDT 2015 --  Embrace. Transform. Transcend. Brand new Sexy Strap SJ in Galaxy. 󾮟󾮟 up on the website very soon! 󾬓 #shamajade http://fb.me/1AhpSnvGm 
Fri Apr 24 13:14:55 PDT 2015 --  Embrace. Transform. Transcend. Brand new Sexy Strap SJ in Galaxy. 󾮟󾮟 Up on the website very soon! 󾬓 #shamajade http://fb.me/2SiF8eITJ 
Thu Apr 23 15:48:31 PDT 2015 --  Shama Jade Behind the scenes! @AvalonMichelle multi-tasking while the real photographer @bentleyD tests the... http://fb.me/3Jh9jLlFc 
Thu Apr 23 11:43:57 PDT 2015 --  Having fun behind the scenes day 2 at SJ headquarters! The backs of these suits 󾍘󾍘󾍘 Shama Jade @bentleyDeVilling http://fb.me/1LtoHeIqs 
Wed Apr 22 17:42:36 PDT 2015 --  Behind the scenes shooting with this beauty! One of our favorite new prints 󾌧󾌧 #shamajade http://fb.me/1VFl0k42Y 
Wed Apr 22 14:03:49 PDT 2015 --  Behind the scenes! Shooting our new collection and we can't wait to share with all of you our new amazing colors... http://fb.me/7vRxp01XT 
Sat Apr 18 10:01:43 PDT 2015 --  Give a Away time! Re-post from Amazingly talented and Beautiful Olympic Athlete Louise Hazel who is giving away a... http://fb.me/7fGdYJtDk 
Thu Apr 16 14:01:29 PDT 2015 --  These Beauties from Pure Barre Beverly Hills looking absolutely stunning I'm their new Shama Jade suits! We 󾬖... http://fb.me/6zhamleG7 
Wed Apr 15 18:09:46 PDT 2015 --  Through obstacles and challenges, life brings you an opportunity for transformation. Take it with thirst, live it... http://fb.me/3Yj6Qghmn 
Mon Apr 13 14:48:14 PDT 2015 --  We are so excited to announce that we are now selling in Malibu at Malibu Fitness! Come by and take one of their... http://fb.me/38JpRJITr 
Sat Apr 11 12:00:13 PDT 2015 --  Coachella day 2- Who's wearing Shama Jade?! Re-post from beauty @jenna Willis wearing her SJ getting a little pre... http://fb.me/6xH4AAemt 
Fri Apr 10 19:03:02 PDT 2015 --  Shama Jade Sisters- @producerdeb it was a honor to be part of the event and share the love of Shama Jade with the... http://fb.me/79Vxqe9if 
Fri Apr 10 14:45:30 PDT 2015 --  Beautiful Actress and soon to be mother Jessica Hall (American actress) looking amazing in her new SJ! She has... http://fb.me/1vLDS2FjC 
Thu Apr 09 21:44:12 PDT 2015 --  With these two beauties @msjennawillis and @tiffanybrouwer! They have found their coachella outfits can't wait to... http://fb.me/1zhlsCTW7 
Wed Apr 08 18:03:52 PDT 2015 --  Shama Jade Goddesses are ready to take off and over! Shama Mamma SJ Suit the answer for comfortable pregnancy,... http://fb.me/1AOMgjUhY 
Wed Apr 08 15:45:01 PDT 2015 --  Hanging with @iamjessicahall and Adrienne Janic at the EcoLuxe lounge RocknRolla movie awards event! They love... http://fb.me/6B5iBuKJ0 
Wed Apr 08 14:24:47 PDT 2015 --  https://m.youtube.com/watch?v=rB2poTM54aQ … http://fb.me/3rlOeAFlS 
Wed Apr 08 10:50:56 PDT 2015 --  Shama Jade exploding at EcoLuxe lounge at Rock N Rolla Movie Awards #shamajade #sisterhood #killingit #spreadinglove http://fb.me/79MDbtEJi 
Tue Apr 07 11:01:16 PDT 2015 --  Our new collection is arriving and will be on the site very soon! For all of you out there that can't wait- type... http://fb.me/3SMFDX0VO 
Mon Apr 06 14:53:55 PDT 2015 --  Re-Post from Durkin Entertainment's @debbie Durkin. Shama Jade is proud to announce that we will be at this years... http://fb.me/3zJlApju9 
Sat Apr 04 15:07:36 PDT 2015 --  Shama Jade Founders, Partners, Sisters and Best Friends. @avalonmichelle Shama Jade'sphilosophy embraces the... http://fb.me/390forLvI 
Sat Apr 04 12:55:34 PDT 2015 --  SJ founders, partners, best friends and sisters. Shama Jade's philosophy embraces the concept of becoming a still... http://fb.me/1OhM8ZW9P 
Sat Apr 04 11:43:16 PDT 2015 --  Ladies in Australia- Shama Jade will be selling in select locations soon! Can't wait to see all you beauties in... http://fb.me/3RWTZ9Tz3 
Fri Apr 03 16:15:58 PDT 2015 --  Through obstacles and challenges, life brings you an opportunity for transformation. Take it with thirst, live it... http://fb.me/6z3vFBltE 
Fri Apr 03 13:47:08 PDT 2015 --  Ship and Reflect with Shama Jade Sisters #Exhaletrunkshow come check it out! http://fb.me/4olcTdUI6 
Fri Apr 03 09:12:09 PDT 2015 --  LA Ladies! SJ Trunk show at Exhale studio in Venice today-Sunday! The amazing Sheva Rey will be doing teacher... http://fb.me/6mn39d6vQ 
Wed Apr 01 16:04:29 PDT 2015 --  Shama Jade beach time with @neadevina http://fb.me/7e5fiEXhO 
Tue Mar 31 18:42:16 PDT 2015 --  Re-post from Durkin Entertainment Group. Shama Jade is thrilled to be invited to this years Movie Awards and... http://fb.me/1U5ep8bV3 
Sun Mar 29 13:16:32 PDT 2015 --  You are a human being, just like anyone else Trying to figure out the path that suits you well Old Principles are... http://fb.me/7d468La6d 
Sat Mar 28 11:15:36 PDT 2015 --  Shama Jade classic suit in Tropical worn here by our beautiful Australian Rep and Birthday girl @perthyogagirl... http://fb.me/2TksdgBWM 
Fri Mar 27 17:17:27 PDT 2015 --  Invisible Suit Shama Jade- "In the search for enlightenment- acknowledge inner darkness, heal the soul, and... http://fb.me/2Td7sbwNZ 
Fri Mar 27 13:53:03 PDT 2015 --  We are so excited to see celebrity blogger @lindsayxxmarie wearing an SJ suit in her latest YouTube video! You... http://fb.me/7o3XDHRKL 
Wed Mar 25 13:51:48 PDT 2015 --  Gorgeous Actress Jillian Rose Reed (Official) wearing her Shama Jade with a cozy Tee and Ugg boots. We love... http://fb.me/3RB8M4w0S 
Tue Mar 24 13:47:43 PDT 2015 --  Beautiful Axelle Aerts rocking her SJ in Belgium! We love how she paired her suit with sneakers for a sporty... http://fb.me/7akORvjQf 
Mon Mar 23 16:52:58 PDT 2015 --  "Together we are stronger. Strong foundation equals strong future. The deeper the roots, the higher you can... http://fb.me/4RkDAyDCZ 
Sun Mar 22 09:29:17 PDT 2015 --  Happy Birthday to this beautiful soul. - Shama Jade http://fb.me/1Nzpbn40L 
Sat Mar 21 17:08:43 PDT 2015 --  "The path of Dharma dispels all suffering. It leads to true happiness and the total disappearance of all... http://fb.me/2SEc1pXm1 
Sat Mar 21 11:42:20 PDT 2015 --  Embrace your truth. Transform your mind. Transcend yourself.- Shama Jade. Our Spring/Summer collection coming soon! 󾬖 http://fb.me/3nrPBKIls 
Thu Mar 19 17:35:42 PDT 2015 --  Actress Greer Grammer looking picture perfect in her Shama Jade jumpsuit!! This beauty could not be more perfect,... http://fb.me/25vdgeWRW 
Wed Mar 18 17:53:35 PDT 2015 --  We are so excited to officially announce Shama Jade will be at this years Active Collective Trade Show! We... http://fb.me/6Co2gS3qZ 
Wed Mar 18 17:49:44 PDT 2015 --  We are so excited to Officially announce Shama Jade will be at this years Active Collective Trade Show! We... http://fb.me/3FNETZwjC 
Wed Mar 18 10:15:56 PDT 2015 --  Re post from Actress Molly Tarlov on set for hit TV show Awkward looking beautiful in her Shama Jade. 󾬖󾬖󾬖 http://fb.me/2rNXXb0Qu 
Tue Mar 17 21:00:15 PDT 2015 --  It was when I heard my soul speak: your ego denies your essence, and I am here to give you guidance Embrace your... http://fb.me/4pNswdWFC 
Tue Mar 17 11:31:11 PDT 2015 --  "Live as a butterfly. Go through metamorphosis and accept transformation. After all, the only constant in the... http://fb.me/7ea91dlcO 
Sun Mar 15 11:46:13 PDT 2015 --  It's officially bikini season! Shama Jade bikinis now sold exclusively at Four Seasons Hotels and Resorts and The... http://fb.me/8aG1cYjJY 
Sat Mar 14 10:56:15 PDT 2015 --  Our girl in Australia Stacey Mackintosh looking fantastic in her classic tropical SJ suit! Shop now... http://fb.me/2QauVB0a9 
Fri Mar 13 16:33:58 PDT 2015 --  Shama Jade is now selling at Four Seasons Hotels and Resorts Palo Alto location! Shop SJ there now or go to our... http://fb.me/3HpUn8cuv 
Thu Mar 12 17:14:31 PDT 2015 --  Repost- Actress Jillian Rose Reed (Official) from MTV's hit Show Awkward looking gorgeous in her new Shama Jade... http://fb.me/3mlzsOizQ 
Wed Mar 11 14:44:19 PDT 2015 --  SJ Sisters One who lives in his essence knows the truth with no doubt, he doesn't think with his brain but... http://fb.me/6ka8l6pjO 
Mon Mar 09 17:45:16 PDT 2015 --  Shama Jade is now selling at HOT 8 YOGA in Beverly Hills and Santa Monica! LA ladies come by to hang with Avalon... http://fb.me/256TNisKx 
Mon Mar 09 11:57:00 PDT 2015 --  Shama Jade Invisible Suit coming up in 2 weeks! I consciously choose to let go of my expectations, my constant... http://fb.me/1Gtcmn9RS 
Sat Mar 07 08:47:24 PST 2015 --  "Our compassion and acts of selflessness take us to the deeper truth." Goddess @elise.joan.fitness wearing an SJ http://fb.me/3LxAUlSah 
Thu Mar 05 11:43:27 PST 2015 --  USC ladies!! Shama Jade is now selling at the USC store! Maria and Avalon are here all day, come in to say hi and... http://fb.me/4NtpsdZBL 
Tue Mar 03 19:12:50 PST 2015 --  Shop Shama Jade now at HOT 8 YOGA in Beverly Hills and Santa Monica. Also join us March 9th and 10th for a trunk... http://fb.me/2Vzait5Fd 
Tue Mar 03 14:17:29 PST 2015 --  Go beyond your form. Embrace. Transform. Transcend. http://Www.ShamaJade.com  buy your spring jumpsuit today! http://fb.me/7na6Nidvk 
Mon Mar 02 13:11:20 PST 2015 --  Shama Jade sol suit back in stock http://www.shamajade.com  󾬖 http://fb.me/1NmwcvQjC 
Sun Mar 01 16:02:08 PST 2015 --  The beautiful girls at Pure Barre Fort Worth Texas location having fun in their new SJ suits! Shop Shama Jade at... http://fb.me/1J0mp8dS3 
Fri Feb 27 13:28:42 PST 2015 --  Join us at YogaWorks South Bay tomorrow for a trunk show!! shop all your favorite SJ styles and prints!󾬖 http://fb.me/31oEZfNdT 
Fri Feb 27 09:01:22 PST 2015 --  Have you ever felt like what the “Love Manual” claims, is easier said than done? To love means to live, and to... http://fb.me/8c2VUg6Lq 
