Fri Aug 21 07:41:42 PDT 2015 --  "The best road to progress is freedom's road." - John F. Kennedy #100DaysOfZen pic.twitter.com/T17oxqSlmu
Fri Aug 21 07:41:10 PDT 2015 --  "The moon is a friend for the lonesome to talk to." -Carl Sandburg #100DaysOfZen pic.twitter.com/tu0NuV3duk
Fri Aug 21 07:40:49 PDT 2015 --  "Aim for the moon. If you miss, you may hit a star." -W. Clement Stone #100DaysOfZen pic.twitter.com/FLeqDvUSPx
Fri Aug 21 07:40:26 PDT 2015 --  “We see the world, not as it is, but as we are or, as we are conditioned to see it.” ―Stephen R. Covey #100DaysOfZen pic.twitter.com/Kam5WSUuvM
Fri Aug 21 07:39:52 PDT 2015 --  “We see the world, not as it is, but as we are or, as we are conditioned to see it.” ―Stephen R. Covey #100DaysOfZen pic.twitter.com/5R4eRvx5c2
Fri Aug 21 07:37:31 PDT 2015 --  "It is a beautiful and delightful sight to behold the body of the Moon"- Galileo Galilei #100DaysOfZen pic.twitter.com/037UhkUQov
Fri Aug 21 07:36:59 PDT 2015 --  "Painting is silent poetry, and poetry is painting that speaks" - Plutarch #100DaysOfZen pic.twitter.com/ODuEQvo7YG
Fri Aug 21 07:35:48 PDT 2015 --  "The city is not a concrete jungle, it is a human zoo." - Desmond Morris #100DaysOfZen pic.twitter.com/GjHQafcqCH
Fri Aug 21 07:35:03 PDT 2015 --  "Binoculars see from far when near the eyes. Far from self, near the heart, in love." #100DaysOfZen pic.twitter.com/G5k7GQj666
Fri Aug 21 07:33:45 PDT 2015 --  "A lie can travel half way around the world while the truth is putting on its shoes" - Charles Spurgeon #100DaysOfZen pic.twitter.com/cwNr1UQTpu
Thu Aug 20 08:35:24 PDT 2015 --  "The best road to progress is freedom's road." - John F. Kennedy #100DaysOfZen pic.twitter.com/xyL9dEKM5F
Thu Aug 20 08:35:03 PDT 2015 --  "The moon is a friend for the lonesome to talk to." -Carl Sandburg #100DaysOfZen pic.twitter.com/wCft8ywweC
Thu Aug 20 08:34:38 PDT 2015 --  "Aim for the moon. If you miss, you may hit a star." -W. Clement Stone #100DaysOfZen pic.twitter.com/wW6azGwx2C
Thu Aug 20 08:34:16 PDT 2015 --  “We see the world, not as it is, but as we are or, as we are conditioned to see it.” ―Stephen R. Covey #100DaysOfZen pic.twitter.com/UdMs4fxwKR
Thu Aug 20 08:33:42 PDT 2015 --  “We see the world, not as it is, but as we are or, as we are conditioned to see it.” ―Stephen R. Covey #100DaysOfZen pic.twitter.com/ZyNuIDahJk
Thu Aug 20 08:33:16 PDT 2015 --  "It is a beautiful and delightful sight to behold the body of the Moon"- Galileo Galilei #100DaysOfZen pic.twitter.com/5ra7wvYtEr
Thu Aug 20 08:32:55 PDT 2015 --  "Painting is silent poetry, and poetry is painting that speaks" - Plutarch #100DaysOfZen pic.twitter.com/SdIXZ5J39M
Thu Aug 20 08:31:44 PDT 2015 --  "The sky broke like an egg into full sunset and the water caught on fire." - Pamela Hansford Johnson #100DaysOfZen pic.twitter.com/kxadqC377e
Thu Aug 20 08:31:01 PDT 2015 --  "The city is not a concrete jungle, it is a human zoo." - Desmond Morris #100DaysOfZen pic.twitter.com/qKuITpIfC1
Thu Aug 20 08:30:29 PDT 2015 --  "Binoculars see from far when near the eyes. Far from self, near the heart, in love." #100DaysOfZen pic.twitter.com/L6mBmykj8i
Thu Aug 20 08:29:37 PDT 2015 --  "A lie can travel half way around the world while the truth is putting on its shoes" - Charles Spurgeon #100DayOfZen pic.twitter.com/CYDzWBgBY5
Thu Aug 20 00:52:53 PDT 2015 --  DENR offering P100K reward for info leading to arrest of person responsible for Pamana's death http://cnn.ph/1fqPHR8  pic.twitter.com/Xz9TPLU712
Thu Aug 20 02:52:30 PDT 2015 --  Justice for Pamana!!
Wed Aug 19 04:03:55 PDT 2015 --  Atm haha https://twitter.com/SincerelyTumblr/status/633957442129371136 …
Wed Aug 19 00:39:02 PDT 2015 --  All the time https://twitter.com/SincerelyTumblr/status/633883090369310720 …
Tue Aug 18 11:18:24 PDT 2015 --  Success is going from failure to failure without a loss of enthusiasm.
Tue Aug 18 11:48:39 PDT 2015 --  Instead of focusing on all the bad, be thankful for all the good. Each day you have is a blessing from God.
Tue Aug 18 12:02:13 PDT 2015 --  Losing is a learning experience. It teaches you humility. It teaches you to work harder. It's also a powerful motivator. - Yogi Berra
Tue Aug 18 11:26:06 PDT 2015 --  Spotify!
Tue Aug 18 10:48:48 PDT 2015 --  "It is a rough road that leads to the heights of greatness." - Lucius Annaeus Seneca #100DaysOfZen pic.twitter.com/BHBb8eTssk
Tue Aug 18 10:48:33 PDT 2015 --  "The best road to progress is freedom's road." - John F. Kennedy #100DaysOfZen pic.twitter.com/KAn2ivbEcg
Tue Aug 18 10:48:12 PDT 2015 --  "The moon is a friend for the lonesome to talk to." -Carl Sandburg #100DaysOfZen pic.twitter.com/FLRh1qDZDZ
Tue Aug 18 10:47:51 PDT 2015 --  "Aim for the moon. If you miss, you may hit a star." -W. Clement Stone #100DaysOfZen pic.twitter.com/x6hpZOHXGs
Tue Aug 18 10:47:35 PDT 2015 --  Fireworks are flowers in the garden sky! #100DaysOfZen pic.twitter.com/DesRYElCNj
Tue Aug 18 10:47:04 PDT 2015 --  “We see the world, not as it is, but as we are or, as we are conditioned to see it.” ―Stephen R. Covey #100DaysOfZen pic.twitter.com/zGIq0OWUww
Tue Aug 18 10:46:44 PDT 2015 --  "It is a beautiful and delightful sight to behold the body of the Moon"- Galileo Galilei #100DaysOfZen pic.twitter.com/3flX0gWqPV
Tue Aug 18 10:46:17 PDT 2015 --  "Painting is silent poetry, and poetry is painting that speaks" - Plutarch #100DaysOfZen pic.twitter.com/V5H14vfAQN
Tue Aug 18 10:45:41 PDT 2015 --  "The sky broke like an egg into full sunset and the water caught on fire." - Pamela Hansford Johnson #100DaysOfZen pic.twitter.com/OfxJzUDhjN
Tue Aug 18 10:45:25 PDT 2015 --  "The city is not a concrete jungle, it is a human zoo." - Desmond Morris #100DaysOfZen pic.twitter.com/61V9rvo1jl
Tue Aug 18 10:44:33 PDT 2015 --  "Binoculars see from far when near the eyes. Far from self, near the heart, in love." #100DaysOfZen pic.twitter.com/SCCx1hz2aG
Tue Aug 18 10:44:20 PDT 2015 --  "A lie can travel half way around the world while the truth is putting on its shoes" - Charles Spurgeon #100DayOfZen pic.twitter.com/MHgIoyAFvp
Tue Aug 18 02:41:38 PDT 2015 --  Still have time to make this day productive.
Tue Aug 18 02:25:17 PDT 2015 --  So it's official. Marshmallow
Tue Aug 18 00:21:14 PDT 2015 --  Idk what to do
Mon Aug 17 15:09:09 PDT 2015 --  Sleep is for the weak. Hahahaha I'm weak therefore I'll sleep. Good Morning ha ha
Mon Aug 17 10:49:00 PDT 2015 --  One More Chance!!! ** I'll never go far away from you ** feels!
