Wed May 06 07:19:00 PDT 2015 --  #Redskins DBs. @Salute_me17 @T_Robinson39 @NachoLyfe @Jus_Showoff @Cullyinthehouse @Da_DREAM47 @Phil_Me16 pic.twitter.com/9IzMdYc90a
Sat May 02 09:58:29 PDT 2015 --  Me and @the_real_Gwiz  here at @1067thefandc #FanFest pic.twitter.com/IbFzjkGBlC
Mon Apr 27 04:14:01 PDT 2015 --  Up early excited its a new day to learn? #breelandisland
Sun Apr 19 08:03:36 PDT 2015 --  Excited to announce I'm signing with @CAA_Football @dentoji @PWCollinsCAA
Tue Apr 07 05:26:20 PDT 2015 --  Face what it is that is holding U back from going after what U want. Stop running.Plant your feet.Look that challenge in the eye and fight.
Thu Mar 26 17:28:38 PDT 2015 --  What's the move tonight?
Mon Mar 23 15:05:22 PDT 2015 --  Dinner is done. Now it's #scstate_RYS15 time. #scstate_RYS15 #scstate_RYS15 #scstate_RYS15 #scstate_RYS15 #scstate_RYS15 #scstate_RYS15
Thu Mar 19 11:10:26 PDT 2015 --  #breelandisland #ballhawksacademy pic.twitter.com/SfYKszzsBa
Wed Mar 18 06:39:42 PDT 2015 --  Stop allowing little foolish things to derail u and cause u to lose focus. We can't major on the minor. Focus on the Prize. #Truth
Tue Mar 17 17:03:33 PDT 2015 --  https://youtube.com/watch?v=c3ROgKmMsa8 … #ballhawksacademy #breelandisland
Tue Mar 17 17:01:51 PDT 2015 --  Come check us out June 20 ballhawk camp hosted my your own Washington Redskins Bashaud Breeland =me #breelandisland https://youtube.com/watch?v=c3ROgKmMsa8 …
Fri Mar 13 18:10:15 PDT 2015 --  Had my 5 month checkup & the Dr said my achilles is stronger than ever! So I celebrated by doing back flip! I'm back! pic.twitter.com/iLieyCsr4T
Fri Mar 13 17:23:09 PDT 2015 --  Stop Hating on Haters! Respect them and realize they have a job to do and dont get upset that they do it well. #Truth
Wed Mar 11 12:49:51 PDT 2015 --  @Salute_me17 I hope they selling yA jersey young fella. I gots to cop it. You are my favorite player on the team. #breelandisland
Wed Jan 14 10:39:24 PST 2015 --  @ShareeceWright @SkinnyDuzIt yea bruh I'll ride with joeB andhis knowledge of the game anyday of the week @Redskins willbe lucky to have him
Wed Mar 11 12:38:41 PDT 2015 --  “ @bobleeswagger81: @Salute_me17 Got to try and get @mgilchr To sign wit the @Redskins” you hear that Gilly the fans want Ya Bro
Mon Mar 02 08:44:04 PST 2015 --  #SQUADD @Salute_me17 #TwitterlessAlan #TwitterlessSpence #TwitterlessTonio #TwitterlessJay #CIAARecap pic.twitter.com/IVggax6pVT
Fri Feb 20 10:01:03 PST 2015 --  bros 4eva @BranchNout90 @AEllington38 @Jarvis99jenkins @Nukdabomb @Salute_me17 @TajhB10 @BrandonT_98 @OHYEAH_BIG12 @jaronbrown13 #Gchat on
Wed Feb 18 14:07:49 PST 2015 --  God Chose You #IAmAVoice pic.twitter.com/fI9mJtRgrR
Sun Feb 15 11:00:07 PST 2015 --  RT to wish #Redskins great & @ProFootballHOF DB @darrellgreen28 a very Happy Birthday! #HTTR pic.twitter.com/0lwMLI7vbj
Mon Feb 09 18:31:43 PST 2015 --  “ @ehinger74: @Salute_me17 my girlfriend got me this for xmas...HTTR pic.twitter.com/v6Y6nhLMQO”great Christmas gift 26 cool points for her bro
Thu Feb 05 14:57:34 PST 2015 --  @Salute_me17 I Speak Increase and Favor on your Life! God is Opening New Doors and the one Man Closed! Faith is your Key in this Season!
Tue Feb 03 20:08:33 PST 2015 --  Grinding from the bottom sick and tired of struggle -Gates
Mon Jan 19 05:35:30 PST 2015 --  Take time 2day to honor the life & legacy of Dr. Martin Luther King Jr. #thelegacycontinues #IHaveADream #MLKDay pic.twitter.com/3EHK8h687D
Fri Jan 09 11:31:52 PST 2015 --  Ashburn dead today or maybe everyday just no football phone dead bad day all around!!!!!!!
Thu Jan 08 09:27:38 PST 2015 --  What's popping DC?
Tue Dec 30 13:05:21 PST 2014 --  Columbia wats up? What's poppin? Ain't seen this city in a minute!!
Mon Dec 29 18:06:10 PST 2014 --  Congrats to my alumni Yal boys went out with a bang!!!! #1defense #salute
