Sun Aug 23 08:41:22 PDT 2015 --  Terus katanya besok ada yang ultah nih *ohok* *colek @lisnasanta*
Sun Aug 23 08:40:46 PDT 2015 --  Baru sampai rumah abis kencan sama Nathan dan @lisnasanta di Semanggi~ with @shRa554 sbg bintang tamu di tlp wkwkwkwk thank you for today
Sun Aug 23 08:10:53 PDT 2015 --  本日いただいたお花。きれい。 pic.twitter.com/jFPMxlJT7U
Sun Aug 23 08:02:02 PDT 2015 --  “I bring water for the quarantined people. I’m an #Ebola survivor” Kadiatu, 20, from Sierra Leone. @UNICEFSL pic.twitter.com/5xaRqeRYab
Sun Aug 23 08:00:57 PDT 2015 --  "Isn’t it funny how day by day nothing changes, but when you look back, everything is different." - C.S. Lewis pic.twitter.com/InZcjqi2ah
Sun Aug 23 08:00:54 PDT 2015 --  Happy Birthday to #SuperJunior's Yesung! #HappyYesungDay pic.twitter.com/541ogaz6gg
Sun Aug 23 02:18:38 PDT 2015 --  Lagi denger B.A.P - Stop It dan inget si bego Dae @bygjjang #sighs
Sat Aug 22 19:45:56 PDT 2015 --  SOURIN!!! @@*-[#+@+@!@*+-@ https://twitter.com/liloclilac/status/635104600337481728 …
Sat Aug 22 19:44:31 PDT 2015 --  Akhirnya pergi kencan sana Nathan (Kak Nana) hahahahaha
Sat Aug 22 07:14:32 PDT 2015 --  Bobo cantik
Sat Aug 22 07:09:49 PDT 2015 --  " @ruysheka: Quote dari hyena buat hikari @liloclilac http://twitter.com/PoemPorns/stat …" *peluk hyena*
Sat Aug 22 07:08:25 PDT 2015 --  Quote dari hyena buat hikari @liloclilac https://twitter.com/PoemPorns/status/634266168942043137 …
Sat Aug 22 06:38:57 PDT 2015 --  Gue ngantuk masa
Sat Aug 22 06:37:21 PDT 2015 --  @ruysheka Okeeyyyy deh cintaaaaaaa
Sat Aug 22 01:14:20 PDT 2015 --  @ruysheka iya, masih berdiri
Fri Aug 21 19:44:42 PDT 2015 --  Selamat pagi Sahabat.. pic.twitter.com/tTWxEhfllE
Fri Aug 21 19:16:59 PDT 2015 --  @ruysheka @bygjjang udah drama kok tp anak yg lain hahaha belum mulai aja udah nyesek rigelnya.... kasihan....
Fri Aug 21 19:08:55 PDT 2015 --  NORA GOOD JOB!!! RT ABIS =)) @lisnasanta udah anak keberapa mbaknya wwwwwwww https://twitter.com/angevoce/status/634900702863581184 …
Fri Aug 21 18:15:12 PDT 2015 --  @ruysheka semangat ya kamu dan @bygjjang dan Mimo dimanapun engkau berada hahaha
Fri Aug 21 18:14:06 PDT 2015 --  @ruysheka @etheraels @blankfes kapan kita nikah? Kamu kan nikahnya sama Xavier!! *rigel sakit hati dgr kata2nya sendiri* *mojok*
Fri Aug 21 18:12:03 PDT 2015 --  *tendang yang nendang Akito Hizuki gue dari TOP 10* https://twitter.com/bygjjang/status/634894532056735744 …
Fri Aug 21 18:00:53 PDT 2015 --  Akun rpt gue banyak... apa ksh mimo satu buat di remake? Tapi kok agak sayang wwwwwwwww
